plan_level,voyage_id,group_id,size,big_plan_size,height,status,port,operator,ctype,special,business_special,is_large_attribute,attribute_quantity_threshold,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,yard_block,yard_block_bays,yard_block_bay_count,yard_block_boundary_adjusted,voyage_area_block_count,voyage_area_block_span,voyage_area_block_gap_count,bay_no,is_fallback_bay,fallback_reason,plan_reason,planned_boxes,group_demand
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,2,3,1,,,,attribute_to_yard_block;large_attribute,3,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,2,3,1,,,,attribute_to_yard_block;large_attribute,4,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B01,"05,07,09,11,13,15",6,False,4,5,1,,,,attribute_to_yard_block;large_attribute,4,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B04,"41,43,45,47,49,51",6,False,4,5,1,,,,attribute_to_yard_block;large_attribute,6,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B05,"53,55,57,59,61,63",6,False,4,5,1,,,,attribute_to_yard_block;large_attribute,5,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,,,,attribute_to_yard_block;large_attribute,6,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,,,,attribute_to_yard_block;large_attribute,4,37
medium,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,,,,attribute_to_yard_block;large_attribute,5,37
medium,453334,453334_G002,20,20,PQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B03,"29,31,33,35,37,39",6,False,4,5,1,,,,attribute_to_yard_block;large_attribute,5,11
medium,453334,453334_G002,20,20,PQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,,,,attribute_to_yard_block;large_attribute,6,11
medium,453334,453334_G003,20,20,PQ,OF,SGSIN,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B04,"41,43,45,47,49,51",6,False,4,5,1,,,,attribute_to_yard_block,5,8
medium,453334,453334_G003,20,20,PQ,OF,SGSIN,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B06,"65,67,69,71",4,False,6,6,0,,,,attribute_to_yard_block,3,8
medium,453334,453334_G004,20,20,PQ,OF,GBFXT,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,,,,attribute_to_yard_block,3,3
medium,453334,453334_G005,20,20,PQ,OF,LTKLJ,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,,,,attribute_to_yard_block,2,2
medium,453334,453334_G006,20,20,PQ,OF,BEZEE,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,,,,attribute_to_yard_block,3,3
medium,453334,453334_G007,20,20,PQ,OF,LKCMB,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B01,"05,07,09,11,13,15",6,False,4,5,1,,,,attribute_to_yard_block,1,1
medium,453334,453334_G008,20,20,PQ,OF,BEANT,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B04,"41,43,45,47,49,51",6,False,6,6,0,,,,attribute_to_yard_block,1,1
medium,453334,453334_G009,20,20,PQ,OF,GBLGP,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B01,"05,07,09,11,13,15",6,False,4,5,1,,,,attribute_to_yard_block,3,3
medium,453334,453334_G010,20,20,PQ,OF,VNVUT,MSC,GP,NORMAL,NORMAL,False,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B04,"41,43,45,47,49,51",6,False,6,6,0,,,,attribute_to_yard_block,1,1
medium,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,,,,attribute_to_yard_block;large_attribute,4,16
