plan_level,voyage_id,group_id,size,big_plan_size,height,status,port,operator,ctype,special,business_special,is_large_attribute,attribute_quantity_threshold,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,yard_block,yard_block_bays,yard_block_bay_count,yard_block_boundary_adjusted,voyage_area_block_count,voyage_area_block_span,voyage_area_block_gap_count,bay_no,is_fallback_bay,fallback_reason,plan_reason,planned_boxes,group_demand
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,28,28-B03,"25,27,29,31,33,35",6,False,2,3,1,31,False,,large_attribute_to_bay;large_attribute,3,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,28,28-B05,"47,49,51,53,55,57,59",7,True,2,3,1,59,False,,large_attribute_to_bay;large_attribute,4,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B01,"05,07,09,11,13,15",6,False,4,5,1,15,False,,large_attribute_to_bay;large_attribute,4,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B04,"41,43,45,47,49,51",6,False,4,5,1,43,False,,large_attribute_to_bay;large_attribute,6,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B05,"53,55,57,59,61,63",6,False,4,5,1,57,False,,large_attribute_to_bay;large_attribute,5,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,09,False,,large_attribute_to_bay;large_attribute,6,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,17,False,,large_attribute_to_bay;large_attribute,4,37
small,453334,453334_G001,20,20,PQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B05,"53,55,57,59,61,63",6,False,6,6,0,55,False,,large_attribute_to_bay;large_attribute,5,37
small,453334,453334_G002,20,20,PQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B03,"29,31,33,35,37,39",6,False,4,5,1,37,False,,large_attribute_to_bay;large_attribute,3,11
small,453334,453334_G002,20,20,PQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,True,True,38,38-B03,"29,31,33,35,37,39",6,False,4,5,1,39,False,,large_attribute_to_bay;large_attribute,2,11
small,453334,453334_G002,20,20,PQ,OF,PLGDN,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,09,False,,large_attribute_to_bay;large_attribute,6,11
small,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,01,False,,large_attribute_to_bay;large_attribute,2,16
small,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B01,"01,03,05,07,09,11",6,False,6,6,0,05,False,,large_attribute_to_bay;large_attribute,2,16
small,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,13,False,,large_attribute_to_bay;large_attribute,2,16
small,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,19,False,,large_attribute_to_bay;large_attribute,1,16
small,453334,453334_G011,40,40,HQ,OF,NLRTM,MSC,GP,NORMAL,NORMAL,True,10,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,79-B02,"13,15,17,19,21,23,25",7,True,6,6,0,23,False,,large_attribute_to_bay;large_attribute,2,16
