phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,367.591119,367.591119,80.0,0
medium,3000,269.316491,255.296592,43.942422,2560
medium,6000,338.069789,249.873601,24.136705,5027
medium,9000,300.333993,247.952025,13.257816,7251
medium,12000,257.934087,247.921616,7.282257,9259
medium,15000,256.281979,246.873362,4.0,11009
medium,18000,251.849439,246.548693,2.197121,12587
medium,21000,247.653935,245.401209,1.206835,13942
medium,24000,251.181994,245.401209,0.662891,15170
medium,27000,247.516932,245.401209,0.364113,16142
medium,30000,247.149894,245.227076,0.2,16945
