phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,496.694535,496.694535,80.0,0
medium,3000,734.379925,465.558922,43.942422,2800
medium,6000,722.260214,465.558922,24.136705,5563
medium,9000,717.920658,465.558922,13.257816,8260
medium,12000,649.213854,465.558922,7.282257,10788
medium,15000,672.33621,465.558922,4.0,13084
medium,18000,601.202887,465.558922,2.197121,15070
medium,21000,540.792845,465.558922,1.206835,16674
medium,24000,482.138009,465.558922,0.662891,18004
medium,27000,457.216042,457.216042,0.364113,19007
medium,30000,428.244209,426.915965,0.2,19774
