plan_level,voyage_id,flow,port,size,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,planned_boxes
medium,453334,OF,BEANR,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,1
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,15
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,16
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,16
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,17
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,14
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,16
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,50
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,27
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,58
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,38
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,47
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,9
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,8
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,8
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,9
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,8
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,8
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,25
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,25
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,32
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,34
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,39
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,36
medium,453334,OF,FRLEH,45,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,1
medium,453334,OF,FRLEH,45,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,1
medium,453334,OF,FRLEH,45,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,1
medium,453334,OF,NLRTM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,1
medium,453334,OF,NLRTM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,1
medium,453334,OF,NLRTM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,1
medium,453334,OF,NLRTM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,3
medium,453334,OF,NLRTM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,2
medium,453334,OF,NLRTM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,4
