plan_level,voyage_id,group_id,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453334,453334_S001,OF,BEANT,20,PQ,UNK,False,NORMAL,6A,03,6A-SB01,01|03|05|07|09|11,18,2
small,453334,453334_S002,OF,BEZEE,20,PQ,UNK,False,NORMAL,6A,13,6A-SB02,13|15|17|19|21|23,27,4
small,453334,453334_S003,OF,GBFXT,20,PQ,UNK,False,NORMAL,6A,29,6A-SB03,25|27|29|31|33|35,12,4
small,453334,453334_S004,OF,GBLGP,20,PQ,UNK,False,NORMAL,6A,37,6A-SB04,37|39|41|43|45|47,32,5
small,453334,453334_S005,OF,LKCMB,20,PQ,UNK,False,NORMAL,6A,49,6A-SB05,49|51|53|55|57|59,1,1
small,453334,453334_S006,OF,LTKLJ,20,PQ,UNK,False,NORMAL,6A,05,6A-SB01,01|03|05|07|09|11,18,3
small,453334,453334_S007,OF,NLRTM,20,PQ,UNK,False,NORMAL,49,05,49-SB01,01|03|05|07|09|11,65,14
small,453334,453334_S007,OF,NLRTM,20,PQ,UNK,False,NORMAL,49,11,49-SB01,01|03|05|07|09|11,65,15
small,453334,453334_S007,OF,NLRTM,20,PQ,UNK,False,NORMAL,49,13,49-SB02,13|15|17|19|21|23,37,2
small,453334,453334_S007,OF,NLRTM,20,PQ,UNK,False,NORMAL,6A,11,6A-SB01,01|03|05|07|09|11,18,12
small,453334,453334_S007,OF,NLRTM,20,PQ,UNK,False,NORMAL,79,09,79-SB01,01|03|05|07|09|11,9,9
small,453334,453334_S008,OF,PLGDN,20,PQ,UNK,False,NORMAL,79,17,79-SB02,13|15|17|19|21|23,15,15
small,453334,453334_S008,OF,PLGDN,20,PQ,UNK,False,NORMAL,79,27,79-SB03,25|27|29|31|33|35,1,1
small,453334,453334_S009,OF,SGSIN,20,PQ,UNK,False,NORMAL,89,03,89-SB01,01|03|05|07|09|11,11,11
small,453334,453334_S010,OF,VNVUT,20,PQ,UNK,False,NORMAL,79,49,79-SB05,49|51|53|55|57|59,1,1
small,453334,453334_S011,OF,BEANT,40,HQ,UNK,False,NORMAL,6A,61,6A-SB06,61|63|65|67|69|71,2,2
small,453334,453334_S012,OF,BEANT,40,PQ,UNK,False,NORMAL,6A,01,6A-SB01,01|03|05|07|09|11,18,1
small,453334,453334_S013,OF,BEZEE,40,HQ,UNK,False,NORMAL,6A,15,6A-SB02,13|15|17|19|21|23,27,5
small,453334,453334_S014,OF,GBFXT,40,HQ,UNK,False,NORMAL,6A,17,6A-SB02,13|15|17|19|21|23,27,11
small,453334,453334_S014,OF,GBFXT,40,HQ,UNK,False,NORMAL,6A,19,6A-SB02,13|15|17|19|21|23,27,7
small,453334,453334_S015,OF,GBFXT,40,PQ,UNK,False,NORMAL,6A,31,6A-SB03,25|27|29|31|33|35,12,1
small,453334,453334_S016,OF,LKCMB,40,HQ,UNK,False,NORMAL,6A,33,6A-SB03,25|27|29|31|33|35,12,1
small,453334,453334_S017,OF,LTKLJ,40,HQ,UNK,False,NORMAL,6A,35,6A-SB03,25|27|29|31|33|35,12,6
small,453334,453334_S018,OF,NLRTM,40,HQ,UNK,False,NORMAL,6A,39,6A-SB04,37|39|41|43|45|47,32,22
small,453334,453334_S019,OF,NLRTM,40,PQ,UNK,False,NORMAL,6A,45,6A-SB04,37|39|41|43|45|47,32,5
small,453334,453334_S020,OF,PLGDN,40,HQ,UNK,False,NORMAL,49,27,49-SB03,25|27|29|31|33|35,98,14
small,453334,453334_S021,OF,PLGDN,40,PQ,UNK,False,NORMAL,49,37,49-SB04,37|39|41|43|45|47,12,2
small,453334,453334_S022,OF,SGSIN,40,HQ,UNK,False,NORMAL,49,49,49-SB05,49|51|53|55|57|59,5,5
small,453334,453334_S023,OF,SGSIN,40,PQ,UNK,False,NORMAL,49,19,49-SB02,13|15|17|19|21|23,37,1
small,453400,453400_S001,OF,DEBRV,20,PQ,UNK,False,NORMAL,49,21,49-SB02,13|15|17|19|21|23,37,24
small,453400,453400_S002,OF,DEWVN,20,PQ,UNK,False,NORMAL,49,23,49-SB02,13|15|17|19|21|23,37,10
small,453400,453400_S002,OF,DEWVN,20,PQ,UNK,False,NORMAL,49,25,49-SB03,25|27|29|31|33|35,98,16
small,453400,453400_S002,OF,DEWVN,20,PQ,UNK,False,NORMAL,49,33,49-SB03,25|27|29|31|33|35,98,9
small,453400,453400_S003,OF,MAPTM,20,PQ,UNK,False,NORMAL,6C,03,6C-SB01,01|03|05|07|09|11,1,1
small,453400,453400_S004,OF,MATAN,20,PQ,UNK,False,NORMAL,6C,29,6C-SB03,29|31|33|35|37|39,1,1
small,453400,453400_S005,OF,MYTPP,20,PQ,UNK,False,NORMAL,28,13,28-SB02,13|15|17|19|21|23,12,12
small,453400,453400_S006,OF,NLRTM,20,PQ,UNK,False,NORMAL,6C,45,6C-SB04,41|43|45|47|49|51,2,2
small,453400,453400_S007,OF,DEBRV,40,HQ,UNK,False,NORMAL,2A,05,2A-SB01,01|03|05|07|09|11,33,26
small,453400,453400_S007,OF,DEBRV,40,HQ,UNK,False,NORMAL,2A,07,2A-SB01,01|03|05|07|09|11,33,7
small,453400,453400_S008,OF,DEBRV,40,PQ,UNK,False,NORMAL,2A,13,2A-SB02,13|15|17|19|21|23,8,8
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,2A,25,2A-SB03,25|27|29|31|33|35,52,26
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,2A,27,2A-SB03,25|27|29|31|33|35,52,26
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,49,07,49-SB01,01|03|05|07|09|11,65,18
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,49,09,49-SB01,01|03|05|07|09|11,65,18
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,49,29,49-SB03,25|27|29|31|33|35,98,21
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,49,31,49-SB03,25|27|29|31|33|35,98,21
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,49,35,49-SB03,25|27|29|31|33|35,98,17
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,6C,21,6C-SB02,13|15|21|23|25|27,12,6
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,6C,23,6C-SB02,13|15|21|23|25|27,12,6
small,453400,453400_S009,OF,DEWVN,40,HQ,UNK,False,NORMAL,6C,55,6C-SB05,53|55|57|59|61|63,21,21
small,453400,453400_S010,OF,DEWVN,40,PQ,UNK,False,NORMAL,2A,37,2A-SB04,37|39|41|43|45|47,11,11
small,453400,453400_S011,OF,MAPTM,40,HQ,UNK,False,NORMAL,8A,01,8A-SB01,01|03|05|07|09|11,18,18
small,453400,453400_S012,OF,MAPTM,40,PQ,UNK,False,NORMAL,49,39,49-SB04,37|39|41|43|45|47,12,1
small,453400,453400_S013,OF,MATAN,40,HQ,UNK,False,NORMAL,8A,17,8A-SB02,13|15|17|19|21|23,10,9
small,453400,453400_S013,OF,MATAN,40,HQ,UNK,False,NORMAL,8A,19,8A-SB02,13|15|17|19|21|23,10,1
small,453400,453400_S014,OF,MATAT,40,HQ,UNK,False,NORMAL,8A,25,8A-SB03,25|27|29|31|33|35,14,14
small,453400,453400_S015,OF,MATAT,40,PQ,UNK,False,NORMAL,49,45,49-SB04,37|39|41|43|45|47,12,2
small,453400,453400_S016,OF,MYTPP,40,HQ,UNK,False,NORMAL,8A,41,8A-SB04,37|39|41|43|45|47,64,26
small,453400,453400_S016,OF,MYTPP,40,HQ,UNK,False,NORMAL,8A,43,8A-SB04,37|39|41|43|45|47,64,26
small,453400,453400_S016,OF,MYTPP,40,HQ,UNK,False,NORMAL,8A,45,8A-SB04,37|39|41|43|45|47,64,12
small,453400,453400_S017,OF,MYTPP,40,PQ,UNK,False,NORMAL,49,47,49-SB04,37|39|41|43|45|47,12,7
small,453400,453400_S018,OF,NLRTM,40,HQ,UNK,False,NORMAL,28,29,28-SB03,25|27|29|31|37|39,2,2
small,453400,453400_S019,OF,DEWVN,45,HQ,UNK,False,NORMAL,49,63,,,0,1
