phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,6572.757977,6572.757977,80.0,0
medium,3000,24927.830273,6572.757977,43.942422,1534
medium,6000,23873.066668,6572.757977,24.136705,2967
medium,9000,19545.668871,6572.757977,13.257816,4045
medium,12000,16508.747929,6572.757977,7.282257,4862
medium,15000,14823.085075,6572.757977,4.0,5486
medium,18000,12929.675701,6572.757977,2.197121,6010
medium,21000,11703.752088,6572.757977,1.206835,6456
medium,24000,10755.224282,6572.757977,0.662891,6828
medium,27000,9927.33087,6572.757977,0.364113,7099
medium,30000,9424.523787,6572.757977,0.2,7302
