voyage_id,flow,port,size_mode,predicted_boxes,ratio_target_boxes,doc_boxes,planned_boxes,planning_stage,planning_ratio
453250,OF,COCTG,20,20,4,0,4,open_second_24h,0.2
453250,OF,KRPUS,20,227,45,22,45,open_second_24h,0.2
453250,OF,USNW2,20,5,1,0,1,open_second_24h,0.2
453250,OF,USNYC,20,18,4,2,4,open_second_24h,0.2
453250,OF,USORF,20,16,3,2,3,open_second_24h,0.2
453250,OF,CAVA3,40,4,1,0,1,open_second_24h,0.2
453250,OF,COCTG,40,153,31,3,31,open_second_24h,0.2
453250,OF,KRPUS,40,1324,265,30,265,open_second_24h,0.2
453250,OF,USNW2,40,12,2,2,2,open_second_24h,0.2
453250,OF,USNWK,40,138,28,6,28,open_second_24h,0.2
453250,OF,USNYC,40,246,49,8,49,open_second_24h,0.2
453250,OF,USORF,40,201,40,3,40,open_second_24h,0.2
453308,OF,ESBCN,20,119,12,22,22,open_third_24h_or_later,0.1
453308,OF,ESVLC,20,112,11,30,30,open_third_24h_or_later,0.1
453308,OF,ITGOA,20,124,12,13,13,open_third_24h_or_later,0.1
453308,OF,ITSPE,20,109,11,1,1,open_third_24h_or_later,0.1
453308,OF,MAMED,20,75,8,2,2,open_third_24h_or_later,0.1
453308,OF,MYTPP,20,9,1,25,25,open_third_24h_or_later,0.1
453308,OF,ESBCD,40,17,2,0,2,open_third_24h_or_later,0.1
453308,OF,ESBCN,40,279,28,5,28,open_third_24h_or_later,0.1
453308,OF,ESVLC,40,403,40,5,40,open_third_24h_or_later,0.1
453308,OF,ESVLD,40,11,1,0,1,open_third_24h_or_later,0.1
453308,OF,ITC79,40,8,1,0,1,open_third_24h_or_later,0.1
453308,OF,ITGOA,40,215,21,6,21,open_third_24h_or_later,0.1
453308,OF,ITSPE,40,248,25,2,25,open_third_24h_or_later,0.1
453308,OF,MAMED,40,171,17,1,17,open_third_24h_or_later,0.1
453308,OF,MYTPP,40,47,5,8,5,open_third_24h_or_later,0.1
453308,OF,ESBCD,45,13,1,0,1,open_third_24h_or_later,0.1
453308,OF,MAMED,45,3,1,0,1,open_third_24h_or_later,0.1
453324,OF,USLAX,20,30,3,2,3,open_third_24h_or_later,0.1
453324,OF,USLSA,20,47,4,0,4,open_third_24h_or_later,0.1
453324,OF,USOAK,20,19,2,0,2,open_third_24h_or_later,0.1
453324,OF,USPS1,20,37,4,0,4,open_third_24h_or_later,0.1
453324,OF,USPS2,20,59,6,0,6,open_third_24h_or_later,0.1
453324,OF,USLAX,40,285,28,9,28,open_third_24h_or_later,0.1
453324,OF,USLSA,40,344,34,2,34,open_third_24h_or_later,0.1
453324,OF,USOAK,40,480,48,0,48,open_third_24h_or_later,0.1
453324,OF,USPS1,40,109,11,0,11,open_third_24h_or_later,0.1
453324,OF,USPS2,40,166,17,1,17,open_third_24h_or_later,0.1
453324,OF,USLAX,45,13,2,0,2,open_third_24h_or_later,0.1
453352,OF,JPNGO,20,19,4,0,4,open_second_24h,0.2
453352,OF,JPUKB,20,38,7,0,7,open_second_24h,0.2
453352,OF,JPNGO,40,78,15,8,15,open_second_24h,0.2
453352,OF,JPUKB,40,209,42,3,42,open_second_24h,0.2
453356,OF,MXLZC,20,50,5,0,5,open_third_24h_or_later,0.1
453356,OF,USCHS,20,88,9,3,9,open_third_24h_or_later,0.1
453356,OF,USNYC,20,34,3,0,3,open_third_24h_or_later,0.1
453356,OF,USSA3,20,17,2,0,2,open_third_24h_or_later,0.1
453356,OF,USSAV,20,90,9,4,9,open_third_24h_or_later,0.1
