plan_level,voyage_id,group_id,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,29,03,29-SB01,01|03|05|07|09|11,7,7
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,2A,03,2A-SB01,01|03|05|07|09|11,1,1
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,49,03,49-SB01,01|03|05|07|09|11,5,2
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,4C,03,4C-SB01,01|03|05|07|09|11,4,4
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,5B,03,5B-SB01,01|03|05|07|09|11,7,7
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,5D,05,5D-SB01,01|03|05|07|09|11,1,1
small,453250,453250_S002,OF,USNYC,20,PQ,UNK,False,NORMAL,6A,03,6A-SB01,01|03|05|07|09|11,2,2
small,453250,453250_S003,OF,USORF,20,PQ,UNK,False,NORMAL,6A,17,6A-SB02,17|19|21|23|25|27,2,2
small,453250,453250_S004,OF,COCTG,40,HQ,UNK,False,NORMAL,EE,01,EE-SB01,01|03|05|07|09|11,3,2
small,453250,453250_S004,OF,COCTG,40,HQ,UNK,False,NORMAL,EE,03,EE-SB01,01|03|05|07|09|11,3,1
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,49,13,49-SB02,13|15|17|19|21|23,30,26
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,49,15,49-SB02,13|15|17|19|21|23,30,4
small,453250,453250_S006,OF,USNW2,40,HQ,UNK,False,NORMAL,EE,13,EE-SB02,13|15|17|19|21|23,2,2
small,453250,453250_S007,OF,USNWK,40,HQ,UNK,False,NORMAL,E4,67,E4-SB05,59|61|63|65|67|69,6,6
small,453250,453250_S008,OF,USNYC,40,HQ,UNK,False,NORMAL,49,25,49-SB03,25|27|29|31|33|35,8,8
small,453250,453250_S009,OF,USORF,40,HQ,UNK,False,NORMAL,EE,25,EE-SB03,25|27|29|31|33|35,3,3
small,453308,453308_S001,OF,ESBCN,20,PQ,UNK,False,NORMAL,5C,05,5C-SB01,01|03|05|07|09|11,22,22
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,13,5C-SB02,13|15|17|19|21|25,30,10
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,15,5C-SB02,13|15|17|19|21|25,30,10
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,17,5C-SB02,13|15|17|19|21|25,30,3
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,19,5C-SB02,13|15|17|19|21|25,30,3
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,21,5C-SB02,13|15|17|19|21|25,30,4
small,453308,453308_S003,OF,ITGOA,20,PQ,UNK,False,NORMAL,5C,27,5C-SB03,27|29|31|33|35|37,13,9
small,453308,453308_S003,OF,ITGOA,20,PQ,UNK,False,NORMAL,5C,29,5C-SB03,27|29|31|33|35|37,13,4
small,453308,453308_S004,OF,ITSPE,20,PQ,UNK,False,NORMAL,E7,15,E7-SB01,11|13|15|17|19|21,1,1
small,453308,453308_S005,OF,MAMED,20,PQ,UNK,False,NORMAL,E9,15,E9-SB01,11|13|15|17|19|21,2,2
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,2C,03,2C-SB01,01|03|05|07|09|11,1,1
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,59,05,59-SB01,01|03|05|07|09|11,7,7
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,5C,39,5C-SB04,39|41|43|47|49|51,7,7
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,69,03,69-SB01,01|03|05|07|09|11,12,1
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,6A,29,6A-SB03,29|31|33|35|37|39,5,5
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,89,03,89-SB01,01|03|05|07|13|15,20,2
small,453308,453308_S006,OF,MYTPP,20,PQ,UNK,False,NORMAL,89,05,89-SB01,01|03|05|07|13|15,20,1
