phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,6572.757977,6572.757977,80.0,0
medium,3000,21951.749339,6572.757977,43.942422,1437
medium,6000,22221.732476,6572.757977,24.136705,2765
medium,9000,19471.85228,6572.757977,13.257816,3806
medium,12000,15987.586587,6572.757977,7.282257,4617
medium,15000,13642.235704,6572.757977,4.0,5276
medium,18000,11718.053146,6572.757977,2.197121,5819
medium,21000,10445.01331,6572.757977,1.206835,6273
medium,24000,9751.056491,6572.757977,0.662891,6605
medium,27000,9129.082836,6572.757977,0.364113,6893
medium,30000,8341.840496,6572.757977,0.2,7091
