phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,6572.757977,6572.757977,80.0,0
medium,3000,24579.852733,6572.757977,43.942422,1514
medium,6000,24645.033165,6572.757977,24.136705,2936
medium,9000,20829.637426,6572.757977,13.257816,3992
medium,12000,17283.437882,6572.757977,7.282257,4739
medium,15000,15365.89327,6572.757977,4.0,5383
medium,18000,13248.747758,6572.757977,2.197121,5945
medium,21000,11586.655466,6572.757977,1.206835,6380
medium,24000,10627.022533,6572.757977,0.662891,6706
medium,27000,9993.489684,6572.757977,0.364113,6961
medium,30000,9436.256727,6572.757977,0.2,7148
