phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,6572.757977,6572.757977,80.0,0
medium,3000,21768.315098,6572.757977,43.942422,1516
medium,6000,23136.21753,6572.757977,24.136705,2943
medium,9000,19082.309047,6572.757977,13.257816,4066
medium,12000,16030.028654,6572.757977,7.282257,4850
medium,15000,13797.883439,6572.757977,4.0,5481
medium,18000,12292.959523,6572.757977,2.197121,6006
medium,21000,10979.077118,6572.757977,1.206835,6406
medium,24000,9738.106711,6572.757977,0.662891,6751
medium,27000,8958.464606,6572.757977,0.364113,7004
medium,30000,8552.092772,6572.757977,0.2,7177
