plan_level,voyage_id,flow,port,size,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,planned_boxes
medium,453250,OF,CAVA3,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,1
medium,453250,OF,COCTG,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,4
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,19,2
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,4
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,29,2
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2A,4
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,49,4
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,4C,2
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,5
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,4
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6C,2
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E4,1
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,EE,1
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,9
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,29,7
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2A,1
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2B,1
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,49,2
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,4C,4
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,8
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5D,1
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,9
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6C,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,19,17
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,31
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,29,16
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2A,30
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2B,1
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,39,2
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,49,32
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,4C,19
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,38
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,38
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6C,20
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E4,4
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E5,1
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E6,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E7,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E9,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,ED,2
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,EE,5
medium,453250,OF,USNW2,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,1
medium,453250,OF,USNW2,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,2
medium,453250,OF,USNWK,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,19,2
medium,453250,OF,USNWK,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,3
medium,453250,OF,USNWK,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,29,2
medium,453250,OF,USNWK,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,2A,3
