plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,28-SB01,28,01|03|05|07|13|15,2,453324_S001|2
small_six_bay_block,28-SB02,28,17|19|21|23|25|27,3,453356_S001|3
small_six_bay_block,28-SB03,28,33|35|37|39|45|47,4,453356_S002|4
small_six_bay_block,28-SB04,28,49|51|53|55|57|59,9,453388_S006|9
small_six_bay_block,29-SB01,29,01|03|05|07|09|11,7,453250_S001|7
small_six_bay_block,29-SB02,29,13|15|17|19|21|23,67,453388_S003|67
small_six_bay_block,29-SB03,29,25|27|29|31|33|35,66,453388_S015|63;453388_S016|3
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,1,453250_S001|1
small_six_bay_block,2A-SB02,2A,13|15|17|19|21|23,11,453416_S004|11
small_six_bay_block,2A-SB03,2A,25|27|29|31|33|35,16,453416_S010|16
small_six_bay_block,2B-SB01,2B,01|03|05|07|09|11,5,453324_S002|5
small_six_bay_block,2B-SB02,2B,13|15|21|23|25|27,1,453388_S005|1
small_six_bay_block,2C-SB01,2C,01|03|05|07|09|11,1,453308_S006|1
small_six_bay_block,2D-SB01,2D,01|03|05|07|09|11,2,454549_S001|2
small_six_bay_block,2D-SB02,2D,13|15|17|21|23|29,5,454549_S002|5
small_six_bay_block,2D-SB03,2D,31|33|35|37|39|41,1,454549_S003|1
small_six_bay_block,49-SB01,49,01|03|05|07|09|11,5,453250_S001|2;453412_S012|3
small_six_bay_block,49-SB02,49,13|15|17|19|21|23,30,453250_S005|30
small_six_bay_block,49-SB03,49,25|27|29|31|33|35,8,453250_S008|8
small_six_bay_block,49-SB04,49,37|39|41|43|45|47,8,453352_S001|8
small_six_bay_block,49-SB05,49,49|51|53|55|57|59,3,453352_S002|3
small_six_bay_block,4A-SB01,4A,01|03|05|07|09|11,20,453388_S001|20
small_six_bay_block,4A-SB02,4A,13|15|17|19|21|23,103,453388_S002|20;453388_S003|16;453388_S010|67
small_six_bay_block,4A-SB03,4A,25|27|29|31|33|35,56,453388_S012|45;453388_S013|11
small_six_bay_block,4A-SB04,4A,37|39|41|43|45|47,112,453416_S012|94;453416_S013|18
small_six_bay_block,4A-SB05,4A,49|51|53|55|57|59,1,453416_S013|1
small_six_bay_block,4B-SB01,4B,01|03|05|07|09|11,11,453388_S003|5;453388_S011|6
small_six_bay_block,4B-SB02,4B,13|15|17|19|21|23,57,453388_S008|51;453388_S009|6
small_six_bay_block,4B-SB03,4B,25|27|29|31|33|35,51,453388_S010|51
small_six_bay_block,4C-SB01,4C,01|03|05|07|09|11,4,453250_S001|4
small_six_bay_block,59-SB01,59,01|03|05|07|09|11,7,453308_S006|7
small_six_bay_block,5A-SB01,5A,01|03|05|07|09|11,35,453416_S001|22;454585_S001|2;454585_S002|3;454585_S003|1;454585_S006|3;454585_S007|4
small_six_bay_block,5A-SB02,5A,13|15|17|19|21|23,65,453416_S002|47;454585_S004|2;454585_S005|1;454585_S008|1;454585_S009|14
small_six_bay_block,5A-SB03,5A,25|27|29|31|33|35,61,453416_S003|8;453416_S011|5;454585_S010|17;454585_S011|1;454585_S012|30
small_six_bay_block,5A-SB04,5A,37|39|41|43|45|47,111,453416_S005|109;454585_S013|2
small_six_bay_block,5A-SB05,5A,49|51|53|55|57|59,72,453416_S008|42;454585_S014|1;454585_S017|14;454585_S018|15
small_six_bay_block,5A-SB06,5A,61|63|65|67|69|71,55,453416_S010|55
small_six_bay_block,5B-SB01,5B,01|03|05|07|09|11,7,453250_S001|7
small_six_bay_block,5C-SB01,5C,01|03|05|07|09|11,22,453308_S001|22
small_six_bay_block,5C-SB02,5C,13|15|17|19|21|25,30,453308_S002|30
small_six_bay_block,5C-SB03,5C,27|29|31|33|35|37,13,453308_S003|13
small_six_bay_block,5C-SB04,5C,39|41|43|47|49|51,7,453308_S006|7
small_six_bay_block,5D-SB01,5D,01|03|05|07|09|11,1,453250_S001|1
small_six_bay_block,5E-SB01,5E,01|03|05|07|09|11,6,453412_S003|6
small_six_bay_block,5E-SB02,5E,13|15|17|19|21|23,27,453412_S005|27
small_six_bay_block,5E-SB03,5E,25|27|29|31|33|35,5,453412_S005|5
small_six_bay_block,5F-SB01,5F,05|07|09|11|13|15,7,453412_S002|7
small_six_bay_block,69-SB01,69,01|03|05|07|09|11,12,453308_S006|1;454710_S006|3;454710_S007|8
small_six_bay_block,69-SB02,69,13|15|17|19|21|23,45,454585_S015|45
small_six_bay_block,69-SB03,69,25|27|29|31|33|35,2,454710_S001|2
small_six_bay_block,69-SB04,69,37|39|41|43|45|47,17,454710_S002|13;454710_S008|4
small_six_bay_block,69-SB05,69,49|51|53|55|57|59,5,454710_S003|5
small_six_bay_block,69-SB06,69,61|63|65|67|69|71,5,454710_S005|5
small_six_bay_block,6A-SB01,6A,01|03|05|07|09|11,2,453250_S002|2
small_six_bay_block,6A-SB02,6A,17|19|21|23|25|27,2,453250_S003|2
small_six_bay_block,6A-SB03,6A,29|31|33|35|37|39,5,453308_S006|5
small_six_bay_block,6B-SB01,6B,01|03|05|07|09|11,20,453396_S005|20
small_six_bay_block,6B-SB02,6B,13|15|17|19|21|23,7,453396_S006|7
small_six_bay_block,6B-SB03,6B,25|27|29|31|33|35,15,453396_S009|10;453396_S010|5
small_six_bay_block,6B-SB04,6B,45|47|49|51|57|59,24,453412_S004|24
small_six_bay_block,6C-SB01,6C,01|03|05|07|09|11,2,453396_S004|2
small_six_bay_block,89-SB01,89,01|03|05|07|13|15,20,453308_S006|3;453388_S004|15;453388_S015|2
small_six_bay_block,89-SB02,89,17|19|21|23|25|27,33,453308_S007|5;453388_S004|9;453388_S015|1;453388_S017|18
small_six_bay_block,89-SB03,89,29|31|33|35|37|39,43,453308_S008|5;453388_S018|2;453388_S019|36
small_six_bay_block,89-SB04,89,41|43|45|47|49|51,43,453308_S014|8;453388_S019|32;453388_S020|3
small_six_bay_block,89-SB05,89,53|55|57|59|61|63,29,453388_S003|29
small_six_bay_block,8A-SB01,8A,01|03|05|07|09|11,1,453396_S001|1
small_six_bay_block,8A-SB02,8A,13|15|17|19|21|23,23,454710_S004|18;454710_S012|5
small_six_bay_block,8A-SB03,8A,25|27|29|31|33|35,7,454710_S005|7
small_six_bay_block,8A-SB04,8A,37|39|41|43|45|47,32,454710_S007|32
small_six_bay_block,8A-SB05,8A,49|51|53|55|57|59,1,454710_S011|1
small_six_bay_block,8B-SB01,8B,01|03|05|07|09|11,8,453412_S001|8
small_six_bay_block,8B-SB02,8B,13|15|17|19|21|23,14,453412_S008|14
small_six_bay_block,8B-SB03,8B,25|27|37|39|41|43,33,453412_S011|33
small_six_bay_block,8B-SB04,8B,45|47|49|51|53|55,29,454710_S009|20;454710_S010|9
small_six_bay_block,8B-SB05,8B,57|59|61|63|65|67,7,454710_S011|7
small_six_bay_block,9B-SB01,9B,01|03|05|07|09|11,11,453396_S002|11
small_six_bay_block,9B-SB02,9B,13|15|17|19|21|23,4,453396_S003|4
small_six_bay_block,E2-SB02,E2,23|25|27|29|31|33,1,453308_S006|1
small_six_bay_block,E4-SB01,E4,11|13|15|17|19|21,2,453388_S014|2
small_six_bay_block,E4-SB02,E4,23|25|27|29|31|33,3,453388_S003|3
small_six_bay_block,E4-SB03,E4,35|37|39|41|43|45,16,453388_S012|16
small_six_bay_block,E4-SB04,E4,47|49|51|53|55|57,3,453412_S010|3
small_six_bay_block,E4-SB05,E4,59|61|63|65|67|69,6,453250_S007|6
small_six_bay_block,E7-SB01,E7,11|13|15|17|19|21,1,453308_S004|1
small_six_bay_block,E7-SB02,E7,23|25|27|29|31|33,1,453324_S005|1
small_six_bay_block,E8-SB01,E8,11|13|15|17|19|21,1,454585_S016|1
small_six_bay_block,E9-SB01,E9,11|13|15|17|19|21,2,453308_S005|2
small_six_bay_block,EC-SB01,EC,11|13|15|17|19|21,2,453396_S008|2
small_six_bay_block,EC-SB05,EC,59|61|63|65|67|69,2,453308_S009|2
small_six_bay_block,ED-SB01,ED,11|13|15|17|19|21,2,453308_S011|1;453308_S012|1
small_six_bay_block,ED-SB02,ED,23|25|27|29|31|33,1,453308_S013|1
small_six_bay_block,ED-SB03,ED,35|37|39|41|43|45,2,453324_S004|2
small_six_bay_block,ED-SB04,ED,47|49|51|53|55|57,3,453356_S003|2;453356_S004|1
small_six_bay_block,ED-SB05,ED,59|61|63|65|67|69,1,453356_S005|1
small_six_bay_block,ED-SB06,ED,71|73|75|77|79|81,2,453396_S007|2
small_six_bay_block,ED-SB07,ED,83|85|87|89|91|93,1,453396_S011|1
small_six_bay_block,ED-SB08,ED,95|97|99|A1|A3|A5,1,453412_S007|1
small_six_bay_block,ED-SB09,ED,A7|A9|B1|B3|B5|B7,18,453412_S008|16;453412_S009|2
small_six_bay_block,ED-SB10,ED,B9|C1|C3|C5|C7|C9,1,453416_S007|1
small_six_bay_block,ED-SB11,ED,D1|D3|D5|D7|D9|E1,30,453416_S008|25;453416_S009|5
small_six_bay_block,EE-SB01,EE,01|03|05|07|09|11,3,453250_S004|3
small_six_bay_block,EE-SB02,EE,13|15|17|19|21|23,2,453250_S006|2
small_six_bay_block,EE-SB03,EE,25|27|29|31|33|35,3,453250_S009|3
small_six_bay_block,EE-SB04,EE,37|39|41|43|45|47,4,453308_S009|2;453308_S010|2
small_six_bay_block,EE-SB05,EE,49|51|53|55|57|59,4,453324_S002|2;453324_S003|2
small_six_bay_block,EE-SB06,EE,61|63|65|67|69|71,22,453412_S005|20;453412_S006|2
small_six_bay_block,EE-SB07,EE,73|75|77|79|81|83,42,453416_S005|38;453416_S006|4
small_six_bay_block,EE-SB08,EE,85|87|89|91|93|95,3,454549_S004|3
small_six_bay_block,EE-SB09,EE,97|99|A1|A3|A5|A7,1,454549_S005|1
