voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453250,OF,19,20,2,0.0,2.0
453250,OF,49,20,8,0.0,8.0
453250,OF,6A,20,51,35.0,16.0
453308,OF,59,20,114,95.0,19.0
453308,OF,69,20,14,0.0,14.0
453308,OF,6A,20,77,16.0,61.0
453324,OF,28,20,46,45.0,1.0
453324,OF,38,20,2,1.0,1.0
453352,OF,29,20,25,0.0,25.0
453352,OF,49,20,25,0.0,25.0
453356,OF,19,20,48,0.0,48.0
453356,OF,28,20,48,0.0,48.0
453356,OF,29,20,34,4.0,30.0
453356,OF,38,20,48,0.0,48.0
453356,OF,39,20,27,0.0,27.0
453356,OF,3A,20,1,0.0,1.0
453388,OF,28,20,75,0.0,75.0
453388,OF,29,20,74,0.0,74.0
453388,OF,4A,20,73,32.0,41.0
453388,OF,89,20,75,0.0,75.0
453396,OF,59,20,24,5.0,19.0
453412,OF,49,20,21,0.0,21.0
453416,OF,28,20,99,0.0,99.0
453416,OF,38,20,98,34.0,64.0
453416,OF,5A,20,99,0.0,99.0
454549,OF,49,20,2,1.0,1.0
454549,OF,69,20,8,1.0,7.0
454549,OZ,11,20,2,1.0,1.0
454585,OF,59,20,60,0.0,60.0
454585,OF,5A,20,24,0.0,24.0
454585,OF,7A,20,1,0.0,1.0
454710,OF,69,20,25,0.0,25.0
454710,OF,8A,20,25,0.0,25.0
453273,IF,79,20,123,0.0,123.0
453273,IZ,68,20,208,0.0,208.0
453273,T,43,20,288,0.0,288.0
453273,T,53,20,22,0.0,22.0
453307,IF,79,20,89,0.0,89.0
453307,IZ,68,20,2,0.0,2.0
453307,T,53,20,170,0.0,170.0
453307,T,54,20,1,0.0,1.0
454548,IF,7G,20,2,0.0,2.0
454548,T,13,20,279,0.0,279.0
454548,T,15,20,1,0.0,1.0
454548,T,24,20,22,0.0,22.0
454548,T,32,20,440,0.0,440.0
454548,T,33,20,392,0.0,392.0
454548,T,42,20,331,0.0,331.0
454548,T,44,20,1,0.0,1.0
454548,T,52,20,279,0.0,279.0
454548,T,55,20,1,0.0,1.0
453250,OF,19,40,72,1.0,71.0
453250,OF,2A,40,129,6.0,123.0
453250,OF,39,40,9,0.0,9.0
453250,OF,49,40,138,1.0,137.0
453250,OF,6A,40,161,104.0,57.0
453250,OZ,10,40,2,1.0,1.0
453250,T,22,40,34,1.0,33.0
453250,T,62,40,25,6.0,19.0
453308,OF,6A,40,220,187.0,33.0
453308,T,62,40,2,0.0,2.0
453324,OF,1A,40,64,39.0,25.0
453324,OF,38,40,1,0.0,1.0
453324,OF,39,40,233,232.0,1.0
453324,T,72,40,8,5.0,3.0
453352,OF,29,40,78,0.0,78.0
453352,OF,49,40,78,0.0,78.0
453352,T,22,40,4,1.0,3.0
453356,OF,38,40,9,3.0,6.0
453356,OF,3A,40,52,2.0,50.0
453356,OF,8A,40,114,0.0,114.0
453356,T,22,40,3,0.0,3.0
453388,OF,28,40,26,0.0,26.0
453388,OF,29,40,66,0.0,66.0
453388,OF,2B,40,104,0.0,104.0
453388,OF,4A,40,123,85.0,38.0
453388,OF,4B,40,123,2.0,121.0
