voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,19,1,40,
453250,OF,29,10,20,
453250,OF,29,89,40,
453250,OF,2A,33,40,
453250,OF,39,9,40,
453250,OF,49,16,20,
453250,OF,49,159,40,
453250,OF,4B,100,40,
453250,OF,6A,6,40,
453250,OZ,10,1,40,
453250,T,22,33,40,
453250,T,62,19,40,
453308,OF,3B,33,40,
453308,OF,59,68,20,
453308,OF,89,26,20,
453308,T,62,2,40,
453324,OF,28,2,20,
453324,OF,3B,27,40,
453324,T,72,3,40,
453352,OF,49,16,20,
453352,OF,49,79,40,
453352,OF,59,17,20,
453352,OF,59,77,40,
453352,OF,69,17,20,
453352,T,22,3,40,
453356,OF,19,36,20,
453356,OF,28,47,20,
453356,OF,29,42,20,
453356,OF,29,18,40,
453356,OF,2A,102,40,
453356,OF,38,47,20,
453356,OF,39,29,20,
453356,OF,3A,1,20,
453356,OF,3A,50,40,
453356,T,22,3,40,
453388,OF,1B,105,40,
453388,OF,49,84,20,
453388,OF,4A,44,20,
453388,OF,4A,8,40,
453388,OF,4B,127,40,
453388,OF,5A,53,20,
453388,OF,5A,225,40,
453388,OF,69,84,20,
453388,T,62,6,40,
453396,OF,89,19,20,
453396,OF,8A,79,40,
453396,T,62,4,40,
453396,T,72,13,40,
453412,OF,49,21,20,
453412,OF,4B,40,40,
453412,OF,6B,158,40,
453412,T,62,1,40,
453416,OF,1A,28,40,
453416,OF,28,96,20,
453416,OF,28,65,40,
453416,OF,2A,121,40,
453416,OF,2B,104,40,
453416,OF,38,66,20,
453416,OF,38,29,40,
453416,OF,4A,188,40,
453416,OF,89,100,20,
453416,OF,89,75,40,
453416,T,22,5,40,
454447,OF,19,120,20,
454447,OF,29,57,20,
454447,OF,29,47,40,
454447,OF,3B,132,40,
454447,OF,4B,110,40,
454447,OF,5B,132,40,
454447,OF,69,119,20,
454447,OF,69,129,40,
454447,OF,6A,6,20,
454447,OF,6A,121,40,
454549,OF,1A,71,40,
454549,OF,49,8,20,
454549,OF,69,40,40,
454549,OF,AB,116,40,
454549,OZ,10,18,40,
454549,OZ,11,1,20,
454549,OZ,11,58,40,
454549,OZ,E2,19,40,
454585,OF,59,67,20,
454585,OF,59,2,40,
454585,OF,5A,208,40,
454585,OF,69,1,40,
454585,OF,7A,71,40,
454585,OF,8A,18,20,
454585,OF,8B,57,40,
454585,OZ,10,2,40,
454710,OF,19,18,20,
454710,OF,19,8,40,
454710,OF,4A,32,40,
454710,OF,8A,21,20,
454710,OF,8A,21,40,
454710,OF,8B,11,20,
454710,OF,8B,27,40,
454710,OF,E5,3,40,
