column_id,group_id,demand_source,voyage_id,flow,port,size,height,area_no,bay_no,six_bay_block_id,quantity,stack_units,intrinsic_cost
C0000001,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,01,4B-SB01,1,1,1.0
C0000002,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,01,4B-SB01,4,1,1.0
C0000003,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,01,4B-SB01,9,2,1.0
C0000004,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,61,,1,1,7.0
C0000005,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,61,,4,1,7.0
C0000006,453388_S021,document,453388,OF,CAVAN,45,HQ,4B,61,,9,2,7.0
C0000007,453388_S021,document,453388,OF,CAVAN,45,HQ,5A,01,5A-SB01,1,1,1.0
C0000008,453388_S021,document,453388,OF,CAVAN,45,HQ,5A,01,5A-SB01,4,1,1.0
C0000009,453388_S021,document,453388,OF,CAVAN,45,HQ,5A,01,5A-SB01,9,2,1.0
C0000010,453388_S021,document,453388,OF,CAVAN,45,HQ,1B,01,1B-SB01,1,1,1.0
C0000011,453388_S021,document,453388,OF,CAVAN,45,HQ,1B,01,1B-SB01,4,1,1.0
C0000012,453388_S021,document,453388,OF,CAVAN,45,HQ,1B,01,1B-SB01,9,2,1.0
C0000013,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,01,4A-SB01,1,1,1.0
C0000014,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,01,4A-SB01,4,1,1.0
C0000015,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,01,4A-SB01,9,2,1.0
C0000016,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,61,,1,1,7.0
C0000017,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,61,,4,1,7.0
C0000018,453388_S021,document,453388,OF,CAVAN,45,HQ,4A,61,,9,3,7.0
C0000019,453416_F107,forecast_fallback,453416,OF,EGPSD,45,HQ,4A,01,4A-SB01,1,1,1.0
C0000020,453416_F107,forecast_fallback,453416,OF,EGPSD,45,HQ,4A,01,4A-SB01,3,1,1.0
C0000021,453416_F107,forecast_fallback,453416,OF,EGPSD,45,HQ,4A,01,4A-SB01,6,2,1.0
C0000022,453416_F107,forecast_fallback,453416,OF,EGPSD,45,HQ,4A,61,,1,1,7.0
C0000023,453416_F107,forecast_fallback,453416,OF,EGPSD,45,HQ,4A,61,,3,1,7.0
