plan_level,voyage_id,flow,port,size,area_no,bay_no,six_bay_block_id,six_bay_block_bays,planned_boxes,document_boxes,forecast_fallback_boxes
medium,453250,OF,CAVA3,40,19,37,19-SB03,37|39|41|43|45|51,1,0,1
medium,453250,OF,COCTG,20,49,35,49-SB03,25|27|29|31|33|35,4,0,4
medium,453250,OF,COCTG,40,29,13,29-SB02,13|15|17|19|21|23,2,0,2
medium,453250,OF,COCTG,40,29,21,29-SB02,13|15|17|19|21|23,3,3,0
medium,453250,OF,COCTG,40,49,45,49-SB04,37|39|41|43|45|47,26,0,26
medium,453250,OF,KRPUS,20,29,03,29-SB01,01|03|05|07|09|11,10,3,7
medium,453250,OF,KRPUS,20,29,05,29-SB01,01|03|05|07|09|11,3,3,0
medium,453250,OF,KRPUS,20,29,11,29-SB01,01|03|05|07|09|11,16,16,0
medium,453250,OF,KRPUS,20,49,17,49-SB02,13|15|17|19|21|23,16,0,16
medium,453250,OF,KRPUS,40,29,25,29-SB03,25|27|29|31|33|35,17,0,17
medium,453250,OF,KRPUS,40,29,29,29-SB03,25|27|29|31|33|35,23,0,23
medium,453250,OF,KRPUS,40,29,33,29-SB03,25|27|29|31|33|35,17,0,17
medium,453250,OF,KRPUS,40,29,37,29-SB04,37|39|41|43|45|47,21,0,21
medium,453250,OF,KRPUS,40,2A,09,2A-SB01,01|03|05|07|09|11,26,0,26
medium,453250,OF,KRPUS,40,39,61,39-SB02,49|51|57|59|61|63,9,0,9
medium,453250,OF,KRPUS,40,49,53,49-SB05,49|51|53|55|57|59,22,0,22
medium,453250,OF,KRPUS,40,49,57,49-SB05,49|51|53|55|57|59,26,26,0
medium,453250,OF,KRPUS,40,4B,09,4B-SB01,01|03|05|07|09|11,23,0,23
medium,453250,OF,KRPUS,40,4B,13,4B-SB02,13|15|17|19|21|23,25,0,25
medium,453250,OF,KRPUS,40,4B,17,4B-SB02,13|15|17|19|21|23,26,0,26
medium,453250,OF,KRPUS,40,4B,21,4B-SB02,13|15|17|19|21|23,26,0,26
medium,453250,OF,KRPUS,40,6A,01,6A-SB01,01|03|05|07|09|11,2,2,0
medium,453250,OF,KRPUS,40,6A,69,,,2,2,0
medium,453250,OF,USNW2,20,19,17,19-SB01,01|03|05|15|17|19,1,0,1
medium,453250,OF,USNW2,40,39,49,39-SB02,49|51|57|59|61|63,2,2,0
medium,453250,OF,USNWK,40,29,17,29-SB02,13|15|17|19|21|23,6,6,0
medium,453250,OF,USNWK,40,49,25,49-SB03,25|27|29|31|33|35,22,0,22
medium,453250,OF,USNYC,20,39,11,39-SB01,09|11|23|25|27|37,2,2,0
medium,453250,OF,USNYC,20,39,39,,,2,0,2
medium,453250,OF,USNYC,40,19,55,,,1,0,1
