plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453250,453250_S001,document,OF,KRPUS,20,PQ,UNK,False,NORMAL,29,03,29-SB01,01|03|05|07|09|11,22,3
small,453250,453250_S001,document,OF,KRPUS,20,PQ,UNK,False,NORMAL,29,05,29-SB01,01|03|05|07|09|11,22,3
small,453250,453250_S001,document,OF,KRPUS,20,PQ,UNK,False,NORMAL,29,11,29-SB01,01|03|05|07|09|11,22,16
small,453250,453250_S002,document,OF,USNYC,20,PQ,UNK,False,NORMAL,39,11,39-SB01,09|11|23|25|27|37,2,2
small,453250,453250_S003,document,OF,USORF,20,PQ,UNK,False,NORMAL,49,17,49-SB02,13|15|17|19|21|23,5,2
small,453250,453250_S004,document,OF,COCTG,40,HQ,UNK,False,NORMAL,29,21,29-SB02,13|15|17|19|21|23,17,3
small,453250,453250_S005,document,OF,KRPUS,40,HQ,UNK,False,NORMAL,49,57,49-SB05,49|51|53|55|57|59,26,26
small,453250,453250_S005,document,OF,KRPUS,40,HQ,UNK,False,NORMAL,6A,01,6A-SB01,01|03|05|07|09|11,5,2
small,453250,453250_S005,document,OF,KRPUS,40,HQ,UNK,False,NORMAL,6A,69,,,0,2
small,453250,453250_S006,document,OF,USNW2,40,HQ,UNK,False,NORMAL,39,49,39-SB02,49|51|57|59|61|63,2,2
small,453250,453250_S007,document,OF,USNWK,40,HQ,UNK,False,NORMAL,29,17,29-SB02,13|15|17|19|21|23,17,6
small,453250,453250_S008,document,OF,USNYC,40,HQ,UNK,False,NORMAL,29,13,29-SB02,13|15|17|19|21|23,17,8
small,453250,453250_S009,document,OF,USORF,40,HQ,UNK,False,NORMAL,6A,01,6A-SB01,01|03|05|07|09|11,5,3
small,453308,453308_S001,document,OF,ESBCN,20,PQ,UNK,False,NORMAL,59,49,59-SB05,49|51|53|55|57|59,35,11
small,453308,453308_S001,document,OF,ESBCN,20,PQ,UNK,False,NORMAL,59,51,59-SB05,49|51|53|55|57|59,35,1
small,453308,453308_S001,document,OF,ESBCN,20,PQ,UNK,False,NORMAL,59,53,59-SB05,49|51|53|55|57|59,35,10
small,453308,453308_S002,document,OF,ESVLC,20,PQ,UNK,False,NORMAL,59,09,59-SB01,01|03|05|07|09|11,28,4
small,453308,453308_S002,document,OF,ESVLC,20,PQ,UNK,False,NORMAL,89,29,89-SB03,29|31|33|35|37|39,26,8
small,453308,453308_S002,document,OF,ESVLC,20,PQ,UNK,False,NORMAL,89,31,89-SB03,29|31|33|35|37|39,26,18
small,453308,453308_S003,document,OF,ITGOA,20,PQ,UNK,False,NORMAL,59,51,59-SB05,49|51|53|55|57|59,35,3
small,453308,453308_S003,document,OF,ITGOA,20,PQ,UNK,False,NORMAL,59,57,59-SB05,49|51|53|55|57|59,35,10
small,453308,453308_S004,document,OF,ITSPE,20,PQ,UNK,False,NORMAL,59,25,59-SB03,25|27|29|31|33|35,2,1
small,453308,453308_S005,document,OF,MAMED,20,PQ,UNK,False,NORMAL,59,15,59-SB02,13|15|17|19|21|23,10,2
small,453308,453308_S006,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,59,05,59-SB01,01|03|05|07|09|11,28,11
small,453308,453308_S006,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,59,07,59-SB01,01|03|05|07|09|11,28,11
small,453308,453308_S006,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,59,19,59-SB02,13|15|17|19|21|23,10,3
small,453308,453308_S010,document,OF,ITGOA,40,PQ,UNK,False,NORMAL,3B,61,3B-SB05,53|55|57|59|61|63,4,2
small,453308,453308_S011,document,OF,ITSPE,40,HQ,UNK,False,NORMAL,8B,45,8B-SB04,45|47|49|51|53|55,9,1
small,453308,453308_S012,document,OF,ITSPE,40,PQ,UNK,False,NORMAL,3B,61,3B-SB05,53|55|57|59|61|63,4,1
small,453308,453308_S014,document,OF,MYTPP,40,HQ,UNK,False,NORMAL,3B,29,3B-SB03,29|31|33|35|37|39,1,1
small,453308,453308_S014,document,OF,MYTPP,40,HQ,UNK,False,NORMAL,3B,45,3B-SB04,41|43|45|47|49|51,3,2
small,453324,453324_S001,document,OF,USLAX,20,PQ,UNK,False,NORMAL,3B,25,3B-SB02,17|19|21|23|25|27,2,2
small,453324,453324_S003,document,OF,USLAX,40,PQ,UNK,False,NORMAL,3B,49,3B-SB04,41|43|45|47|49|51,3,1
small,453324,453324_S003,document,OF,USLAX,40,PQ,UNK,False,NORMAL,3B,61,3B-SB05,53|55|57|59|61|63,4,1
small,453352,453352_S001,document,OF,JPNGO,40,HQ,UNK,False,NORMAL,49,09,49-SB01,01|03|05|07|09|11,8,8
small,453352,453352_S002,document,OF,JPUKB,40,HQ,UNK,False,NORMAL,49,13,49-SB02,13|15|17|19|21|23,5,3
small,453356,453356_S001,document,OF,USCHS,20,PQ,UNK,False,NORMAL,28,05,28-SB01,01|03|05|07|13|15,8,3
small,453356,453356_S002,document,OF,USSAV,20,PQ,UNK,False,NORMAL,28,35,28-SB03,33|35|37|39|45|47,4,4
small,453356,453356_S003,document,OF,USNYC,40,HQ,UNK,False,NORMAL,2A,45,2A-SB04,37|39|41|43|45|47,2,2
small,453356,453356_S004,document,OF,USNYC,40,PQ,UNK,False,NORMAL,2A,61,,,0,1
small,453356,453356_S005,document,OF,USSA3,40,PQ,UNK,False,NORMAL,2A,61,,,0,1
small,453388,453388_S001,document,OF,CAVA2,20,PQ,UNK,False,NORMAL,49,33,49-SB03,25|27|29|31|33|35,46,20
small,453388,453388_S002,document,OF,CAVA3,20,HQ,UNK,False,NORMAL,69,27,69-SB03,25|27|29|31|33|35,49,3
small,453388,453388_S002,document,OF,CAVA3,20,HQ,UNK,False,NORMAL,69,29,69-SB03,25|27|29|31|33|35,49,17
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,4A,49,4A-SB05,49|51|53|55|57|59,75,23
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,4A,51,4A-SB05,49|51|53|55|57|59,75,21
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,69,25,69-SB03,25|27|29|31|33|35,49,3
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,69,35,69-SB03,25|27|29|31|33|35,49,26
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,69,43,69-SB04,37|39|41|43|45|47,54,26
small,453388,453388_S003,document,OF,CAVA3,20,PQ,UNK,False,NORMAL,69,47,69-SB04,37|39|41|43|45|47,54,21
small,453388,453388_S004,document,OF,CAVAN,20,PQ,UNK,False,NORMAL,49,29,49-SB03,25|27|29|31|33|35,46,26
small,453388,453388_S004,document,OF,CAVAN,20,PQ,UNK,False,NORMAL,69,07,69-SB01,01|03|05|07|09|11,17,6
small,453388,453388_S004,document,OF,CAVAN,20,PQ,UNK,False,NORMAL,69,13,69-SB02,13|15|17|19|21|23,36,14
small,453388,453388_S005,document,OF,KRPUS,20,PQ,UNK,False,NORMAL,69,05,69-SB01,01|03|05|07|09|11,17,1
small,453388,453388_S006,document,OF,USTIW,20,PQ,UNK,False,NORMAL,49,41,49-SB04,37|39|41|43|45|47,35,7
small,453388,453388_S006,document,OF,USTIW,20,PQ,UNK,False,NORMAL,5A,63,5A-SB06,61|63|65|67|69|71,28,2
small,453388,453388_S007,document,OF,USTW2,20,PQ,UNK,False,NORMAL,4A,57,4A-SB05,49|51|53|55|57|59,75,16
small,453388,453388_S008,document,OF,CAVA2,40,HQ,UNK,False,NORMAL,1B,01,1B-SB01,01|03|05|07|09|11,36,20
small,453388,453388_S008,document,OF,CAVA2,40,HQ,UNK,False,NORMAL,1B,09,1B-SB01,01|03|05|07|09|11,36,11
small,453388,453388_S008,document,OF,CAVA2,40,HQ,UNK,False,NORMAL,69,21,69-SB02,13|15|17|19|21|23,36,5
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,5A,17,5A-SB02,13|15|17|19|21|23,26,26
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,5A,25,5A-SB03,25|27|29|31|33|35,78,26
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,5A,29,5A-SB03,25|27|29|31|33|35,78,26
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,5A,33,5A-SB03,25|27|29|31|33|35,78,26
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,69,09,69-SB01,01|03|05|07|09|11,17,10
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,69,17,69-SB02,13|15|17|19|21|23,36,2
small,453388,453388_S010,document,OF,CAVA3,40,HQ,UNK,False,NORMAL,69,21,69-SB02,13|15|17|19|21|23,36,2
small,453388,453388_S012,document,OF,CAVAN,40,HQ,UNK,False,NORMAL,1B,05,1B-SB01,01|03|05|07|09|11,36,1
small,453388,453388_S012,document,OF,CAVAN,40,HQ,UNK,False,NORMAL,1B,25,1B-SB03,25|27|29|31|33|35,33,20
small,453388,453388_S012,document,OF,CAVAN,40,HQ,UNK,False,NORMAL,1B,29,1B-SB03,25|27|29|31|33|35,33,13
small,453388,453388_S012,document,OF,CAVAN,40,HQ,UNK,False,NORMAL,69,21,69-SB02,13|15|17|19|21|23,36,13
small,453388,453388_S012,document,OF,CAVAN,40,HQ,UNK,False,NORMAL,69,69,69-SB06,61|63|65|67|69|71,49,14
small,453388,453388_S013,document,OF,CAVAN,40,PQ,UNK,False,NORMAL,4A,41,4A-SB04,37|39|41|43|45|47,17,4
small,453388,453388_S013,document,OF,CAVAN,40,PQ,UNK,False,NORMAL,E5,39,E5-SB03,33|35|37|39|41|43,9,7
small,453388,453388_S014,document,OF,KRPUS,40,HQ,UNK,False,NORMAL,1B,45,1B-SB04,37|39|41|43|45|47,26,2
small,453388,453388_S015,document,OF,USTIW,40,HQ,UNK,False,NORMAL,1B,05,1B-SB01,01|03|05|07|09|11,36,4
small,453388,453388_S015,document,OF,USTIW,40,HQ,UNK,False,NORMAL,1B,37,1B-SB04,37|39|41|43|45|47,26,12
small,453388,453388_S015,document,OF,USTIW,40,HQ,UNK,False,NORMAL,1B,41,1B-SB04,37|39|41|43|45|47,26,12
small,453388,453388_S015,document,OF,USTIW,40,HQ,UNK,False,NORMAL,4B,37,4B-SB04,37|39|41|43|45|47,52,26
small,453388,453388_S015,document,OF,USTIW,40,HQ,UNK,False,NORMAL,4B,41,4B-SB04,37|39|41|43|45|47,52,26
small,453388,453388_S019,document,OF,USTW2,40,HQ,UNK,False,NORMAL,5A,65,5A-SB06,61|63|65|67|69|71,28,26
small,453388,453388_S019,document,OF,USTW2,40,HQ,UNK,False,NORMAL,69,37,69-SB04,37|39|41|43|45|47,54,7
small,453388,453388_S019,document,OF,USTW2,40,HQ,UNK,False,NORMAL,69,61,69-SB06,61|63|65|67|69|71,49,17
small,453388,453388_S019,document,OF,USTW2,40,HQ,UNK,False,NORMAL,69,65,69-SB06,61|63|65|67|69|71,49,15
small,453388,453388_S019,document,OF,USTW2,40,HQ,UNK,False,NORMAL,69,69,69-SB06,61|63|65|67|69|71,49,3
small,453388,453388_S021,document,OF,CAVAN,45,HQ,UNK,False,NORMAL,4B,61,,,0,9
small,453396,453396_S001,document,OF,DEBRV,20,PQ,UNK,False,NORMAL,8A,49,8A-SB05,49|51|53|55|57|59,1,1
small,453396,453396_S002,document,OF,DEWVN,20,PQ,UNK,False,NORMAL,8A,09,8A-SB01,01|03|05|07|09|11,27,11
small,453396,453396_S003,document,OF,MAPTM,20,PQ,UNK,False,NORMAL,8A,33,8A-SB03,25|27|29|31|33|35,9,4
small,453396,453396_S004,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,8A,11,8A-SB01,01|03|05|07|09|11,27,2
small,453396,453396_S006,document,OF,DEWVN,40,HQ,UNK,False,NORMAL,6B,65,6B-SB05,61|63|65|67|69|71,10,1
small,453412,453412_S001,document,OF,DEHAM,20,PQ,UNK,False,NORMAL,49,41,49-SB04,37|39|41|43|45|47,35,8
small,453412,453412_S002,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,49,43,49-SB04,37|39|41|43|45|47,35,7
small,453412,453412_S003,document,OF,NLRTM,20,PQ,UNK,False,NORMAL,49,43,49-SB04,37|39|41|43|45|47,35,6
small,453412,453412_S004,document,OF,BEANR,40,HQ,UNK,False,NORMAL,6B,17,6B-SB02,13|15|17|19|21|23,10,10
small,453412,453412_S004,document,OF,BEANR,40,HQ,UNK,False,NORMAL,6B,61,6B-SB05,61|63|65|67|69|71,10,9
small,453412,453412_S005,document,OF,DEHAM,40,HQ,UNK,False,NORMAL,59,21,59-SB02,13|15|17|19|21|23,10,2
small,453412,453412_S005,document,OF,DEHAM,40,HQ,UNK,False,NORMAL,8B,25,8B-SB03,25|27|37|39|41|43,7,2
small,453412,453412_S008,document,OF,MYTPP,40,HQ,UNK,False,NORMAL,6B,01,6B-SB01,01|03|05|07|09|11,23,23
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,28,05,28-SB01,01|03|05|07|13|15,8,1
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,28,07,28-SB01,01|03|05|07|13|15,8,2
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,28,13,28-SB01,01|03|05|07|13|15,8,2
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,28,17,28-SB02,17|19|21|23|25|27,1,1
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,38,13,38-SB01,05|07|09|11|13|15,20,1
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,4A,51,4A-SB05,49|51|53|55|57|59,75,2
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,4A,53,4A-SB05,49|51|53|55|57|59,75,1
small,453416,453416_S001,document,OF,EGPSD,20,PQ,UNK,False,NORMAL,4A,55,4A-SB05,49|51|53|55|57|59,75,12
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,29,2B-SB03,29|31|33|35|37|39,44,10
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,31,2B-SB03,29|31|33|35|37|39,44,12
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,39,2B-SB03,29|31|33|35|37|39,44,2
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,41,2B-SB04,41|43|45|47|49|51,23,5
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,43,2B-SB04,41|43|45|47|49|51,23,5
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,45,2B-SB04,41|43|45|47|49|51,23,3
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,47,2B-SB04,41|43|45|47|49|51,23,3
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,49,2B-SB04,41|43|45|47|49|51,23,6
small,453416,453416_S002,document,OF,HRRJK,20,PQ,UNK,False,NORMAL,2B,51,2B-SB04,41|43|45|47|49|51,23,1
small,453416,453416_S003,document,OF,MYTPP,20,PQ,UNK,False,NORMAL,1A,25,1A-SB03,25|31|33|35|37|39,31,8
small,453416,453416_S004,document,OF,SIKOP,20,PQ,UNK,False,NORMAL,1A,25,1A-SB03,25|31|33|35|37|39,31,3
small,453416,453416_S004,document,OF,SIKOP,20,PQ,UNK,False,NORMAL,1A,37,1A-SB03,25|31|33|35|37|39,31,4
small,453416,453416_S004,document,OF,SIKOP,20,PQ,UNK,False,NORMAL,1A,39,1A-SB03,25|31|33|35|37|39,31,4
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,01,1A-SB01,01|03|05|07|09|11,2,2
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,21,1A-SB02,13|15|17|19|21|23,4,4
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,31,1A-SB03,25|31|33|35|37|39,31,8
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,43,1A-SB04,41|43|45|47|49|51,10,4
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,47,1A-SB04,41|43|45|47|49|51,10,6
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,1A,55,,,0,26
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,28,53,28-SB04,49|51|53|55|57|59,1,1
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,2B,33,2B-SB03,29|31|33|35|37|39,44,10
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,38,13,38-SB01,05|07|09|11|13|15,20,1
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,38,17,38-SB02,17|19|21|23|29|31,13,4
small,453416,453416_S005,document,OF,EGPSD,40,HQ,UNK,False,NORMAL,38,21,38-SB02,17|19|21|23|29|31,13,8
