voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453250,OF,29,20,47,37.0,10.0
453250,OF,49,20,16,0.0,16.0
453308,OF,59,20,163,95.0,68.0
453308,OF,89,20,76,50.0,26.0
453324,OF,28,20,47,45.0,2.0
453352,OF,49,20,16,0.0,16.0
453352,OF,59,20,17,0.0,17.0
453352,OF,69,20,17,0.0,17.0
453356,OF,19,20,36,0.0,36.0
453356,OF,28,20,47,0.0,47.0
453356,OF,29,20,46,4.0,42.0
453356,OF,38,20,47,0.0,47.0
453356,OF,39,20,29,0.0,29.0
453356,OF,3A,20,1,0.0,1.0
453388,OF,49,20,84,0.0,84.0
453388,OF,4A,20,76,32.0,44.0
453388,OF,5A,20,53,0.0,53.0
453388,OF,69,20,84,0.0,84.0
453396,OF,89,20,20,1.0,19.0
453412,OF,49,20,21,0.0,21.0
453416,OF,28,20,96,0.0,96.0
453416,OF,38,20,100,34.0,66.0
453416,OF,89,20,100,0.0,100.0
454447,OF,19,20,120,0.0,120.0
454447,OF,29,20,57,0.0,57.0
454447,OF,69,20,119,0.0,119.0
454447,OF,6A,20,6,0.0,6.0
454549,OF,49,20,9,1.0,8.0
454549,OZ,11,20,2,1.0,1.0
454585,OF,59,20,67,0.0,67.0
454585,OF,8A,20,67,49.0,18.0
454710,OF,19,20,18,0.0,18.0
454710,OF,8A,20,21,0.0,21.0
454710,OF,8B,20,11,0.0,11.0
453273,IF,79,20,123,0.0,123.0
453273,IZ,68,20,208,0.0,208.0
453273,T,43,20,31,0.0,31.0
453273,T,52,20,279,0.0,279.0
453307,IF,79,20,89,0.0,89.0
453307,IZ,68,20,2,0.0,2.0
453307,T,43,20,157,0.0,157.0
453307,T,64,20,14,0.0,14.0
454548,IF,7G,20,2,0.0,2.0
454548,T,13,20,279,0.0,279.0
454548,T,32,20,440,0.0,440.0
454548,T,33,20,364,0.0,364.0
454548,T,42,20,331,0.0,331.0
454548,T,53,20,332,0.0,332.0
453250,OF,19,40,2,1.0,1.0
453250,OF,29,40,156,67.0,89.0
453250,OF,2A,40,39,6.0,33.0
453250,OF,39,40,9,0.0,9.0
453250,OF,49,40,160,1.0,159.0
453250,OF,4B,40,100,0.0,100.0
453250,OF,6A,40,110,104.0,6.0
453250,OZ,10,40,2,1.0,1.0
453250,T,22,40,34,1.0,33.0
453250,T,62,40,25,6.0,19.0
453308,OF,3B,40,48,15.0,33.0
453308,T,62,40,2,0.0,2.0
453324,OF,3B,40,28,1.0,27.0
453324,T,72,40,8,5.0,3.0
453352,OF,49,40,79,0.0,79.0
453352,OF,59,40,77,0.0,77.0
453352,T,22,40,4,1.0,3.0
453356,OF,29,40,116,98.0,18.0
453356,OF,2A,40,139,37.0,102.0
453356,OF,3A,40,52,2.0,50.0
453356,T,22,40,3,0.0,3.0
453388,OF,1B,40,105,0.0,105.0
453388,OF,4A,40,93,85.0,8.0
453388,OF,4B,40,129,2.0,127.0
453388,OF,5A,40,225,0.0,225.0
453388,T,62,40,10,4.0,6.0
453396,OF,8A,40,99,20.0,79.0
453396,T,62,40,5,1.0,4.0
453396,T,72,40,13,0.0,13.0
453412,OF,4B,40,45,5.0,40.0
453412,OF,6B,40,160,2.0,158.0
453412,T,62,40,8,7.0,1.0
453416,OF,1A,40,193,165.0,28.0
453416,OF,28,40,65,0.0,65.0
453416,OF,2A,40,180,59.0,121.0
453416,OF,2B,40,170,66.0,104.0
453416,OF,38,40,218,189.0,29.0
453416,OF,4A,40,193,5.0,188.0
453416,OF,89,40,75,0.0,75.0
453416,T,22,40,5,0.0,5.0
454447,OF,29,40,47,0.0,47.0
454447,OF,3B,40,132,0.0,132.0
454447,OF,4B,40,111,1.0,110.0
454447,OF,5B,40,132,0.0,132.0
454447,OF,69,40,129,0.0,129.0
454447,OF,6A,40,122,1.0,121.0
454549,OF,1A,40,71,0.0,71.0
454549,OF,69,40,40,0.0,40.0
454549,OF,AB,40,118,2.0,116.0
454549,OZ,10,40,22,4.0,18.0
454549,OZ,11,40,60,2.0,58.0
454549,OZ,E2,40,23,4.0,19.0
454585,OF,59,40,3,1.0,2.0
454585,OF,5A,40,208,0.0,208.0
454585,OF,69,40,147,146.0,1.0
454585,OF,7A,40,78,7.0,71.0
454585,OF,8B,40,58,1.0,57.0
454585,OZ,10,40,6,4.0,2.0
454710,OF,19,40,8,0.0,8.0
454710,OF,4A,40,32,0.0,32.0
454710,OF,8A,40,22,1.0,21.0
454710,OF,8B,40,28,1.0,27.0
454710,OF,E5,40,3,0.0,3.0
453273,IF,E1,40,289,0.0,289.0
453273,IF,E2,40,197,0.0,197.0
453273,IF,E3,40,656,0.0,656.0
453273,IF,E9,40,753,0.0,753.0
453273,IF,EA,40,1,0.0,1.0
453273,IZ,68,40,143,0.0,143.0
453273,T,22,40,41,0.0,41.0
453273,T,43,40,82,0.0,82.0
453273,T,44,40,139,0.0,139.0
453273,T,52,40,22,0.0,22.0
453273,T,54,40,134,0.0,134.0
453273,T,55,40,219,0.0,219.0
453273,T,62,40,19,0.0,19.0
453273,T,72,40,13,0.0,13.0
453273,T,73,40,15,0.0,15.0
453273,T,85,40,197,0.0,197.0
453307,IF,79,40,232,0.0,232.0
453307,IF,7B,40,253,0.0,253.0
453307,IF,7G,40,282,0.0,282.0
453307,IF,7H,40,252,0.0,252.0
453307,IF,8G,40,244,0.0,244.0
453307,IF,8H,40,243,0.0,243.0
453307,IF,E8,40,787,0.0,787.0
453307,IF,EA,40,271,0.0,271.0
453307,IZ,68,40,17,0.0,17.0
