voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,19,40,40,
453250,OF,28,16,20,
453250,OF,29,94,40,
453250,OF,2A,16,40,
453250,OF,2B,2,40,
453250,OF,39,9,40,
453250,OF,49,10,20,
453250,OF,49,92,40,
453250,OF,5A,87,40,
453250,OF,6A,57,40,
453273,IF,79,71,20,
453273,IF,79,7,40,
453273,IF,7B,54,40,
453273,IZ,68,208,20,
453273,IZ,68,143,40,
453273,OZ,10,18,40,
453273,OZ,11,52,20,
453273,OZ,11,32,40,
453273,OZ,E1,289,40,
453273,OZ,E2,215,40,
453273,OZ,E3,656,40,
453273,OZ,E4,505,40,
453273,OZ,E9,1,40,
453273,OZ,EA,119,40,
453273,T,22,41,40,
453273,T,24,85,40,
453273,T,42,28,40,
453273,T,43,31,20,
453273,T,43,160,40,
453273,T,44,139,40,
453273,T,52,279,20,
453273,T,52,22,40,
453273,T,53,144,40,
453273,T,62,19,40,
453273,T,72,13,40,
453273,T,73,15,40,
453273,T,75,211,40,
453273,T,E4,4,40,
453307,IF,79,63,20,
453307,IF,79,264,40,
453307,IZ,68,2,20,
453307,IZ,68,17,40,
453307,OZ,10,18,40,
453307,OZ,11,26,20,
453307,OZ,11,45,40,
453307,OZ,E2,1,40,
453307,OZ,E8,787,40,
453307,OZ,E9,753,40,
453307,OZ,EA,694,40,
453307,T,22,41,40,
453307,T,54,134,40,
453307,T,62,19,40,
453307,T,64,151,40,
453307,T,65,10,40,
453307,T,72,13,40,
453307,T,73,15,40,
453307,T,74,122,40,
453307,T,83,171,20,
453307,T,85,25,40,
453308,OF,59,26,20,
453308,OF,59,15,40,
453308,OF,69,1,20,
453308,OF,69,1,40,
453308,OF,6A,11,40,
453308,OF,89,66,20,
453324,OF,28,2,20,
453324,OF,38,12,40,
453352,OF,1B,12,40,
453352,OF,28,7,20,
453352,OF,29,7,20,
453352,OF,29,12,40,
453352,OF,2A,1,20,
453352,OF,2A,12,40,
453352,OF,38,7,20,
453352,OF,3B,12,40,
453352,OF,49,7,20,
453352,OF,49,12,40,
453352,OF,4A,12,40,
453352,OF,4B,12,40,
453352,OF,59,7,20,
453352,OF,59,12,40,
453352,OF,5A,12,40,
453352,OF,5B,12,40,
453352,OF,69,7,20,
453352,OF,69,12,40,
453352,OF,89,7,20,
453352,OF,89,12,40,
453352,OF,8A,12,40,
453356,OF,19,29,20,
453356,OF,28,29,20,
453356,OF,29,25,20,
453356,OF,29,44,40,
453356,OF,2A,3,20,
453356,OF,2A,113,40,
453356,OF,38,29,20,
453356,OF,38,13,40,
453356,OF,39,29,20,
453356,OF,49,29,20,
453356,OF,69,29,20,
453388,OF,19,36,20,
453388,OF,28,36,20,
453388,OF,29,36,20,
453388,OF,2B,85,40,
453388,OF,38,8,20,
453388,OF,49,36,20,
453388,OF,4B,5,20,
453388,OF,4B,83,40,
453388,OF,59,36,20,
453388,OF,5A,85,40,
453388,OF,5B,42,40,
453388,OF,69,36,20,
453388,OF,69,85,40,
453388,OF,89,36,20,
453388,OF,8A,85,40,
453396,OF,89,18,20,
453396,OF,89,47,40,
453412,OF,49,21,20,
453412,OF,4B,9,40,
453412,OF,6B,158,40,
453416,OF,28,96,20,
453416,OF,28,1,40,
453416,OF,2A,101,40,
453416,OF,38,62,20,
453416,OF,38,4,40,
453416,OF,49,87,20,
453416,OF,4A,175,40,
453416,OF,5A,193,40,
454447,OF,19,43,20,
454447,OF,1B,63,40,
454447,OF,28,43,20,
454447,OF,29,43,20,
454447,OF,2A,14,40,
454447,OF,3B,34,40,
454447,OF,49,43,20,
454447,OF,49,63,40,
454447,OF,4A,63,40,
454447,OF,4B,62,40,
454447,OF,59,43,20,
454447,OF,59,2,40,
454447,OF,5A,1,20,
454447,OF,5A,63,40,
454447,OF,5B,63,40,
454447,OF,69,43,20,
454447,OF,69,63,40,
454447,OF,6A,62,40,
454447,OF,89,43,20,
454447,OF,8A,62,40,
454548,IF,7B,2,20,
454548,T,13,279,20,
454548,T,13,19,40,
454548,T,15,225,40,
454548,T,22,41,40,
454548,T,24,107,40,
454548,T,32,440,20,
454548,T,32,31,40,
454548,T,33,392,20,
454548,T,33,28,40,
454548,T,42,331,20,
454548,T,53,43,20,
454548,T,55,219,40,
454548,T,62,19,40,
454548,T,72,13,40,
454548,T,73,15,40,
454548,T,83,261,20,
454548,T,83,31,40,
454548,T,85,277,40,
454549,OF,1A,99,40,
454549,OF,3A,50,40,
454549,OF,49,8,20,
454549,OF,49,20,40,
454549,OF,69,58,40,
454585,OF,28,38,20,
454585,OF,59,67,40,
454585,OF,7A,71,40,
454585,OF,8B,10,40,
454710,OF,19,2,20,
454710,OF,1B,18,40,
454710,OF,28,6,20,
454710,OF,29,6,20,
454710,OF,38,6,20,
454710,OF,49,6,20,
454710,OF,59,6,20,
454710,OF,5A,18,40,
454710,OF,5B,18,40,
454710,OF,69,6,20,
454710,OF,89,6,20,
454710,OF,8A,6,20,
454710,OF,8A,17,40,
454710,OF,8B,17,40,
454710,OF,E5,3,40,
