plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,row_no,row_allocation,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
small,453250,453250_S001,document,OF,KRPUS,20,PQ,1,False,NORMAL,29,37,06,29|37:06:2,29-SB04,37|39|41|43|45|47,21,2,PQ,20,1,KRPUS,
small,453250,453250_S002,document,OF,KRPUS,20,PQ,3,False,NORMAL,29,05,05,29|05:05:1,29-SB01,01|03|05|07|09|11,28,1,PQ,20,3,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,01,29|37:01:3,29-SB04,37|39|41|43|45|47,21,3,PQ,20,4,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,02,29|37:02:5,29-SB04,37|39|41|43|45|47,21,5,PQ,20,4,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,03,29|37:03:2,29-SB04,37|39|41|43|45|47,21,2,PQ,20,4,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,04,29|37:04:5,29-SB04,37|39|41|43|45|47,21,5,PQ,20,4,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,05,29|37:05:3,29-SB04,37|39|41|43|45|47,21,3,PQ,20,4,KRPUS,
small,453250,453250_S003,document,OF,KRPUS,20,PQ,4,False,NORMAL,29,37,06,29|37:06:1,29-SB04,37|39|41|43|45|47,21,1,PQ,20,4,KRPUS,
small,453250,453250_S004,document,OF,USNYC,20,PQ,1,False,NORMAL,19,03,01,19|03:01:1,19-SB01,01|03|05|15|17|19,33,1,PQ,20,1,USNYC,
small,453250,453250_S005,document,OF,USNYC,20,PQ,3,False,NORMAL,19,03,01,19|03:01:1,19-SB01,01|03|05|15|17|19,33,1,PQ,20,3,USNYC,
small,453250,453250_S006,document,OF,USORF,20,PQ,1,False,NORMAL,19,03,03,19|03:03:1,19-SB01,01|03|05|15|17|19,33,1,PQ,20,1,USORF,
small,453250,453250_S007,document,OF,USORF,20,PQ,2,False,NORMAL,19,03,03,19|03:03:1,19-SB01,01|03|05|15|17|19,33,1,PQ,20,2,USORF,
small,453250,453250_S008,document,OF,COCTG,40,HQ,1,False,NORMAL,19,15,03,19|15:03:1|19|17:03:1,19-SB01,01|03|05|15|17|19,33,1,HQ,40,1,COCTG,
small,453250,453250_S008,document,OF,COCTG,40,HQ,1,False,NORMAL,19,15,06,19|15:06:1|19|17:06:1,19-SB01,01|03|05|15|17|19,33,1,HQ,40,1,COCTG,
small,453250,453250_S009,document,OF,COCTG,40,HQ,3,False,NORMAL,19,15,06,19|15:06:1|19|17:06:1,19-SB01,01|03|05|15|17|19,33,1,HQ,40,3,COCTG,
small,453250,453250_S010,document,OF,KRPUS,40,HQ,1,False,NORMAL,49,53,05,49|53:05:4|49|55:05:4,49-SB05,49|51|53|55|57|59,53,4,HQ,40,1,KRPUS,
small,453250,453250_S010,document,OF,KRPUS,40,HQ,1,False,NORMAL,49,53,06,49|53:06:1|49|55:06:1,49-SB05,49|51|53|55|57|59,53,1,HQ,40,1,KRPUS,
small,453250,453250_S011,document,OF,KRPUS,40,HQ,2,False,NORMAL,49,29,06,49|29:06:2|49|31:06:2,49-SB03,25|27|29|31|33|35,64,2,HQ,40,2,KRPUS,
small,453250,453250_S011,document,OF,KRPUS,40,HQ,2,False,NORMAL,49,53,06,49|53:06:2|49|55:06:2,49-SB05,49|51|53|55|57|59,53,2,HQ,40,2,KRPUS,
small,453250,453250_S012,document,OF,KRPUS,40,HQ,3,False,NORMAL,49,53,03,49|53:03:2|49|55:03:2,49-SB05,49|51|53|55|57|59,53,2,HQ,40,3,KRPUS,
small,453250,453250_S012,document,OF,KRPUS,40,HQ,3,False,NORMAL,49,53,04,49|53:04:4|49|55:04:4,49-SB05,49|51|53|55|57|59,53,4,HQ,40,3,KRPUS,
small,453250,453250_S013,document,OF,KRPUS,40,HQ,4,False,NORMAL,49,53,01,49|53:01:4|49|55:01:4,49-SB05,49|51|53|55|57|59,53,4,HQ,40,4,KRPUS,
small,453250,453250_S013,document,OF,KRPUS,40,HQ,4,False,NORMAL,49,53,02,49|53:02:4|49|55:02:4,49-SB05,49|51|53|55|57|59,53,4,HQ,40,4,KRPUS,
small,453250,453250_S013,document,OF,KRPUS,40,HQ,4,False,NORMAL,49,53,03,49|53:03:3|49|55:03:3,49-SB05,49|51|53|55|57|59,53,3,HQ,40,4,KRPUS,
small,453250,453250_S014,document,OF,KRPUS,40,HQ,5,False,NORMAL,49,29,06,49|29:06:1|49|31:06:1,49-SB03,25|27|29|31|33|35,64,1,HQ,40,5,KRPUS,
small,453250,453250_S014,document,OF,KRPUS,40,HQ,5,False,NORMAL,49,57,01,49|57:01:1|49|59:01:1,49-SB05,49|51|53|55|57|59,53,1,HQ,40,5,KRPUS,
small,453250,453250_S015,document,OF,KRPUS,40,HQ,6,False,NORMAL,49,57,01,49|57:01:2|49|59:01:2,49-SB05,49|51|53|55|57|59,53,2,HQ,40,6,KRPUS,
small,453250,453250_S016,document,OF,USNW2,40,HQ,1,False,NORMAL,29,01,01,29|01:01:1|29|03:01:1,29-SB01,01|03|05|07|09|11,28,1,HQ,40,1,USNW2,
small,453250,453250_S017,document,OF,USNW2,40,HQ,4,False,NORMAL,29,01,01,29|01:01:1|29|03:01:1,29-SB01,01|03|05|07|09|11,28,1,HQ,40,4,USNW2,
small,453250,453250_S018,document,OF,USNWK,40,HQ,1,False,NORMAL,6A,17,01,6A|17:01:4|6A|19:01:4,6A-SB02,17|19|21|23|25|27,17,4,HQ,40,1,USNWK,
small,453250,453250_S019,document,OF,USNWK,40,HQ,3,False,NORMAL,6A,17,02,6A|17:02:1|6A|19:02:1,6A-SB02,17|19|21|23|25|27,17,1,HQ,40,3,USNWK,
small,453250,453250_S020,document,OF,USNWK,40,HQ,4,False,NORMAL,6A,17,02,6A|17:02:1|6A|19:02:1,6A-SB02,17|19|21|23|25|27,17,1,HQ,40,4,USNWK,
