plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,11-SB01,11,01|03|05|07|09|11,39,453307_S001|13;453307_S002|26
small_six_bay_block,11-SB02,11,13|15|17|19|21|23,10,453307_S001|1;453307_S002|9
small_six_bay_block,12-SB01,12,09|11|23|37|39|47,2,453273_S002|2
small_six_bay_block,13-SB01,13,01|03|05|07|09|11,47,454548_S009|1;454548_S010|1;454548_S022|1;454548_S023|1;454548_S050|5;454548_S051|2;454548_S061|1;454548_S062|1;454548_S063|1;454548_S068|5;454548_S069|6;454548_S077|2;454548_S088|1;454548_S089|1;454548_S090|2;454548_S091|1;454548_S094|1;454548_S130|6;454548_S165|1;454548_S180|1;454548_S181|4;454548_S184|2
small_six_bay_block,13-SB02,13,13|15|17|19|21|23,44,454548_S123|1;454548_S124|1;454548_S125|1;454548_S126|10;454548_S173|2;454548_S175|6;454548_S176|2;454548_S179|1;454548_S182|5;454548_S183|14;454548_S184|1
small_six_bay_block,13-SB03,13,25|27|29|31|33|35,33,454548_S180|8;454548_S181|4;454548_S182|11;454548_S183|10
small_six_bay_block,13-SB04,13,37|39|41|43|45|47,32,454548_S007|8;454548_S008|4;454548_S010|2;454548_S076|4;454548_S181|14
small_six_bay_block,15-SB01,15,01|03|05|07|09|11,43,454548_S011|32;454548_S119|1;454548_S162|4;454548_S163|1;454548_S164|5
small_six_bay_block,15-SB02,15,13|15|17|19|21|23,55,454548_S011|14;454548_S037|12;454548_S119|4;454548_S120|5;454548_S161|3;454548_S185|4;454548_S186|2;454548_S187|11
small_six_bay_block,15-SB03,15,25|27|29|31|33|35,44,454548_S107|2;454548_S108|11;454548_S109|2;454548_S110|4;454548_S119|1;454548_S145|10;454548_S146|5;454548_S147|2;454548_S148|6;454548_S149|1
small_six_bay_block,15-SB04,15,37|39|41|43|45|47,68,454548_S011|35;454548_S120|2;454548_S122|10;454548_S141|14;454548_S142|1;454548_S143|1;454548_S144|5
small_six_bay_block,19-SB01,19,01|03|05|15|17|19,33,453250_S004|1;453250_S005|1;453250_S006|1;453250_S007|1;453250_S008|2;453250_S009|1;453307_S122|1;453307_S124|1;453356_S005|1;453356_S006|1;453388_S004|18;453388_S011|1;453388_S013|1;454710_S010|2
small_six_bay_block,19-SB02,19,21|23|25|27|33|35,29,453388_S009|7;453388_S011|1;453388_S012|1;453388_S013|6;453388_S014|3;453388_S015|2;454548_S102|5;454548_S106|1;454548_S136|3
small_six_bay_block,19-SB03,19,37|39|41|43|45|51,42,453388_S009|11;453388_S014|24;454548_S103|3;454548_S104|1;454548_S106|3
small_six_bay_block,1A-SB01,1A,01|03|05|07|09|11,24,453273_S228|10;453307_S122|2;453307_S125|2;454549_S001|1;454549_S002|1;454549_S004|3;454549_S006|1;454549_S007|1;454549_S008|2;454549_S009|1
small_six_bay_block,1A-SB02,1A,13|15|17|19|21|23,26,453273_S252|1;453273_S253|8;454548_S166|8;454548_S167|6;454548_S169|1;454549_S003|1;454549_S005|1
small_six_bay_block,1A-SB03,1A,25|31|33|35|37|39,15,453273_S250|4;453273_S252|5;453273_S254|6
small_six_bay_block,1B-SB01,1B,01|03|05|07|09|11,19,453324_S001|1;453324_S002|1;454710_S027|4;454710_S028|4;454710_S030|3;454710_S031|2;454710_S032|4
small_six_bay_block,1B-SB02,1B,13|15|17|19|21|23,5,454548_S135|1;454548_S137|3;454710_S030|1
small_six_bay_block,1B-SB03,1B,25|27|29|31|33|35,36,453273_S224|6;453273_S225|13;453273_S226|1;453273_S227|5;453273_S228|4;454548_S137|2;454548_S140|5
small_six_bay_block,1B-SB04,1B,37|39|41|43|45|47,18,454548_S135|2;454548_S138|5;454548_S139|10;454548_S140|1
small_six_bay_block,21-SB01,21,05|07|09|11|33|35,8,453273_S002|8
small_six_bay_block,22-SB01,22,01|03|05|07|09|11,32,453273_S124|1;453307_S084|2;453307_S095|1;453307_S096|1;453307_S099|1;453307_S100|1;453307_S101|2;453307_S104|2;453307_S163|2;453307_S164|1;453307_S165|1;453307_S186|1;454548_S086|15;454548_S153|1
small_six_bay_block,22-SB02,22,13|15|17|19|21|23,55,453307_S085|1;453307_S086|3;453307_S098|3;453307_S128|3;453307_S136|3;453307_S172|2;453307_S187|1;454548_S086|37;454548_S154|1;454548_S155|1
small_six_bay_block,22-SB03,22,25|27|29|31|33|35,66,453273_S112|1;453273_S113|4;453273_S115|1;453273_S116|1;453273_S117|2;453273_S130|1;453273_S131|1;453273_S132|1;453273_S133|1;453273_S138|4;453273_S152|3;453273_S153|1;453273_S157|1;453273_S158|3;453273_S169|3;453273_S170|1;453307_S092|1;453307_S093|2;453307_S094|1;453307_S109|1;453307_S110|2;453307_S111|1;453307_S139|1;454548_S086|25;454548_S087|3
small_six_bay_block,22-SB04,22,37|39|41|43|45|47,40,453273_S247|3;453307_S129|1;453307_S130|1;453307_S131|2;453307_S133|2;454548_S120|13;454548_S151|2;454548_S152|16
