voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453250,OF,28,20,16,0.0,16.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453250,OF,49,20,10,0.0,10.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,59,20,121,95.0,26.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,69,20,1,0.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453308,OF,89,20,116,50.0,66.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453324,OF,28,20,47,45.0,2.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,28,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,29,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,2A,20,1,0.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,38,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,49,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,59,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,69,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453352,OF,89,20,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,19,20,29,0.0,29.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,28,20,29,0.0,29.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,29,20,29,4.0,25.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,2A,20,13,10.0,3.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,38,20,29,0.0,29.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,39,20,29,0.0,29.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453356,OF,49,20,29,0.0,29.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
