column_id,group_id,demand_source,voyage_id,flow,port,size,height,area_no,bay_no,row_allocation,six_bay_block_id,quantity,stack_units,intrinsic_cost,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
C0000001,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:01:1|E8|13:01:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000002,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:10:1|E8|13:10:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000003,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:02:1|E8|13:02:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000004,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:03:1|E8|13:03:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000005,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:04:1|E8|13:04:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000006,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:05:1|E8|13:05:1,E8-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000007,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:01:3|E8|11:02:2|E8|11:03:4|E8|11:04:2|E8|11:05:2|E8|13:01:3|E8|13:02:2|E8|13:03:4|E8|13:04:2|E8|13:05:2,E8-SB01,13,4,0.0,HQ,45,1,CNSHA,
C0000008,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:05:1|E8|11:07:3|E8|11:08:3|E8|11:09:3|E8|11:10:3|E8|13:05:1|E8|13:07:3|E8|13:08:3|E8|13:09:3|E8|13:10:3,E8-SB01,13,4,0.0,HQ,45,1,CNSHA,
C0000009,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:01:3|E8|11:02:2|E8|11:03:4|E8|11:04:2|E8|11:05:3|E8|11:07:3|E8|11:08:2|E8|13:01:3|E8|13:02:2|E8|13:03:4|E8|13:04:2|E8|13:05:3|E8|13:07:3|E8|13:08:2,E8-SB01,19,5,0.0,HQ,45,1,CNSHA,
C0000010,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:03:2|E8|11:04:2|E8|11:05:3|E8|11:07:3|E8|11:08:3|E8|11:09:3|E8|11:10:3|E8|13:03:2|E8|13:04:2|E8|13:05:3|E8|13:07:3|E8|13:08:3|E8|13:09:3|E8|13:10:3,E8-SB01,19,5,0.0,HQ,45,1,CNSHA,
C0000011,453307_S004,document,453307,IE,CNSHA,45,HQ,E8,11,E8|11:01:3|E8|11:02:2|E8|11:03:4|E8|11:04:2|E8|11:05:3|E8|11:07:3|E8|11:08:3|E8|11:09:3|E8|11:10:3|E8|13:01:3|E8|13:02:2|E8|13:03:4|E8|13:04:2|E8|13:05:3|E8|13:07:3|E8|13:08:3|E8|13:09:3|E8|13:10:3,E8-SB01,26,7,0.0,HQ,45,1,CNSHA,
C0000012,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:02:1|11|03:02:1,11-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000013,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:05:1|11|03:05:1,11-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000014,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:03:1|11|03:03:1,11-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000015,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:04:1|11|03:04:1,11-SB01,1,1,0.0,HQ,45,1,CNSHA,
C0000016,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:02:3|11|01:03:3|11|03:02:3|11|03:03:3,11-SB01,6,2,0.0,HQ,45,1,CNSHA,
C0000017,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:03:1|11|01:04:3|11|01:05:2|11|03:03:1|11|03:04:3|11|03:05:2,11-SB01,6,2,0.0,HQ,45,1,CNSHA,
C0000018,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:02:3|11|01:03:4|11|01:04:2|11|03:02:3|11|03:03:4|11|03:04:2,11-SB01,9,3,0.0,HQ,45,1,CNSHA,
C0000019,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:03:4|11|01:04:3|11|01:05:2|11|03:03:4|11|03:04:3|11|03:05:2,11-SB01,9,3,0.0,HQ,45,1,CNSHA,
C0000020,453307_S004,document,453307,IE,CNSHA,45,HQ,11,01,11|01:02:3|11|01:03:4|11|01:04:3|11|01:05:2|11|03:02:3|11|03:03:4|11|03:04:3|11|03:05:2,11-SB01,12,3,0.0,HQ,45,1,CNSHA,
C0000021,453307_S004,document,453307,IE,CNSHA,45,HQ,10,55,10|55:05:1|10|57:05:1,,1,1,6.0,HQ,45,1,CNSHA,
C0000022,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:01:1|2B|03:01:1,2B-SB01,1,1,0.0,HQ,45,1,CAVAN,
C0000023,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:02:1|2B|03:02:1,2B-SB01,1,1,0.0,HQ,45,1,CAVAN,
C0000024,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:01:3|2B|03:01:3,2B-SB01,3,1,0.0,HQ,45,1,CAVAN,
C0000025,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:02:3|2B|03:02:3,2B-SB01,3,1,0.0,HQ,45,1,CAVAN,
C0000026,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:01:4|2B|01:02:2|2B|03:01:4|2B|03:02:2,2B-SB01,6,2,0.0,HQ,45,1,CAVAN,
C0000027,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,01,2B|01:01:1|2B|01:02:5|2B|03:01:1|2B|03:02:5,2B-SB01,6,2,0.0,HQ,45,1,CAVAN,
C0000028,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:01:1|2B|63:01:1,2B-SB05,1,1,0.0,HQ,45,1,CAVAN,
C0000029,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:04:1|2B|63:04:1,2B-SB05,1,1,0.0,HQ,45,1,CAVAN,
C0000030,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:02:1|2B|63:02:1,2B-SB05,1,1,0.0,HQ,45,1,CAVAN,
C0000031,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:01:3|2B|63:01:3,2B-SB05,3,1,0.0,HQ,45,1,CAVAN,
C0000032,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:02:2|2B|61:04:1|2B|63:02:2|2B|63:04:1,2B-SB05,3,1,0.0,HQ,45,1,CAVAN,
C0000033,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:02:3|2B|63:02:3,2B-SB05,3,1,0.0,HQ,45,1,CAVAN,
C0000034,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:01:3|2B|61:02:3|2B|63:01:3|2B|63:02:3,2B-SB05,6,2,0.0,HQ,45,1,CAVAN,
C0000035,453388_S070,document,453388,OF,CAVAN,45,HQ,2B,61,2B|61:01:2|2B|61:02:3|2B|61:04:1|2B|63:01:2|2B|63:02:3|2B|63:04:1,2B-SB05,6,2,0.0,HQ,45,1,CAVAN,
C0000036,453388_S070,document,453388,OF,CAVAN,45,HQ,49,01,49|01:01:1|49|03:01:1,49-SB01,1,1,0.0,HQ,45,1,CAVAN,
C0000037,453388_S070,document,453388,OF,CAVAN,45,HQ,49,01,49|01:04:1|49|03:04:1,49-SB01,1,1,0.0,HQ,45,1,CAVAN,
