voyage_id,flow,port,size_mode,predicted_boxes,ratio_target_boxes,doc_boxes,yard_boxes,planned_boxes,planning_stage,planning_ratio
453250,OF,CAVA3,40,4,1,0,0,1,open_second_24h,0.2
453273,IE,CNSHA,20,0,0,52,0,52,open_first_24h,0.7
453273,IE,CNSHA,40,0,0,1834,0,1834,open_first_24h,0.7
453273,IE,CNSHA,45,0,0,1,0,1,open_first_24h,0.7
453273,IF,CNSHA,20,0,0,71,0,71,open_first_24h,0.7
453273,IF,CNSHA,40,0,0,61,0,61,open_first_24h,0.7
453273,IZ,CNNKG,20,0,0,3,0,3,open_first_24h,0.7
453273,IZ,CNTOL,20,0,0,105,0,105,open_first_24h,0.7
453273,IZ,CNXMN,20,0,0,20,0,20,open_first_24h,0.7
453273,IZ,CNYUY,20,0,0,70,0,70,open_first_24h,0.7
453273,IZ,CNZJG,20,0,0,10,0,10,open_first_24h,0.7
453273,IZ,CNJIU,40,0,0,19,0,19,open_first_24h,0.7
453273,IZ,CNWUH,40,0,0,118,0,118,open_first_24h,0.7
453273,IZ,CNYZH,40,0,0,4,0,4,open_first_24h,0.7
453273,IZ,CNZJG,40,0,0,2,0,2,open_first_24h,0.7
453273,T,ARBUE,20,0,0,4,0,4,open_first_24h,0.7
453273,T,BRIOA,20,0,0,4,0,4,open_first_24h,0.7
453273,T,CACAL,20,0,0,1,0,1,open_first_24h,0.7
453273,T,CAMTR,20,0,0,2,0,2,open_first_24h,0.7
453273,T,CATOR,20,0,0,2,0,2,open_first_24h,0.7
453273,T,CAVAN,20,0,0,4,0,4,open_first_24h,0.7
453273,T,CLSAI,20,0,0,1,0,1,open_first_24h,0.7
453273,T,COBAQ,20,0,0,1,0,1,open_first_24h,0.7
453273,T,COCTG,20,0,0,7,0,7,open_first_24h,0.7
453273,T,DOCAU,20,0,0,7,0,7,open_first_24h,0.7
453273,T,ECPSJ,20,0,0,5,0,5,open_first_24h,0.7
453273,T,HNSLO,20,0,0,2,0,2,open_first_24h,0.7
453273,T,JPMOJ,20,0,0,15,0,15,open_first_24h,0.7
453273,T,JPNGO,20,0,0,41,0,41,open_first_24h,0.7
453273,T,JPTYO,20,0,0,9,0,9,open_first_24h,0.7
453273,T,JPUKB,20,0,0,1,0,1,open_first_24h,0.7
453273,T,JPYOK,20,0,0,1,0,1,open_first_24h,0.7
453273,T,KRPUS,20,0,0,54,0,54,open_first_24h,0.7
453273,T,MXLZC,20,0,0,13,0,13,open_first_24h,0.7
453273,T,MXZLO,20,0,0,1,0,1,open_first_24h,0.7
453273,T,MYPGU,20,0,0,1,0,1,open_first_24h,0.7
453273,T,NZAKL,20,0,0,4,0,4,open_first_24h,0.7
453273,T,NZTIU,20,0,0,2,0,2,open_first_24h,0.7
453273,T,PECLL,20,0,0,5,0,5,open_first_24h,0.7
453273,T,THBKK,20,0,0,1,0,1,open_first_24h,0.7
453273,T,TTPOS,20,0,0,1,0,1,open_first_24h,0.7
453273,T,USATL,20,0,0,1,0,1,open_first_24h,0.7
453273,T,USCHI,20,0,0,1,0,1,open_first_24h,0.7
