plan_level,voyage_id,flow,port,size,area_no,bay_no,six_bay_block_id,six_bay_block_bays,planned_boxes,document_boxes,forecast_fallback_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
medium,453250,OF,CAVA3,40,29,61,,,1,0,1,MIXED,MIXED,MIXED,MIXED,
medium,453250,OF,COCTG,40,6A,01,6A-SB01,01|03|05|07|09|11,2,2,0,HQ,40,1,COCTG,
medium,453250,OF,COCTG,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,3,COCTG,
medium,453250,OF,KRPUS,20,19,37,19-SB03,37|39|41|43|45|51,2,2,0,PQ,20,1,KRPUS,
medium,453250,OF,KRPUS,20,19,37,19-SB03,37|39|41|43|45|51,1,1,0,PQ,20,3,KRPUS,
medium,453250,OF,KRPUS,20,19,37,19-SB03,37|39|41|43|45|51,19,19,0,PQ,20,4,KRPUS,
medium,453250,OF,KRPUS,40,29,01,29-SB01,01|03|05|07|09|11,5,5,0,HQ,40,3,KRPUS,
medium,453250,OF,KRPUS,40,29,01,29-SB01,01|03|05|07|09|11,11,11,0,HQ,40,4,KRPUS,
medium,453250,OF,KRPUS,40,29,09,29-SB01,01|03|05|07|09|11,5,5,0,HQ,40,1,KRPUS,
medium,453250,OF,KRPUS,40,29,09,29-SB01,01|03|05|07|09|11,1,1,0,HQ,40,2,KRPUS,
medium,453250,OF,KRPUS,40,29,09,29-SB01,01|03|05|07|09|11,1,1,0,HQ,40,3,KRPUS,
medium,453250,OF,KRPUS,40,29,13,29-SB02,13|15|17|19|21|23,3,3,0,HQ,40,2,KRPUS,
medium,453250,OF,KRPUS,40,29,13,29-SB02,13|15|17|19|21|23,2,2,0,HQ,40,5,KRPUS,
medium,453250,OF,KRPUS,40,29,13,29-SB02,13|15|17|19|21|23,2,2,0,HQ,40,6,KRPUS,
medium,453250,OF,USNW2,40,19,01,19-SB01,01|03|05|15|17|19,1,1,0,HQ,40,1,USNW2,
medium,453250,OF,USNW2,40,19,01,19-SB01,01|03|05|15|17|19,1,1,0,HQ,40,4,USNW2,
medium,453250,OF,USNWK,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,3,USNWK,
medium,453250,OF,USNWK,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,4,USNWK,
medium,453250,OF,USNWK,40,6A,09,6A-SB01,01|03|05|07|09|11,4,4,0,HQ,40,1,USNWK,
medium,453250,OF,USNYC,20,19,05,19-SB01,01|03|05|15|17|19,1,1,0,PQ,20,1,USNYC,
medium,453250,OF,USNYC,20,19,05,19-SB01,01|03|05|15|17|19,1,1,0,PQ,20,3,USNYC,
medium,453250,OF,USNYC,40,19,01,19-SB01,01|03|05|15|17|19,4,4,0,HQ,40,1,USNYC,
medium,453250,OF,USNYC,40,19,01,19-SB01,01|03|05|15|17|19,2,2,0,HQ,40,2,USNYC,
medium,453250,OF,USNYC,40,19,19,19-SB01,01|03|05|15|17|19,2,2,0,HQ,40,3,USNYC,
medium,453250,OF,USORF,20,19,05,19-SB01,01|03|05|15|17|19,1,1,0,PQ,20,1,USORF,
medium,453250,OF,USORF,20,19,05,19-SB01,01|03|05|15|17|19,1,1,0,PQ,20,2,USORF,
medium,453250,OF,USORF,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,2,USORF,
medium,453250,OF,USORF,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,3,USORF,
medium,453250,OF,USORF,40,6A,01,6A-SB01,01|03|05|07|09|11,1,1,0,HQ,40,4,USORF,
medium,453273,IE,CNSHA,20,E3,99,,,22,22,0,PQ,20,1,CNSHA,
medium,453273,IE,CNSHA,20,E3,A1,,,8,8,0,PQ,20,1,CNSHA,
medium,453273,IE,CNSHA,20,E3,A5,,,22,22,0,PQ,20,1,CNSHA,
medium,453273,IE,CNSHA,40,12,37,12-SB01,09|11|23|37|39|47,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,12,47,12-SB01,09|11|23|37|39|47,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,21,05,21-SB01,05|07|09|11|33|35,5,5,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,21,09,21-SB01,05|07|09|11|33|35,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,21,33,21-SB01,05|07|09|11|33|35,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,29,29,29-SB03,25|27|29|31|33|35,14,14,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,30,33,30-SB01,15|17|19|21|23|33,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,30,41,30-SB02,35|41|43|49|51|53,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,31,05,31-SB01,05|07|17|19|21|23,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,31,21,31-SB01,05|07|17|19|21|23,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,31,25,31-SB02,25|27|41|43|49|51,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,31,49,31-SB02,25|27|41|43|49|51,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,31,57,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,01,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,05,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,09,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,13,,,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,17,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,29,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,40,37,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,01,41-SB01,01|03|05|07|09|15,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,05,41-SB01,01|03|05|07|09|15,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,25,41-SB02,17|19|25|27|29|31,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,29,41-SB02,17|19|25|27|29|31,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,41,41-SB03,41|43|45|47|53|55,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,45,41-SB03,41|43|45|47|53|55,5,5,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,41,53,41-SB03,41|43|45|47|53|55,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,49,29,49-SB03,25|27|29|31|33|35,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,49,41,49-SB04,37|39|41|43|45|47,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,49,49,49-SB05,49|51|53|55|57|59,18,18,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,01,51-SB01,01|03|21|23|25|27,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,21,51-SB01,01|03|21|23|25|27,3,3,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,25,51-SB01,01|03|21|23|25|27,6,6,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,33,51-SB02,33|35|41|43|65|67,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,41,51-SB02,33|35|41|43|65|67,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,51,65,51-SB02,33|35|41|43|65|67,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,5B,25,5B-SB02,13|15|17|19|25|27,18,18,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,5B,49,5B-SB04,41|43|45|47|49|51,26,26,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,03,60-SB01,03|05|07|17|19|21,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,17,60-SB01,03|05|07|17|19|21,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,21,60-SB01,03|05|07|17|19|21,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,35,60-SB02,23|25|35|37|39|41,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,39,60-SB02,23|25|35|37|39|41,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,49,60-SB03,43|49|51|53|55|61,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,53,60-SB03,43|49|51|53|55|61,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,60,61,60-SB03,43|49|51|53|55|61,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,09,61-SB01,09|11|23|25|41|43,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,23,61-SB01,09|11|23|25|41|43,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,41,61-SB01,09|11|23|25|41|43,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,55,61-SB02,55|57|59|61|65|67,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,59,61-SB02,55|57|59|61|65|67,3,3,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,65,61-SB02,55|57|59|61|65|67,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,61,69,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,70,01,70-SB01,01|03|11|17|19|23,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,70,17,70-SB01,01|03|11|17|19|23,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,70,23,70-SB01,01|03|11|17|19|23,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,70,27,70-SB02,25|27|29|35|45|47,4,4,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,70,45,70-SB02,25|27|29|35|45|47,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,71,01,71-SB01,01|03|05|07|15|37,3,3,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,71,05,71-SB01,01|03|05|07|15|37,6,6,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,71,59,71-SB02,39|41|59|61|63|65,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,71,63,71-SB02,39|41|59|61|63|65,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,80,47,80-SB02,35|47|49|57|59|61,3,3,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,80,57,80-SB02,35|47|49|57|59|61,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,80,61,80-SB02,35|47|49|57|59|61,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,01,81-SB01,01|03|11|13|23|25,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,11,81-SB01,01|03|11|13|23|25,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,27,81-SB02,27|29|41|43|45|47,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,41,81-SB02,27|29|41|43|45|47,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,45,81-SB02,27|29|41|43|45|47,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,49,81-SB03,49|51|53|55|57|65,2,2,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,53,81-SB03,49|51|53|55|57|65,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,65,81-SB03,49|51|53|55|57|65,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,81,69,,,1,1,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,E1,11,E1-SB01,11|13|15|17|19|21,6,6,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,E1,15,E1-SB01,11|13|15|17|19|21,11,11,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,E1,19,E1-SB01,11|13|15|17|19|21,10,10,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,E1,23,E1-SB02,23|25|27|29|31|33,11,11,0,HQ,40,1,CNSHA,
medium,453273,IE,CNSHA,40,E1,27,E1-SB02,23|25|27|29|31|33,11,11,0,HQ,40,1,CNSHA,
