plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,11-SB01,11,01|03|05|07|09|11,39,453307_S001|13;453307_S002|26
small_six_bay_block,11-SB02,11,13|15|17|19|21|23,10,453307_S001|1;453307_S002|9
small_six_bay_block,12-SB01,12,09|11|23|37|39|47,2,453273_S002|2
small_six_bay_block,13-SB01,13,01|03|05|07|09|11,47,454548_S009|1;454548_S010|1;454548_S022|1;454548_S023|1;454548_S050|5;454548_S051|2;454548_S061|1;454548_S062|1;454548_S063|1;454548_S068|5;454548_S069|6;454548_S077|2;454548_S088|1;454548_S089|1;454548_S090|2;454548_S091|1;454548_S094|1;454548_S145|10;454548_S148|3;454548_S165|1
small_six_bay_block,13-SB02,13,13|15|17|19|21|23,44,454548_S127|5;454548_S128|14;454548_S131|4;454548_S166|8;454548_S167|6;454548_S169|7
small_six_bay_block,13-SB03,13,25|27|29|31|33|35,33,454548_S127|6;454548_S128|11;454548_S129|4;454548_S130|9;454548_S131|3
small_six_bay_block,13-SB04,13,37|39|41|43|45|47,32,454548_S007|8;454548_S008|4;454548_S010|2;454548_S076|4;454548_S131|14
small_six_bay_block,15-SB01,15,01|03|05|07|09|11,43,454548_S038|32;454548_S112|11
small_six_bay_block,15-SB02,15,13|15|17|19|21|23,55,454548_S038|26;454548_S112|2;454548_S114|6;454548_S141|14;454548_S142|1;454548_S143|1;454548_S144|5
small_six_bay_block,15-SB03,15,25|27|29|31|33|35,44,454548_S112|13;454548_S115|13;454548_S151|2;454548_S152|16
small_six_bay_block,15-SB04,15,37|39|41|43|45|47,68,454548_S037|6;454548_S038|29;454548_S115|33
small_six_bay_block,19-SB01,19,01|03|05|15|17|19,16,453250_S004|1;453250_S005|1;453250_S006|1;453250_S007|1;453250_S016|1;453250_S017|1;453250_S021|4;453250_S022|2;453250_S023|2;454548_S103|1;454548_S104|1
small_six_bay_block,19-SB02,19,21|23|25|27|33|35,9,454548_S103|2;454548_S106|7
small_six_bay_block,19-SB03,19,37|39|41|43|45|51,22,453250_S001|2;453250_S002|1;453250_S003|19
small_six_bay_block,1A-SB01,1A,01|03|05|07|09|11,24,453273_S228|14;454549_S001|1;454549_S002|1;454549_S004|3;454549_S006|1;454549_S007|1;454549_S008|2;454549_S009|1
small_six_bay_block,1A-SB02,1A,13|15|17|19|21|23,29,453273_S224|6;453273_S225|13;453273_S226|1;453273_S227|5;453273_S252|2;454549_S003|1;454549_S005|1
small_six_bay_block,1A-SB03,1A,25|31|33|35|37|39,16,453273_S252|4;453273_S253|12
small_six_bay_block,21-SB01,21,05|07|09|11|33|35,8,453273_S002|8
small_six_bay_block,22-SB01,22,01|03|05|07|09|11,33,453273_S124|1;453273_S125|1;453273_S128|1;453273_S134|1;453273_S135|1;453273_S159|1;453273_S173|1;453273_S174|1;453273_S175|1;453273_S182|1;453273_S186|1;453273_S196|1;453273_S201|1;453273_S207|1;453273_S230|1;453273_S259|1;454548_S086|17
small_six_bay_block,22-SB02,22,13|15|17|19|21|23,41,453273_S110|1;453273_S111|1;453273_S126|1;453273_S127|1;453273_S129|2;453273_S139|2;453273_S148|1;453273_S149|1;453273_S155|1;453307_S083|2;453307_S084|2;453307_S095|1;453307_S096|1;453307_S099|1;453307_S100|1;453307_S101|2;453307_S104|2;453307_S163|2;453307_S164|1;453307_S165|1;453307_S186|1;453307_S187|1;454548_S086|12
small_six_bay_block,22-SB03,22,25|27|29|31|33|35,64,453273_S156|1;453273_S161|2;453273_S165|1;453273_S166|1;453273_S180|1;453273_S181|1;453273_S187|1;453273_S188|1;453273_S193|1;453307_S085|1;453307_S086|3;453307_S092|1;453307_S093|2;453307_S094|1;453307_S098|3;453307_S109|1;453307_S110|2;453307_S128|3;453307_S136|3;453307_S167|5;453307_S170|3;453307_S172|2;454548_S086|24
small_six_bay_block,22-SB04,22,37|39|41|43|45|47,56,453307_S166|17;453307_S167|7;454548_S086|24;454548_S087|8
small_six_bay_block,22-SB05,22,49|51|53|55|57|59,43,453273_S172|6;453307_S170|2;453307_S171|1;454548_S116|34
small_six_bay_block,24-SB01,24,01|03|05|07|09|11,31,454548_S083|3;454548_S087|1;454548_S101|4;454548_S146|5;454548_S156|5;454548_S172|4;454548_S188|5;454548_S189|4
small_six_bay_block,24-SB02,24,13|15|17|19|21|23,24,454548_S011|9;454548_S083|2;454548_S084|3;454548_S096|2;454548_S097|2;454548_S147|2;454548_S148|3;454548_S149|1
small_six_bay_block,24-SB03,24,25|27|29|31|33|35,48,454548_S085|27;454548_S113|12;454548_S114|7;454548_S120|1;454548_S150|1
small_six_bay_block,24-SB04,24,37|39|41|43|45|47,37,454548_S087|15;454548_S095|13;454548_S096|3;454548_S097|2;454548_S120|4
small_six_bay_block,24-SB05,24,49|51|53|55|57|59,13,454548_S087|8;454548_S122|5
small_six_bay_block,28-SB01,28,01|03|05|07|13|15,23,453356_S003|4;453388_S008|3;453388_S020|1;453388_S021|1;453388_S022|8;453388_S060|5;453416_S008|1
