voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453308,OF,69,20,94,0.0,94.0
453324,OF,28,20,47,45.0,2.0
453352,OF,5A,20,18,0.0,18.0
453356,OF,19,20,44,0.0,44.0
453356,OF,28,20,44,0.0,44.0
453356,OF,29,20,43,2.0,41.0
453356,OF,38,20,44,0.0,44.0
453356,OF,39,20,29,0.0,29.0
453388,OF,49,20,62,0.0,62.0
453388,OF,4A,20,62,32.0,30.0
453388,OF,69,20,62,0.0,62.0
453388,OF,89,20,62,0.0,62.0
453388,OF,8A,20,49,0.0,49.0
453396,OF,19,20,18,0.0,18.0
453396,OF,89,20,2,1.0,1.0
453412,OF,49,20,21,0.0,21.0
453416,OF,28,20,103,0.0,103.0
453416,OF,2A,20,103,32.0,71.0
453416,OF,38,20,103,34.0,69.0
453416,OF,4A,20,19,0.0,19.0
454447,OF,6A,20,15,0.0,15.0
454585,OF,28,20,124,0.0,124.0
454585,OF,29,20,120,0.0,120.0
454585,OF,59,20,124,0.0,124.0
454585,OF,69,20,124,66.0,58.0
454585,OF,7A,20,1,0.0,1.0
453273,IF,79,20,123,0.0,123.0
453273,IZ,68,20,208,0.0,208.0
453273,T,54,20,1,0.0,1.0
453273,T,74,20,1,0.0,1.0
453273,T,83,20,308,0.0,308.0
453307,IF,79,20,89,0.0,89.0
453307,IZ,68,20,2,0.0,2.0
453307,T,44,20,1,0.0,1.0
453307,T,53,20,170,0.0,170.0
454548,IF,7G,20,2,0.0,2.0
454548,T,13,20,279,0.0,279.0
454548,T,32,20,440,0.0,440.0
454548,T,33,20,392,0.0,392.0
454548,T,42,20,331,0.0,331.0
454548,T,43,20,24,0.0,24.0
454548,T,52,20,279,0.0,279.0
454548,T,64,20,1,0.0,1.0
453308,OF,69,40,10,1.0,9.0
453308,OF,6A,40,196,172.0,24.0
453308,T,62,40,2,0.0,2.0
453324,OF,38,40,18,0.0,18.0
453324,OF,39,40,241,232.0,9.0
453324,T,72,40,8,5.0,3.0
453352,OF,5A,40,11,0.0,11.0
453352,T,22,40,4,1.0,3.0
453356,OF,19,40,71,6.0,65.0
453356,OF,2A,40,107,32.0,75.0
453356,OF,38,40,8,3.0,5.0
453356,OF,3A,40,27,2.0,25.0
453356,T,22,40,3,0.0,3.0
453388,OF,49,40,71,0.0,71.0
453388,OF,4A,40,121,85.0,36.0
453388,OF,69,40,121,0.0,121.0
453388,OF,89,40,116,0.0,116.0
453388,OF,8A,40,121,0.0,121.0
453388,T,62,40,10,4.0,6.0
453396,OF,3A,40,25,0.0,25.0
453396,OF,8A,40,39,8.0,31.0
453396,T,62,40,5,1.0,4.0
453396,T,72,40,13,0.0,13.0
453412,OF,49,40,204,6.0,198.0
453412,T,62,40,8,7.0,1.0
453416,OF,1A,40,195,165.0,30.0
453416,OF,28,40,1,0.0,1.0
453416,OF,2A,40,195,59.0,136.0
453416,OF,38,40,195,189.0,6.0
453416,OF,4A,40,195,5.0,190.0
453416,OF,5A,40,195,0.0,195.0
453416,T,22,40,5,0.0,5.0
454447,OF,6A,40,9,1.0,8.0
454585,OF,29,40,128,0.0,128.0
454585,OF,59,40,94,1.0,93.0
454585,OF,69,40,189,146.0,43.0
454585,OF,7A,40,78,7.0,71.0
454585,OF,8A,40,189,185.0,4.0
454585,OZ,10,40,6,4.0,2.0
453273,IF,E1,40,289,0.0,289.0
453273,IF,E2,40,215,0.0,215.0
453273,IF,E3,40,639,0.0,639.0
453273,IF,E9,40,753,0.0,753.0
453273,IZ,68,40,143,0.0,143.0
453273,T,15,40,225,0.0,225.0
453273,T,22,40,41,0.0,41.0
453273,T,54,40,134,0.0,134.0
453273,T,55,40,219,0.0,219.0
453273,T,62,40,19,0.0,19.0
453273,T,72,40,13,0.0,13.0
453273,T,73,40,15,0.0,15.0
453273,T,74,40,122,0.0,122.0
453273,T,83,40,93,0.0,93.0
453307,IF,79,40,232,0.0,232.0
453307,IF,7B,40,253,0.0,253.0
453307,IF,7G,40,282,0.0,282.0
453307,IF,7H,40,252,0.0,252.0
453307,IF,8G,40,244,0.0,244.0
453307,IF,8H,40,243,0.0,243.0
453307,IF,E8,40,787,0.0,787.0
453307,IF,EA,40,271,0.0,271.0
453307,IZ,68,40,17,0.0,17.0
453307,T,22,40,41,0.0,41.0
453307,T,44,40,139,0.0,139.0
453307,T,53,40,81,0.0,81.0
453307,T,62,40,19,0.0,19.0
453307,T,63,40,11,0.0,11.0
453307,T,72,40,13,0.0,13.0
453307,T,73,40,15,0.0,15.0
453307,T,75,40,211,0.0,211.0
454548,T,13,40,19,0.0,19.0
454548,T,22,40,41,0.0,41.0
454548,T,24,40,192,0.0,192.0
454548,T,32,40,31,0.0,31.0
454548,T,33,40,28,0.0,28.0
454548,T,42,40,28,0.0,28.0
454548,T,43,40,164,0.0,164.0
454548,T,52,40,22,0.0,22.0
454548,T,62,40,19,0.0,19.0
454548,T,64,40,151,0.0,151.0
454548,T,72,40,13,0.0,13.0
454548,T,73,40,15,0.0,15.0
454548,T,85,40,302,0.0,302.0
