area_no,work_type,has_position,voy_id,planned_qty
10,OZ,1,453308,2
10,OZ,1,453324,7
10,OZ,1,453352,1
10,OZ,1,453356,2
10,OZ,1,453388,2
10,OZ,1,453396,7
10,OZ,1,453412,5
10,OZ,1,453416,6
10,OZ,1,454447,1
10,OZ,1,454585,9
11,OZ,1,453308,10
11,OZ,1,453324,7
11,OZ,1,453356,2
11,OZ,1,453388,12
11,OZ,1,453396,15
11,OZ,1,453412,14
11,OZ,1,453416,17
11,OZ,1,454447,2
11,OZ,1,454585,10
12,OZ,1,453308,7
12,OZ,1,453324,5
12,OZ,1,453356,6
12,OZ,1,453388,5
12,OZ,1,453396,26
12,OZ,1,453412,15
12,OZ,1,453416,15
12,OZ,1,454447,2
12,OZ,1,454585,20
13,T,1,453308,3
13,T,1,453324,6
13,T,1,453388,9
13,T,1,453396,20
13,T,1,453412,21
13,T,1,453416,18
13,T,1,454447,1
13,T,1,454548,298
13,T,1,454585,14
14,T,1,453308,5
14,T,1,453324,5
14,T,1,453356,5
14,T,1,453388,5
14,T,1,453396,47
14,T,1,453412,29
14,T,1,453416,23
14,T,1,454447,2
14,T,1,454585,5
15,T,1,453273,225
15,T,1,453308,1
15,T,1,453324,2
15,T,1,453356,1
15,T,1,453396,46
15,T,1,453412,8
15,T,1,453416,4
15,T,1,454447,1
15,T,1,454585,6
16,T,1,453308,5
16,T,1,453324,2
16,T,1,453356,1
16,T,1,453388,2
16,T,1,453396,18
16,T,1,453412,54
16,T,1,453416,11
16,T,1,454585,5
17,T,1,453308,5
17,T,1,453324,3
17,T,1,453356,1
17,T,1,453396,11
17,T,1,453412,37
17,T,1,453416,16
17,T,1,454585,5
19,OF,1,453324,272
19,OF,1,453356,115
19,OF,1,453396,20
1A,OF,1,453324,50
1A,OF,1,453356,1
1A,OF,1,453416,215
1B,OF,1,453356,190
1C,OF,1,453324,74
1C,OF,1,453396,5
1D,OF,1,453324,1
1D,OF,1,453356,116
1D,OF,1,453396,9
1K,OF,1,453396,5
1K,OF,1,454585,41
21,OZ,1,453308,2
21,OZ,1,453324,8
21,OZ,1,453352,8
21,OZ,1,453412,3
21,OZ,1,453416,8
21,OZ,1,454585,1
22,T,1,453273,41
22,T,1,453307,41
22,T,1,453308,9
22,T,1,453324,7
22,T,1,453352,4
22,T,1,453356,5
22,T,1,453388,2
22,T,1,453396,15
22,T,1,453412,11
22,T,1,453416,16
22,T,1,454447,2
22,T,1,454548,41
22,T,1,454585,7
23,T,1,453308,5
23,T,1,453324,5
23,T,1,453352,21
23,T,1,453356,5
23,T,1,453388,1
23,T,1,453396,12
23,T,1,453412,6
23,T,1,453416,4
23,T,1,454585,3
24,T,1,453324,11
24,T,1,453356,1
24,T,1,453388,1
24,T,1,453396,25
24,T,1,453412,34
24,T,1,453416,16
24,T,1,454447,1
24,T,1,454548,192
26,T,1,453308,8
26,T,1,453396,30
26,T,1,453412,36
26,T,1,453416,12
26,T,1,454585,9
27,T,1,453308,6
27,T,1,453324,2
27,T,1,453356,4
27,T,1,453396,2
27,T,1,453412,39
27,T,1,453416,2
28,OF,1,453324,290
28,OF,1,453356,57
28,OF,1,453416,104
28,OF,1,454585,124
29,OF,1,453308,1
29,OF,1,453324,3
29,OF,1,453356,148
29,OF,1,453396,4
29,OF,1,454585,248
2A,OF,1,453356,135
2A,OF,1,453416,298
2B,OF,1,453324,129
2B,OF,1,453356,2
2B,OF,1,453388,2
2B,OF,1,453416,162
2C,OF,1,453308,76
2C,OF,1,453324,26
2C,OF,1,453396,3
2C,OF,1,453416,155
2D,OF,1,453396,3
2K,OF,1,453324,40
2K,OF,1,453396,8
2K,OF,1,453412,1
2K,OF,1,453416,7
2K,OF,1,454447,29
2K,OF,1,454585,13
30,OZ,1,453308,8
30,OZ,1,453324,18
30,OZ,1,453352,2
30,OZ,1,453356,1
30,OZ,1,453388,1
30,OZ,1,453396,2
30,OZ,1,453412,12
30,OZ,1,453416,1
30,OZ,1,454447,2
30,OZ,1,454585,1
31,OZ,1,453308,8
31,OZ,1,453324,4
31,OZ,1,453356,3
31,OZ,1,453388,3
31,OZ,1,453396,5
31,OZ,1,453412,9
31,OZ,1,453416,7
31,OZ,1,454447,6
32,T,1,453308,9
32,T,1,453324,2
32,T,1,453356,2
32,T,1,453388,1
32,T,1,453396,16
32,T,1,453412,20
32,T,1,453416,8
32,T,1,454447,1
32,T,1,454548,471
32,T,1,454585,2
33,T,1,453308,7
33,T,1,453324,10
33,T,1,453352,2
33,T,1,453388,2
33,T,1,453396,24
33,T,1,453412,13
33,T,1,453416,8
33,T,1,454447,2
33,T,1,454548,420
33,T,1,454585,3
37,T,1,453388,1
37,T,1,453396,1
37,T,1,453412,15
37,T,1,453416,7
38,OF,1,453308,1
38,OF,1,453324,20
38,OF,1,453356,52
38,OF,1,453396,2
38,OF,1,453412,2
38,OF,1,453416,298
39,OF,1,453324,348
39,OF,1,453356,30
3A,OF,1,453308,12
3A,OF,1,453356,27
3A,OF,1,453396,26
3B,OF,1,453308,15
3B,OF,1,453324,1
3B,OF,1,453396,22
3D,OF,1,453356,1
3G,OF,0,453308,7
3G,OF,0,453324,3
3G,OF,0,453352,1
3G,OF,0,453356,3
3G,OF,0,453388,7
3G,OF,0,453396,30
3G,OF,0,453412,13
3G,OF,0,453416,1
3H,OF,0,453308,1
3H,OF,0,453324,2
3H,OF,0,453352,3
3H,OF,0,453356,1
3H,OF,0,453388,14
3H,OF,0,453396,14
3H,OF,0,453412,4
3H,OF,0,453416,3
3H,OF,0,454585,1
3J,OF,0,453324,3
3J,OF,0,453352,12
3J,OF,0,453388,17
3J,OF,0,453396,15
3J,OF,0,453416,1
3K,OF,0,453308,2
3K,OF,0,453324,2
3K,OF,0,453352,6
3K,OF,0,453356,2
3K,OF,0,453388,26
3K,OF,0,453396,13
3K,OF,0,453412,4
3K,OF,0,453416,2
40,OZ,1,453308,1
40,OZ,1,453324,3
40,OZ,1,453396,1
40,OZ,1,453412,6
40,OZ,1,453416,1
40,OZ,1,454585,2
41,OZ,1,453308,8
41,OZ,1,453324,7
41,OZ,1,453356,5
41,OZ,1,453388,4
