voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,19,1,40,
453250,OF,1C,51,20,
453250,OF,1C,134,40,
453250,OF,29,37,20,
453250,OF,29,67,40,
453250,OF,2A,4,20,
453250,OF,2A,6,40,
453250,OF,2B,6,20,
453250,OF,2B,4,40,
453250,OF,2C,2,20,
453250,OF,2D,1,40,
453250,OF,38,6,20,
453250,OF,38,1,40,
453250,OF,39,1,20,
453250,OF,39,9,40,
453250,OF,3H,1,40,
453250,OF,49,20,20,
453250,OF,49,43,40,
453250,OF,4C,21,20,
453250,OF,4C,80,40,
453250,OF,5B,44,20,
453250,OF,5B,161,40,
453250,OF,5D,7,20,
453250,OF,5D,1,40,
453250,OF,6A,35,20,
453250,OF,6A,104,40,
453250,OF,6C,17,20,
453250,OF,6C,85,40,
453250,OF,6H,1,40,
453250,OF,E4,16,40,
453250,OF,E5,2,40,
453250,OF,E6,14,40,
453250,OF,E7,14,40,
453250,OF,E9,12,40,
453250,OF,EB,1,20,
453250,OF,EC,1,40,
453250,OF,ED,10,40,
453250,OF,EE,21,40,
453250,OZ,10,2,20,
453250,OZ,10,2,40,
453250,OZ,11,1,20,
453250,OZ,12,2,20,
453250,OZ,30,3,20,
453250,OZ,40,1,40,
453250,OZ,51,1,40,
453250,OZ,60,1,20,
453250,OZ,61,1,40,
453250,OZ,71,1,40,
453250,OZ,80,1,20,
453250,OZ,80,3,40,
453250,OZ,81,1,20,
453250,OZ,E1,1,40,
453250,OZ,E2,4,40,
453250,OZ,E4,1,20,
453250,OZ,E4,4,40,
453250,OZ,E5,1,20,
453250,OZ,E5,3,40,
453250,OZ,E9,2,20,
453250,OZ,E9,2,40,
453250,OZ,EA,2,20,
453250,OZ,EA,1,40,
453250,OZ,EB,2,40,
453250,OZ,EC,2,20,
453250,OZ,EC,6,40,
453250,T,13,5,20,
453250,T,13,2,40,
453250,T,14,2,20,
453250,T,14,1,40,
453250,T,15,1,40,
453250,T,17,1,20,
453250,T,22,1,20,
453250,T,22,34,40,
453250,T,23,6,20,
453250,T,24,7,20,
453250,T,24,3,40,
453250,T,26,1,20,
453250,T,27,1,40,
453250,T,32,1,20,
453250,T,32,3,40,
453250,T,33,1,20,
453250,T,33,4,40,
453250,T,42,4,40,
453250,T,43,4,40,
453250,T,44,2,20,
453250,T,44,1,40,
453250,T,45,3,20,
453250,T,45,14,40,
453250,T,46,2,20,
453250,T,47,1,20,
453250,T,47,6,40,
453250,T,52,12,40,
453250,T,53,6,20,
453250,T,53,8,40,
453250,T,54,1,20,
453250,T,54,4,40,
453250,T,55,3,20,
453250,T,55,9,40,
453250,T,57,2,20,
453250,T,57,6,40,
453250,T,62,25,40,
453250,T,63,9,20,
453250,T,63,5,40,
453250,T,64,7,20,
453250,T,64,5,40,
453250,T,65,2,20,
453250,T,65,15,40,
453250,T,66,3,20,
453250,T,66,6,40,
453250,T,67,32,20,
453250,T,67,112,40,
453250,T,72,3,40,
453250,T,73,6,40,
453250,T,74,11,20,
453250,T,74,8,40,
453250,T,75,3,40,
453250,T,76,3,20,
453250,T,76,6,40,
453250,T,77,26,20,
453250,T,77,147,40,
453250,T,82,6,40,
453250,T,83,2,20,
453250,T,83,3,40,
453250,T,84,3,40,
453250,T,85,8,40,
453250,T,86,3,20,
453250,T,86,3,40,
453250,T,87,2,20,
453250,T,87,36,40,
453250,T,93,9,20,
453250,T,E1,4,40,
453250,T,E2,1,20,
453250,T,E2,6,40,
453250,T,E3,1,40,
453250,T,E4,2,20,
453250,T,E4,13,40,
453250,T,E5,2,20,
453250,T,E5,11,40,
453250,T,E6,7,40,
453250,T,E7,6,40,
453250,T,E8,6,40,
453250,T,E9,2,20,
453250,T,E9,12,40,
453250,T,EA,3,20,
453250,T,EA,12,40,
453250,T,EB,8,40,
453250,T,EC,5,20,
453250,T,EC,28,40,
453250,T,ED,10,40,
453250,T,EE,11,40,
453308,OF,29,1,40,
453308,OF,2C,14,20,
453308,OF,2C,62,40,
453308,OF,3A,13,40,
453308,OF,3B,15,40,
453308,OF,3G,2,20,
453308,OF,3G,2,40,
453308,OF,3K,2,40,
453308,OF,49,3,20,
453308,OF,49,31,40,
453308,OF,59,95,20,
