phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,6226.873838,6226.873838,80.0,0
medium,3000,22600.898208,6226.873838,43.942422,1466
medium,6000,21987.499015,6226.873838,24.136705,2881
medium,9000,18830.369748,6226.873838,13.257816,3854
medium,12000,15692.983847,6226.873838,7.282257,4626
medium,15000,14008.617515,6226.873838,4.0,5219
medium,18000,12570.044042,6226.873838,2.197121,5709
medium,21000,11575.866196,6226.873838,1.206835,6106
medium,24000,10680.019963,6226.873838,0.662891,6434
medium,27000,10146.100987,6226.873838,0.364113,6660
medium,30000,9789.642141,6226.873838,0.2,6837
