voyage_id,flow,port,size_mode,predicted_boxes,ratio_target_boxes,doc_boxes,planned_boxes,planning_stage,planning_ratio
453250,OF,KRPUS,20,0,0,22,22,open_second_24h,0.2
453250,OF,USNYC,20,0,0,2,2,open_second_24h,0.2
453250,OF,USORF,20,0,0,2,2,open_second_24h,0.2
453250,OF,COCTG,40,0,0,3,3,open_second_24h,0.2
453250,OF,KRPUS,40,0,0,30,30,open_second_24h,0.2
453250,OF,USNW2,40,0,0,2,2,open_second_24h,0.2
453250,OF,USNWK,40,0,0,6,6,open_second_24h,0.2
453250,OF,USNYC,40,0,0,8,8,open_second_24h,0.2
453250,OF,USORF,40,0,0,3,3,open_second_24h,0.2
453308,OF,ESBCN,20,71,7,22,22,open_third_24h_or_later,0.1
453308,OF,ESVLC,20,91,9,30,30,open_third_24h_or_later,0.1
453308,OF,ITGOA,20,112,11,13,13,open_third_24h_or_later,0.1
453308,OF,ITSPE,20,122,12,1,1,open_third_24h_or_later,0.1
453308,OF,MAMED,20,33,3,2,2,open_third_24h_or_later,0.1
453308,OF,MYTPP,20,26,3,25,25,open_third_24h_or_later,0.1
453308,OF,ESBCD,40,11,1,0,1,open_third_24h_or_later,0.1
453308,OF,ESBCN,40,121,12,5,12,open_third_24h_or_later,0.1
453308,OF,ESVLC,40,285,29,5,29,open_third_24h_or_later,0.1
453308,OF,ESVLD,40,10,1,0,1,open_third_24h_or_later,0.1
453308,OF,ITC79,40,30,3,0,3,open_third_24h_or_later,0.1
453308,OF,ITGOA,40,152,15,6,15,open_third_24h_or_later,0.1
453308,OF,ITSPE,40,136,14,2,14,open_third_24h_or_later,0.1
453308,OF,MAMED,40,211,21,1,21,open_third_24h_or_later,0.1
453308,OF,MYTPP,40,63,6,8,6,open_third_24h_or_later,0.1
453308,OF,ESBCD,45,5,1,0,1,open_third_24h_or_later,0.1
453324,OF,USLAX,20,81,8,2,8,open_third_24h_or_later,0.1
453324,OF,USLSA,20,58,6,0,6,open_third_24h_or_later,0.1
453324,OF,USOAK,20,22,2,0,2,open_third_24h_or_later,0.1
453324,OF,USPS1,20,54,6,0,6,open_third_24h_or_later,0.1
453324,OF,USPS2,20,54,5,0,5,open_third_24h_or_later,0.1
453324,OF,USLAX,40,238,24,9,24,open_third_24h_or_later,0.1
453324,OF,USLSA,40,240,24,2,24,open_third_24h_or_later,0.1
453324,OF,USOAK,40,490,49,0,49,open_third_24h_or_later,0.1
453324,OF,USPS1,40,131,13,0,13,open_third_24h_or_later,0.1
453324,OF,USPS2,40,89,9,1,9,open_third_24h_or_later,0.1
453324,OF,USLAX,45,15,2,0,2,open_third_24h_or_later,0.1
453352,OF,JPTYO,20,10,2,0,2,open_second_24h,0.2
453352,OF,JPYOK,20,15,3,0,3,open_second_24h,0.2
453352,OF,JPTYO,40,52,10,0,10,open_second_24h,0.2
453352,OF,JPYOK,40,15,3,0,3,open_second_24h,0.2
453356,OF,MXLZC,20,50,5,0,5,open_third_24h_or_later,0.1
453356,OF,USCHS,20,88,9,3,9,open_third_24h_or_later,0.1
453356,OF,USNYC,20,34,3,0,3,open_third_24h_or_later,0.1
453356,OF,USSA3,20,17,2,0,2,open_third_24h_or_later,0.1
453356,OF,USSAV,20,90,9,4,9,open_third_24h_or_later,0.1
453356,OF,MXLZC,40,446,44,0,44,open_third_24h_or_later,0.1
453356,OF,USCHS,40,224,22,0,22,open_third_24h_or_later,0.1
453356,OF,USNWK,40,21,2,0,2,open_third_24h_or_later,0.1
