plan_level,voyage_id,flow,port,size,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,planned_boxes
medium,453250,OF,COCTG,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,3
medium,453250,OF,KRPUS,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,22
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,1C,5
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,29,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,49,2
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,4C,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,6
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6A,4
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,6C,3
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E4,1
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E6,1
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,E7,1
medium,453250,OF,KRPUS,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,EE,1
medium,453250,OF,USNW2,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,2
medium,453250,OF,USNWK,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,6
medium,453250,OF,USNYC,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,2
medium,453250,OF,USNYC,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,8
medium,453250,OF,USORF,20,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,2
medium,453250,OF,USORF,40,2026-05-17 20:55:00,2026-05-18 20:55:00,False,False,5B,3
medium,453308,OF,ESBCD,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,89,1
medium,453308,OF,ESBCD,45,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,89,1
medium,453308,OF,ESBCN,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,5C,22
medium,453308,OF,ESBCN,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,89,12
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,2C,1
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,59,6
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,5C,9
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,69,5
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,6A,1
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,89,3
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,AC,1
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,E2,1
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,E7,1
medium,453308,OF,ESVLC,20,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,E9,2
medium,453308,OF,ESVLC,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,2C,1
medium,453308,OF,ESVLC,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,49,1
medium,453308,OF,ESVLC,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,59,5
medium,453308,OF,ESVLC,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,5C,4
medium,453308,OF,ESVLC,40,2026-05-16 11:00:00,2026-05-17 11:00:00,False,False,6A,4
