plan_level,voyage_id,group_id,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,1C,03,1C-SB01,01|03|05|07|09|11,22,10
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,1C,05,1C-SB01,01|03|05|07|09|11,22,7
small,453250,453250_S001,OF,KRPUS,20,PQ,UNK,False,NORMAL,1C,07,1C-SB01,01|03|05|07|09|11,22,5
small,453250,453250_S002,OF,USNYC,20,PQ,UNK,False,NORMAL,5B,03,5B-SB01,01|03|05|07|09|11,2,2
small,453250,453250_S003,OF,USORF,20,PQ,UNK,False,NORMAL,5B,13,5B-SB02,13|15|17|19|25|27,2,2
small,453250,453250_S004,OF,COCTG,40,HQ,UNK,False,NORMAL,4C,01,4C-SB01,01|03|05|07|09|11,3,3
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,29,03,29-SB01,01|03|05|07|09|11,39,3
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,49,01,49-SB01,01|03|05|07|09|11,2,2
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,5B,29,5B-SB03,29|31|33|35|37|39,21,13
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,5B,31,5B-SB03,29|31|33|35|37|39,21,8
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,E4,11,E4-SB01,11|13|15|17|19|21,1,1
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,E6,87,E6-SB07,83|85|87|89|91|93,1,1
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,E7,11,E7-SB01,11|13|15|17|19|21,1,1
small,453250,453250_S005,OF,KRPUS,40,HQ,UNK,False,NORMAL,EE,71,EE-SB06,61|63|65|67|69|71,1,1
small,453250,453250_S006,OF,USNW2,40,HQ,UNK,False,NORMAL,5B,41,5B-SB04,41|43|45|47|49|51,2,2
small,453250,453250_S007,OF,USNWK,40,HQ,UNK,False,NORMAL,5B,53,,,0,5
small,453250,453250_S007,OF,USNWK,40,HQ,UNK,False,NORMAL,6A,01,6A-SB01,01|03|05|07|09|11,1,1
small,453250,453250_S008,OF,USNYC,40,HQ,UNK,False,NORMAL,1C,13,1C-SB02,13|15|17|19|21|25,2,2
small,453250,453250_S008,OF,USNYC,40,HQ,UNK,False,NORMAL,6A,17,6A-SB02,17|19|21|23|25|27,3,3
small,453250,453250_S008,OF,USNYC,40,HQ,UNK,False,NORMAL,6C,01,6C-SB01,01|03|05|07|09|11,3,3
small,453250,453250_S009,OF,USORF,40,HQ,UNK,False,NORMAL,1C,27,1C-SB03,27|29|31|33|35|37,3,3
small,453308,453308_S001,OF,ESBCN,20,PQ,UNK,False,NORMAL,5C,05,5C-SB01,01|03|05|07|09|11,22,22
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,13,5C-SB02,13|15|17|19|21|25,30,10
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,15,5C-SB02,13|15|17|19|21|25,30,10
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,17,5C-SB02,13|15|17|19|21|25,30,3
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,19,5C-SB02,13|15|17|19|21|25,30,3
small,453308,453308_S002,OF,ESVLC,20,PQ,UNK,False,NORMAL,5C,21,5C-SB02,13|15|17|19|21|25,30,4
small,453308,453308_S003,OF,ITGOA,20,PQ,UNK,False,NORMAL,5C,27,5C-SB03,27|29|31|33|35|37,13,9
small,453308,453308_S003,OF,ITGOA,20,PQ,UNK,False,NORMAL,5C,29,5C-SB03,27|29|31|33|35|37,13,4
small,453308,453308_S004,OF,ITSPE,20,PQ,UNK,False,NORMAL,E7,23,E7-SB02,23|25|27|29|31|33,1,1
small,453308,453308_S005,OF,MAMED,20,PQ,UNK,False,NORMAL,E9,15,E9-SB01,11|13|15|17|19|21,2,2
