plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,1C-SB01,1C,01|03|05|07|09|11,22,453250_S001|22
small_six_bay_block,1C-SB02,1C,13|15|17|19|21|25,2,453250_S008|2
small_six_bay_block,1C-SB03,1C,27|29|31|33|35|37,3,453250_S009|3
small_six_bay_block,28-SB01,28,01|03|05|07|13|15,2,453324_S001|2
small_six_bay_block,28-SB02,28,17|19|21|23|25|27,7,453324_S002|7
small_six_bay_block,28-SB03,28,33|35|37|39|45|47,13,454710_S002|13
small_six_bay_block,28-SB04,28,49|51|53|55|57|59,18,454710_S004|18
small_six_bay_block,29-SB01,29,01|03|05|07|09|11,39,453250_S005|3;453388_S006|8;453388_S015|4;453388_S017|16;453388_S021|8
small_six_bay_block,29-SB02,29,13|15|17|19|21|23,38,453356_S001|3;453388_S017|2;453388_S018|2;453388_S019|31
small_six_bay_block,29-SB03,29,25|27|29|31|33|35,44,453356_S002|4;453388_S019|37;453388_S020|3
small_six_bay_block,29-SB04,29,37|39|41|43|45|47,13,453388_S003|13
small_six_bay_block,29-SB05,29,49|51|53|55|57|59,46,453388_S004|46
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,47,453416_S002|47
small_six_bay_block,2B-SB01,2B,01|03|05|07|09|11,2,453324_S004|2
small_six_bay_block,2C-SB01,2C,01|03|05|07|09|11,1,453308_S006|1
small_six_bay_block,2D-SB01,2D,01|03|05|07|09|11,1,454549_S003|1
small_six_bay_block,2D-SB02,2D,13|15|17|21|23|29,3,454549_S004|3
small_six_bay_block,2D-SB03,2D,31|33|35|37|39|41,1,454549_S005|1
small_six_bay_block,3A-SB01,3A,05|07|09|11|13|15,2,454549_S001|2
small_six_bay_block,3A-SB02,3A,17|19|21|23|25|27,5,454549_S002|5
small_six_bay_block,49-SB01,49,01|03|05|07|09|11,2,453250_S005|2
small_six_bay_block,49-SB02,49,13|15|17|19|21|23,24,453412_S004|24
small_six_bay_block,49-SB03,49,25|27|29|31|33|35,25,453412_S011|22;453412_S012|3
small_six_bay_block,4A-SB01,4A,01|03|05|07|09|11,67,453388_S003|67
small_six_bay_block,4A-SB02,4A,13|15|17|19|21|23,14,453388_S010|14
small_six_bay_block,4A-SB03,4A,25|27|29|31|33|35,72,453388_S012|61;453388_S013|11
small_six_bay_block,4A-SB04,4A,37|39|41|43|45|47,79,453388_S015|76;453388_S016|3
small_six_bay_block,4A-SB05,4A,49|51|53|55|57|59,94,453416_S012|94
small_six_bay_block,4B-SB01,4B,01|03|05|07|09|11,5,453388_S003|5
small_six_bay_block,4B-SB02,4B,13|15|17|19|21|23,2,453388_S014|2
small_six_bay_block,4C-SB01,4C,01|03|05|07|09|11,3,453250_S004|3
small_six_bay_block,59-SB01,59,01|03|05|07|09|11,6,453308_S006|6
small_six_bay_block,5A-SB01,5A,01|03|05|07|09|11,117,453352_S001|8;453416_S005|109
small_six_bay_block,5A-SB02,5A,13|15|17|19|21|23,87,453352_S002|3;453416_S008|42;453416_S010|37;453416_S011|5
small_six_bay_block,5A-SB03,5A,25|27|29|31|33|35,26,453388_S001|20;453388_S009|6
small_six_bay_block,5A-SB04,5A,37|39|41|43|45|47,133,453388_S002|20;453388_S003|35;453388_S010|78
small_six_bay_block,5A-SB05,5A,49|51|53|55|57|59,51,453388_S008|51
