voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453250,OF,38,20,6,0.0,6.0
453250,OF,49,20,20,0.0,20.0
453308,OF,49,20,3,0.0,3.0
453308,OF,69,20,91,0.0,91.0
453324,OF,28,20,47,45.0,2.0
453352,OF,5A,20,18,0.0,18.0
453356,OF,19,20,44,0.0,44.0
453356,OF,28,20,45,0.0,45.0
453356,OF,29,20,45,4.0,41.0
453356,OF,38,20,44,0.0,44.0
453356,OF,39,20,28,0.0,28.0
453388,OF,29,20,74,0.0,74.0
453388,OF,4A,20,74,32.0,42.0
453388,OF,5A,20,75,0.0,75.0
453388,OF,89,20,74,0.0,74.0
453396,OF,19,20,8,0.0,8.0
453396,OF,29,20,10,2.0,8.0
453396,OF,59,20,7,5.0,2.0
453396,OF,89,20,2,1.0,1.0
453412,OF,49,20,20,0.0,20.0
453412,OF,7A,20,150,149.0,1.0
453416,OF,1A,20,58,20.0,38.0
453416,OF,2A,20,94,32.0,62.0
453416,OF,38,20,97,34.0,63.0
453416,OF,4A,20,1,0.0,1.0
453416,OF,69,20,98,0.0,98.0
454549,OF,49,20,7,1.0,6.0
454549,OF,69,20,3,1.0,2.0
454549,OZ,11,20,2,1.0,1.0
454585,OF,28,20,164,0.0,164.0
454585,OF,59,20,164,0.0,164.0
454585,OF,69,20,165,66.0,99.0
454710,OF,28,20,50,0.0,50.0
453273,IF,79,20,123,0.0,123.0
453273,IZ,68,20,208,0.0,208.0
453273,T,33,20,30,0.0,30.0
453273,T,52,20,279,0.0,279.0
453273,T,55,20,1,0.0,1.0
453307,IF,79,20,89,0.0,89.0
453307,IZ,68,20,2,0.0,2.0
453307,T,53,20,170,0.0,170.0
453307,T,64,20,1,0.0,1.0
454548,IF,7G,20,2,0.0,2.0
454548,T,13,20,279,0.0,279.0
454548,T,32,20,440,0.0,440.0
454548,T,42,20,331,0.0,331.0
454548,T,43,20,288,0.0,288.0
454548,T,83,20,408,0.0,408.0
453250,OF,38,40,1,0.0,1.0
453250,OF,39,40,9,0.0,9.0
453250,OF,49,40,43,1.0,42.0
453250,OZ,10,40,2,1.0,1.0
453250,T,22,40,34,1.0,33.0
453250,T,62,40,25,6.0,19.0
453308,OF,3A,40,13,12.0,1.0
453308,OF,49,40,31,2.0,29.0
453308,OF,69,40,4,1.0,3.0
453308,T,62,40,2,0.0,2.0
453324,OF,38,40,10,0.0,10.0
453324,OF,49,40,17,0.0,17.0
453324,T,72,40,8,5.0,3.0
453352,OF,5A,40,11,0.0,11.0
453352,T,22,40,4,1.0,3.0
453356,OF,19,40,76,6.0,70.0
453356,OF,2A,40,75,37.0,38.0
453356,OF,38,40,17,3.0,14.0
453356,OF,3A,40,50,2.0,48.0
453356,T,22,40,3,0.0,3.0
453388,OF,29,40,147,0.0,147.0
453388,OF,4A,40,146,85.0,61.0
453388,OF,5A,40,147,0.0,147.0
453388,OF,89,40,110,0.0,110.0
453388,T,62,40,10,4.0,6.0
453396,OF,8A,40,99,20.0,79.0
453396,T,62,40,5,1.0,4.0
453396,T,72,40,13,0.0,13.0
453412,OF,49,40,204,6.0,198.0
453412,T,62,40,8,7.0,1.0
453416,OF,1A,40,193,165.0,28.0
453416,OF,2A,40,193,59.0,134.0
453416,OF,38,40,193,189.0,4.0
453416,OF,4A,40,173,5.0,168.0
453416,OF,5A,40,193,0.0,193.0
453416,OF,69,40,83,0.0,83.0
453416,T,22,40,5,0.0,5.0
454549,OF,1A,40,4,0.0,4.0
454549,OZ,10,40,22,4.0,18.0
454549,OZ,11,40,60,2.0,58.0
454549,OZ,E2,40,22,4.0,18.0
454549,OZ,E9,40,7,6.0,1.0
454585,OF,28,40,7,0.0,7.0
454585,OF,59,40,73,1.0,72.0
454585,OF,69,40,195,146.0,49.0
454585,OF,6A,40,130,0.0,130.0
454585,OF,7A,40,78,7.0,71.0
454585,OF,8A,40,195,185.0,10.0
454585,OZ,10,40,6,4.0,2.0
454710,OF,8A,40,92,1.0,91.0
453273,IF,8H,40,243,0.0,243.0
453273,IF,E1,40,289,0.0,289.0
453273,IF,E3,40,611,0.0,611.0
453273,IF,E9,40,753,0.0,753.0
453273,IZ,68,40,143,0.0,143.0
453273,T,22,40,41,0.0,41.0
453273,T,33,40,209,0.0,209.0
453273,T,52,40,22,0.0,22.0
453273,T,55,40,219,0.0,219.0
453273,T,62,40,19,0.0,19.0
453273,T,63,40,11,0.0,11.0
453273,T,72,40,13,0.0,13.0
453273,T,73,40,15,0.0,15.0
453273,T,76,40,16,0.0,16.0
453273,T,85,40,301,0.0,301.0
453273,T,88,40,15,0.0,15.0
453307,IF,79,40,232,0.0,232.0
453307,IF,7B,40,253,0.0,253.0
453307,IF,7G,40,282,0.0,282.0
453307,IF,7H,40,252,0.0,252.0
453307,IF,8G,40,244,0.0,244.0
453307,IF,E2,40,198,0.0,198.0
453307,IF,E8,40,787,0.0,787.0
453307,IF,EA,40,316,0.0,316.0
453307,IZ,68,40,17,0.0,17.0
453307,T,22,40,41,0.0,41.0
453307,T,53,40,81,0.0,81.0
453307,T,62,40,19,0.0,19.0
453307,T,64,40,151,0.0,151.0
453307,T,72,40,13,0.0,13.0
453307,T,73,40,15,0.0,15.0
453307,T,75,40,210,0.0,210.0
454548,T,13,40,19,0.0,19.0
454548,T,15,40,197,0.0,197.0
454548,T,22,40,41,0.0,41.0
454548,T,24,40,192,0.0,192.0
454548,T,32,40,31,0.0,31.0
454548,T,42,40,28,0.0,28.0
454548,T,43,40,32,0.0,32.0
454548,T,44,40,139,0.0,139.0
454548,T,54,40,134,0.0,134.0
454548,T,62,40,19,0.0,19.0
454548,T,72,40,13,0.0,13.0
454548,T,73,40,15,0.0,15.0
454548,T,74,40,122,0.0,122.0
454548,T,83,40,43,0.0,43.0
