voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453250,OF,1C,20,51,51.0,0.0
453250,OF,29,20,51,37.0,14.0
453250,OF,2A,20,4,4.0,0.0
453250,OF,2B,20,6,6.0,0.0
453250,OF,2C,20,2,2.0,0.0
453250,OF,39,20,3,1.0,2.0
453250,OF,49,20,9,0.0,9.0
453250,OF,4C,20,21,21.0,0.0
453250,OF,5B,20,44,44.0,0.0
453250,OF,5D,20,7,7.0,0.0
453250,OF,6A,20,36,35.0,1.0
453250,OF,6C,20,17,17.0,0.0
453250,OF,EB,20,1,1.0,0.0
453250,OZ,10,20,2,2.0,0.0
453250,OZ,11,20,1,1.0,0.0
453250,OZ,12,20,2,2.0,0.0
453250,OZ,13,20,1,1.0,0.0
453250,OZ,22,20,2,2.0,0.0
453250,OZ,23,20,1,1.0,0.0
453250,OZ,29,20,3,3.0,0.0
453250,OZ,30,20,3,3.0,0.0
453250,OZ,32,20,1,1.0,0.0
453250,OZ,42,20,1,1.0,0.0
453250,OZ,47,20,2,2.0,0.0
453250,OZ,53,20,1,1.0,0.0
453250,OZ,60,20,1,1.0,0.0
453250,OZ,63,20,3,3.0,0.0
453250,OZ,66,20,1,1.0,0.0
453250,OZ,73,20,2,2.0,0.0
453250,OZ,77,20,3,3.0,0.0
453250,OZ,78,20,3,3.0,0.0
453250,OZ,80,20,1,1.0,0.0
453250,OZ,81,20,1,1.0,0.0
453250,OZ,86,20,2,2.0,0.0
453250,OZ,93,20,3,3.0,0.0
453250,OZ,E4,20,1,1.0,0.0
453250,OZ,E5,20,1,1.0,0.0
453250,OZ,E9,20,2,2.0,0.0
453250,OZ,EA,20,2,2.0,0.0
453250,OZ,EC,20,2,2.0,0.0
453250,T,10,20,3,3.0,0.0
453250,T,12,20,2,2.0,0.0
453250,T,13,20,5,5.0,0.0
453250,T,14,20,2,2.0,0.0
453250,T,17,20,1,1.0,0.0
453250,T,1C,20,2,2.0,0.0
453250,T,22,20,1,1.0,0.0
453250,T,23,20,6,6.0,0.0
453250,T,24,20,7,7.0,0.0
453250,T,26,20,1,1.0,0.0
453250,T,29,20,1,1.0,0.0
453250,T,30,20,2,2.0,0.0
453250,T,32,20,1,1.0,0.0
453250,T,33,20,1,1.0,0.0
453250,T,3G,20,1,1.0,0.0
453250,T,3H,20,5,5.0,0.0
453250,T,3J,20,3,3.0,0.0
453250,T,44,20,2,2.0,0.0
453250,T,45,20,3,3.0,0.0
453250,T,46,20,2,2.0,0.0
453250,T,47,20,1,1.0,0.0
453250,T,4J,20,1,1.0,0.0
453250,T,51,20,5,5.0,0.0
453250,T,53,20,6,6.0,0.0
453250,T,54,20,1,1.0,0.0
453250,T,55,20,3,3.0,0.0
453250,T,57,20,2,2.0,0.0
453250,T,58,20,1,1.0,0.0
453250,T,61,20,1,1.0,0.0
453250,T,63,20,9,9.0,0.0
453250,T,64,20,7,7.0,0.0
453250,T,65,20,2,2.0,0.0
453250,T,66,20,3,3.0,0.0
453250,T,67,20,32,32.0,0.0
453250,T,68,20,2,2.0,0.0
453250,T,6A,20,3,3.0,0.0
453250,T,6C,20,2,2.0,0.0
453250,T,70,20,1,1.0,0.0
453250,T,71,20,5,5.0,0.0
453250,T,74,20,11,11.0,0.0
453250,T,76,20,3,3.0,0.0
453250,T,77,20,26,26.0,0.0
453250,T,79,20,3,3.0,0.0
453250,T,80,20,2,2.0,0.0
453250,T,81,20,2,2.0,0.0
453250,T,83,20,2,2.0,0.0
453250,T,86,20,3,3.0,0.0
453250,T,87,20,2,2.0,0.0
453250,T,93,20,9,9.0,0.0
453250,T,AD,20,2,2.0,0.0
453250,T,E2,20,1,1.0,0.0
453250,T,E4,20,2,2.0,0.0
453250,T,E5,20,2,2.0,0.0
453250,T,E9,20,2,2.0,0.0
453250,T,EA,20,3,3.0,0.0
453250,T,EC,20,5,5.0,0.0
453308,OF,29,20,1,0.0,1.0
453308,OF,2C,20,14,14.0,0.0
453308,OF,3G,20,2,2.0,0.0
453308,OF,53,20,1,1.0,0.0
453308,OF,59,20,95,95.0,0.0
453308,OF,5C,20,163,163.0,0.0
453308,OF,6A,20,16,16.0,0.0
453308,OF,6D,20,2,2.0,0.0
453308,OF,6K,20,3,3.0,0.0
453308,OF,73,20,1,1.0,0.0
453308,OF,75,20,1,1.0,0.0
453308,OF,77,20,2,2.0,0.0
453308,OF,7C,20,2,2.0,0.0
453308,OF,7D,20,3,3.0,0.0
453308,OF,80,20,3,3.0,0.0
453308,OF,81,20,3,3.0,0.0
453308,OF,89,20,143,50.0,93.0
