voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453250,OF,29,20,51,37.0,14.0
453250,OF,39,20,3,1.0,2.0
453250,OF,49,20,9,0.0,9.0
453250,OF,6A,20,36,35.0,1.0
453308,OF,29,20,1,0.0,1.0
453308,OF,89,20,143,50.0,93.0
453324,OF,28,20,46,45.0,1.0
453324,OF,29,20,1,0.0,1.0
453352,OF,89,20,25,0.0,25.0
453352,OF,8A,20,25,0.0,25.0
453356,OF,19,20,1,0.0,1.0
453356,OF,28,20,64,0.0,64.0
453356,OF,29,20,65,4.0,61.0
453356,OF,38,20,48,0.0,48.0
453356,OF,39,20,27,0.0,27.0
453356,OF,3A,20,1,0.0,1.0
453388,OF,19,20,99,0.0,99.0
453388,OF,4A,20,99,32.0,67.0
453388,OF,69,20,99,0.0,99.0
453396,OF,89,20,20,1.0,19.0
453412,OF,49,20,21,0.0,21.0
453416,OF,38,20,99,34.0,65.0
453416,OF,59,20,99,0.0,99.0
453416,OF,5A,20,98,0.0,98.0
454549,OF,49,20,2,1.0,1.0
454549,OF,69,20,8,1.0,7.0
454549,OZ,11,20,2,1.0,1.0
454585,OF,59,20,27,0.0,27.0
454585,OF,5A,20,58,0.0,58.0
454710,OF,8A,20,26,0.0,26.0
454710,OF,8B,20,24,0.0,24.0
453273,IF,79,20,123,0.0,123.0
453273,IZ,68,20,208,0.0,208.0
453273,T,43,20,288,0.0,288.0
453273,T,44,20,19,0.0,19.0
453273,T,54,20,1,0.0,1.0
453273,T,65,20,1,0.0,1.0
453273,T,74,20,1,0.0,1.0
453307,IF,79,20,89,0.0,89.0
453307,IZ,68,20,2,0.0,2.0
453307,T,53,20,170,0.0,170.0
453307,T,64,20,1,0.0,1.0
454548,IF,7G,20,2,0.0,2.0
454548,T,13,20,279,0.0,279.0
454548,T,24,20,1,0.0,1.0
454548,T,32,20,440,0.0,440.0
454548,T,33,20,392,0.0,392.0
454548,T,42,20,331,0.0,331.0
454548,T,52,20,279,0.0,279.0
454548,T,83,20,24,0.0,24.0
453250,OF,29,40,162,67.0,95.0
453250,OF,2A,40,129,6.0,123.0
453250,OF,39,40,8,0.0,8.0
453250,OF,49,40,114,1.0,113.0
453250,OF,5B,40,162,161.0,1.0
453250,OF,6A,40,161,104.0,57.0
453250,OZ,10,40,2,1.0,1.0
453250,T,22,40,34,1.0,33.0
453250,T,62,40,25,6.0,19.0
453308,OF,29,40,11,1.0,10.0
453308,OF,6A,40,209,187.0,22.0
453308,OF,89,40,255,254.0,1.0
453308,T,62,40,2,0.0,2.0
453324,OF,29,40,6,3.0,3.0
453324,OF,38,40,24,0.0,24.0
453324,T,72,40,8,5.0,3.0
453352,OF,89,40,78,0.0,78.0
453352,OF,8A,40,78,0.0,78.0
453352,T,22,40,4,1.0,3.0
453356,OF,28,40,118,13.0,105.0
453356,OF,29,40,160,98.0,62.0
453356,OF,2A,40,38,37.0,1.0
453356,OF,38,40,4,3.0,1.0
453356,OF,39,40,2,1.0,1.0
453356,T,22,40,3,0.0,3.0
453388,OF,19,40,46,0.0,46.0
453388,OF,2B,40,103,0.0,103.0
453388,OF,4A,40,134,85.0,49.0
453388,OF,4B,40,135,2.0,133.0
453388,OF,69,40,134,0.0,134.0
453388,T,62,40,10,4.0,6.0
453396,OF,6A,40,50,0.0,50.0
453396,OF,8A,40,49,20.0,29.0
