plan_level,voyage_id,flow,port,size,area_no,bay_no,six_bay_block_id,six_bay_block_bays,planned_boxes,document_boxes,forecast_fallback_boxes
medium,453250,OF,CAVA3,40,38,33,38-SB02,29|31|33|35|37|39,2,0,2
medium,453250,OF,COCTG,40,29,33,29-SB03,25|27|29|31|33|35,4,0,4
medium,453250,OF,COCTG,40,5B,01,5B-SB01,01|03|05|07|09|11,10,0,10
medium,453250,OF,COCTG,40,5B,05,5B-SB01,01|03|05|07|09|11,3,3,0
medium,453250,OF,COCTG,40,6A,49,6A-SB04,41|43|45|47|49|51,10,0,10
medium,453250,OF,KRPUS,20,29,51,29-SB05,49|51|53|55|57|59,14,14,0
medium,453250,OF,KRPUS,20,49,07,49-SB01,05|07|09|11|13|15,5,5,0
medium,453250,OF,KRPUS,20,49,09,49-SB01,05|07|09|11|13|15,3,3,0
medium,453250,OF,KRPUS,40,29,53,29-SB05,49|51|53|55|57|59,14,0,14
medium,453250,OF,KRPUS,40,2A,01,2A-SB01,01|03|05|07|09|11,12,0,12
medium,453250,OF,KRPUS,40,2A,09,2A-SB01,01|03|05|07|09|11,26,0,26
medium,453250,OF,KRPUS,40,2A,13,2A-SB02,13|15|17|19|21|23,23,0,23
medium,453250,OF,KRPUS,40,2A,21,2A-SB02,13|15|17|19|21|23,18,0,18
medium,453250,OF,KRPUS,40,2A,25,2A-SB03,25|27|29|31|33|35,15,0,15
medium,453250,OF,KRPUS,40,2A,33,2A-SB03,25|27|29|31|33|35,8,0,8
medium,453250,OF,KRPUS,40,2A,53,2A-SB05,49|51|53|55|57|59,20,0,20
medium,453250,OF,KRPUS,40,2B,61,,,4,4,0
medium,453250,OF,KRPUS,40,49,17,49-SB02,17|19|21|23|25|27,25,0,25
medium,453250,OF,KRPUS,40,49,21,49-SB02,17|19|21|23|25|27,26,0,26
medium,453250,OF,KRPUS,40,49,29,49-SB03,29|31|33|35|37|39,25,0,25
medium,453250,OF,KRPUS,40,49,33,49-SB03,29|31|33|35|37|39,15,4,11
medium,453250,OF,KRPUS,40,49,37,49-SB03,29|31|33|35|37|39,26,0,26
medium,453250,OF,KRPUS,40,5B,09,5B-SB01,01|03|05|07|09|11,6,6,0
medium,453250,OF,KRPUS,40,5B,37,5B-SB03,37|39|41|43|45|47,8,8,0
medium,453250,OF,KRPUS,40,5B,41,5B-SB03,37|39|41|43|45|47,6,6,0
medium,453250,OF,KRPUS,40,69,09,69-SB01,01|03|05|07|09|11,2,2,0
medium,453250,OF,USNW2,40,6A,25,6A-SB02,17|19|21|23|25|27,2,2,0
medium,453250,OF,USNWK,40,38,21,,,3,3,0
medium,453250,OF,USNWK,40,5B,01,5B-SB01,01|03|05|07|09|11,13,0,13
medium,453250,OF,USNWK,40,6A,25,6A-SB02,17|19|21|23|25|27,1,0,1
medium,453250,OF,USNWK,40,E9,91,,,3,3,0
medium,453250,OF,USNYC,20,49,09,49-SB01,05|07|09|11|13|15,1,1,0
medium,453250,OF,USNYC,20,6A,05,6A-SB01,01|03|05|07|09|11,1,1,0
medium,453250,OF,USNYC,40,28,17,28-SB01,13|15|17|19|21|23,2,2,0
medium,453250,OF,USNYC,40,28,37,,,2,2,0
medium,453250,OF,USNYC,40,29,21,29-SB02,13|15|17|19|21|23,2,0,2
medium,453250,OF,USNYC,40,29,33,29-SB03,25|27|29|31|33|35,4,0,4
medium,453250,OF,USNYC,40,2A,33,2A-SB03,25|27|29|31|33|35,4,3,1
medium,453250,OF,USNYC,40,5B,37,5B-SB03,37|39|41|43|45|47,2,1,1
medium,453250,OF,USNYC,40,5B,49,5B-SB04,49|51|53|55|57|59,9,0,9
medium,453250,OF,USNYC,40,5B,53,5B-SB04,49|51|53|55|57|59,12,0,12
medium,453250,OF,USORF,20,5B,19,,,2,2,0
medium,453250,OF,USORF,40,29,33,29-SB03,25|27|29|31|33|35,4,0,4
medium,453250,OF,USORF,40,5B,01,5B-SB01,01|03|05|07|09|11,3,0,3
medium,453250,OF,USORF,40,5B,09,5B-SB01,01|03|05|07|09|11,3,0,3
medium,453250,OF,USORF,40,5B,49,5B-SB04,49|51|53|55|57|59,17,0,17
medium,453250,OF,USORF,40,E9,91,,,3,3,0
medium,453308,OF,ESBCN,20,1A,25,,,1,1,0
medium,453308,OF,ESBCN,20,1A,35,1A-SB03,31|33|35|37|39|41,1,1,0
medium,453308,OF,ESBCN,20,1A,55,,,10,10,0
medium,453308,OF,ESBCN,20,6A,11,6A-SB01,01|03|05|07|09|11,1,1,0
medium,453308,OF,ESBCN,20,89,23,89-SB01,13|15|17|19|21|23,8,8,0
medium,453308,OF,ESBCN,20,89,49,89-SB04,49|51|53|55|57|59,1,1,0
medium,453308,OF,ESBCN,40,EE,91,,,5,5,0
medium,453308,OF,ESVLC,20,29,31,29-SB03,25|27|29|31|33|35,4,4,0
medium,453308,OF,ESVLC,20,6A,11,6A-SB01,01|03|05|07|09|11,9,9,0
medium,453308,OF,ESVLC,20,6A,63,6A-SB05,53|55|57|59|61|63,16,16,0
medium,453308,OF,ESVLC,20,89,51,89-SB04,49|51|53|55|57|59,1,1,0
medium,453308,OF,ESVLC,40,6A,33,6A-SB03,29|31|33|35|37|39,1,1,0
medium,453308,OF,ESVLC,40,EE,91,,,4,4,0
medium,453308,OF,ITGOA,20,1A,55,,,7,7,0
medium,453308,OF,ITGOA,20,89,49,89-SB04,49|51|53|55|57|59,6,6,0
medium,453308,OF,ITGOA,40,6A,33,6A-SB03,29|31|33|35|37|39,1,1,0
medium,453308,OF,ITGOA,40,6A,69,,,3,3,0
medium,453308,OF,ITGOA,40,EE,19,EE-SB02,19|21|23|25|27|29,2,2,0
medium,453308,OF,ITSPE,20,89,17,89-SB01,13|15|17|19|21|23,1,1,0
medium,453308,OF,ITSPE,40,EE,19,EE-SB02,19|21|23|25|27|29,1,1,0
medium,453308,OF,ITSPE,40,EE,91,,,1,1,0
medium,453308,OF,MAMED,20,1A,55,,,3,2,1
medium,453308,OF,MAMED,40,89,33,89-SB02,25|27|29|31|33|35,2,1,1
medium,453308,OF,MAMED,40,89,53,89-SB04,49|51|53|55|57|59,2,0,2
medium,453308,OF,MAMED,40,EE,91,,,2,0,2
medium,453308,OF,MAMED,40,EE,95,,,1,0,1
medium,453308,OF,MYTPP,20,1A,53,1A-SB04,43|45|47|49|51|53,2,2,0
medium,453308,OF,MYTPP,20,1A,55,,,5,5,0
medium,453308,OF,MYTPP,20,29,31,29-SB03,25|27|29|31|33|35,5,5,0
medium,453308,OF,MYTPP,20,6A,11,6A-SB01,01|03|05|07|09|11,2,2,0
medium,453308,OF,MYTPP,20,6A,63,6A-SB05,53|55|57|59|61|63,5,5,0
medium,453308,OF,MYTPP,20,7A,53,,,3,3,0
medium,453308,OF,MYTPP,20,89,23,89-SB01,13|15|17|19|21|23,3,3,0
medium,453308,OF,MYTPP,40,EE,91,,,8,8,0
medium,453324,OF,USLAX,20,28,45,28-SB02,45|47|49|51|53|55,1,1,0
medium,453324,OF,USLAX,20,29,31,29-SB03,25|27|29|31|33|35,1,1,0
medium,453324,OF,USLAX,40,28,01,,,5,5,0
medium,453324,OF,USLAX,40,38,37,38-SB02,29|31|33|35|37|39,2,2,0
medium,453324,OF,USLAX,40,4J,01,4J-SB01,01|03|05|07|09|11,2,2,0
medium,453324,OF,USLSA,40,28,33,,,2,2,0
medium,453324,OF,USOAK,40,28,01,,,2,0,2
medium,453324,OF,USOAK,40,38,37,38-SB02,29|31|33|35|37|39,8,0,8
medium,453324,OF,USOAK,40,4J,01,4J-SB01,01|03|05|07|09|11,4,0,4
medium,453324,OF,USOAK,40,4J,61,,,1,0,1
medium,453324,OF,USPS2,40,4J,01,4J-SB01,01|03|05|07|09|11,1,1,0
medium,453352,OF,JPNGO,20,5A,69,5A-SB06,61|63|65|67|69|71,1,0,1
medium,453352,OF,JPNGO,20,8A,05,8A-SB01,01|03|05|07|09|11,16,0,16
medium,453352,OF,JPNGO,40,89,33,89-SB02,25|27|29|31|33|35,3,0,3
medium,453352,OF,JPNGO,40,E9,15,E9-SB01,C9|D9|11|13|15|17,4,0,4
medium,453352,OF,JPNGO,40,E9,51,E9-SB04,43|45|47|49|51|53,9,7,2
medium,453352,OF,JPNGO,40,E9,63,E9-SB05,55|57|59|61|63|65,1,1,0
medium,453352,OF,JPNGO,40,E9,67,E9-SB06,67|69|71|73|75|77,3,0,3
medium,453352,OF,JPNGO,40,E9,95,,,12,0,12
medium,453352,OF,JPUKB,20,5A,69,5A-SB06,61|63|65|67|69|71,1,0,1
medium,453352,OF,JPUKB,20,89,51,89-SB04,49|51|53|55|57|59,25,0,25
medium,453352,OF,JPUKB,20,8A,05,8A-SB01,01|03|05|07|09|11,5,0,5
medium,453352,OF,JPUKB,40,2C,13,2C-SB02,13|15|17|19|21|23,9,0,9
medium,453352,OF,JPUKB,40,2C,25,2C-SB03,25|27|29|31|33|35,10,0,10
medium,453352,OF,JPUKB,40,2C,41,2C-SB04,37|39|41|43|45|47,3,3,0
medium,453352,OF,JPUKB,40,2C,49,2C-SB05,49|51|53|55|57|59,5,0,5
medium,453352,OF,JPUKB,40,2C,53,2C-SB05,49|51|53|55|57|59,13,0,13
medium,453352,OF,JPUKB,40,2C,57,2C-SB05,49|51|53|55|57|59,13,0,13
medium,453352,OF,JPUKB,40,2C,61,,,10,0,10
medium,453352,OF,JPUKB,40,6B,13,6B-SB02,13|15|17|19|21|23,1,0,1
medium,453352,OF,JPUKB,40,6B,33,6B-SB03,25|27|29|31|33|35,5,0,5
