voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,29,14,20,
453250,OF,29,95,40,
453250,OF,2A,123,40,
453250,OF,39,2,20,
453250,OF,39,8,40,
453250,OF,49,9,20,
453250,OF,49,113,40,
453250,OF,5B,1,40,
453250,OF,6A,1,20,
453250,OF,6A,57,40,
453308,OF,29,1,20,
453308,OF,29,10,40,
453308,OF,6A,22,40,
453308,OF,89,93,20,
453308,OF,89,1,40,
453324,OF,28,1,20,
453324,OF,29,1,20,
453324,OF,29,3,40,
453324,OF,38,24,40,
453352,OF,89,25,20,
453352,OF,89,78,40,
453352,OF,8A,25,20,
453352,OF,8A,78,40,
453356,OF,19,1,20,
453356,OF,28,64,20,
453356,OF,28,105,40,
453356,OF,29,61,20,
453356,OF,29,62,40,
453356,OF,2A,1,40,
453356,OF,38,48,20,
453356,OF,38,1,40,
453356,OF,39,27,20,
453356,OF,39,1,40,
453356,OF,3A,1,20,
453388,OF,19,99,20,
453388,OF,19,46,40,
453388,OF,2B,103,40,
453388,OF,4A,67,20,
453388,OF,4A,49,40,
453388,OF,4B,133,40,
453388,OF,69,99,20,
453388,OF,69,134,40,
453396,OF,6A,50,40,
453396,OF,89,19,20,
453396,OF,8A,29,40,
453412,OF,49,21,20,
453412,OF,49,133,40,
453412,OF,6B,65,40,
453416,OF,1A,23,40,
453416,OF,2A,134,40,
453416,OF,2B,1,40,
453416,OF,38,65,20,
453416,OF,38,4,40,
453416,OF,4A,168,40,
453416,OF,59,99,20,
453416,OF,59,87,40,
453416,OF,5A,98,20,
453416,OF,5A,193,40,
454549,OF,1A,76,40,
454549,OF,3A,50,40,
454549,OF,49,1,20,
454549,OF,49,49,40,
454549,OF,69,7,20,
454549,OF,69,52,40,
454585,OF,59,27,20,
454585,OF,59,5,40,
454585,OF,5A,58,20,
454585,OF,5A,188,40,
454585,OF,69,41,40,
454585,OF,7A,70,40,
454585,OF,8A,3,40,
454585,OF,8B,32,40,
454710,OF,8A,26,20,
454710,OF,8A,45,40,
454710,OF,8B,24,20,
454710,OF,8B,46,40,
