voyage_id,flow,port,size_mode,predicted_boxes,ratio_target_boxes,doc_boxes,yard_boxes,planned_boxes,planning_stage,planning_ratio
453250,OF,COCTG,20,20,18,0,17,1,open_second_24h,0.9
453250,OF,KRPUS,20,227,204,22,180,19,open_second_24h,0.9
453250,OF,USNW2,20,5,5,0,4,1,open_second_24h,0.9
453250,OF,USNYC,20,18,16,2,15,1,open_second_24h,0.9
453250,OF,USORF,20,16,14,2,9,4,open_second_24h,0.9
453250,OF,CAVA3,40,4,4,0,0,2,open_second_24h,0.9
453250,OF,CAVAN,40,2,2,0,0,1,open_second_24h,0.9
453250,OF,COCTG,40,153,138,3,63,27,open_second_24h,0.9
453250,OF,KRPUS,40,1324,1191,30,400,279,open_second_24h,0.9
453250,OF,USNW2,40,12,11,2,7,1,open_second_24h,0.9
453250,OF,USNWK,40,138,124,6,67,20,open_second_24h,0.9
453250,OF,USNYC,40,246,221,8,115,37,open_second_24h,0.9
453250,OF,USORF,40,201,181,3,95,30,open_second_24h,0.9
453308,OF,ESBCN,20,119,119,22,84,22,open_third_24h_or_later,1.0
453308,OF,ESVLC,20,112,112,30,94,11,open_third_24h_or_later,1.0
453308,OF,ESVLD,20,1,1,0,0,1,open_third_24h_or_later,1.0
453308,OF,ITC79,20,8,8,0,2,4,open_third_24h_or_later,1.0
453308,OF,ITGOA,20,124,124,13,91,20,open_third_24h_or_later,1.0
453308,OF,MAMED,20,75,75,2,17,36,open_third_24h_or_later,1.0
453308,OF,ESBCD,40,17,17,0,12,1,open_third_24h_or_later,1.0
453308,OF,ESBCN,40,279,279,5,231,10,open_third_24h_or_later,1.0
453308,OF,ITC79,40,8,8,0,2,1,open_third_24h_or_later,1.0
453308,OF,ITSPE,40,248,248,2,237,3,open_third_24h_or_later,1.0
453308,OF,MAMED,40,171,171,1,83,18,open_third_24h_or_later,1.0
453324,OF,USOAK,20,19,19,0,9,1,open_third_24h_or_later,1.0
453324,OF,USPS2,20,59,59,0,45,1,open_third_24h_or_later,1.0
453324,OF,USLAX,40,285,285,9,244,3,open_third_24h_or_later,1.0
453324,OF,USOAK,40,480,480,0,187,20,open_third_24h_or_later,1.0
453324,OF,USPS1,40,109,109,0,73,2,open_third_24h_or_later,1.0
453324,OF,USPS2,40,166,166,1,140,2,open_third_24h_or_later,1.0
453352,OF,JPNGO,20,19,17,0,0,17,open_second_24h,0.9
453352,OF,JPUKB,20,38,34,0,3,31,open_second_24h,0.9
453352,OF,JPNGO,40,78,70,8,22,32,open_second_24h,0.9
453352,OF,JPUKB,40,209,188,3,3,124,open_second_24h,0.9
453356,OF,MXLZC,20,50,50,0,8,33,open_third_24h_or_later,1.0
453356,OF,USCHS,20,88,88,3,7,63,open_third_24h_or_later,1.0
453356,OF,USNYC,20,34,34,0,1,26,open_third_24h_or_later,1.0
453356,OF,USSA3,20,17,17,0,1,13,open_third_24h_or_later,1.0
453356,OF,USSAV,20,90,90,4,4,67,open_third_24h_or_later,1.0
453356,OF,MXLZC,40,446,446,0,100,79,open_third_24h_or_later,1.0
453356,OF,USCHS,40,224,224,0,109,26,open_third_24h_or_later,1.0
453356,OF,USNYC,40,95,95,3,43,12,open_third_24h_or_later,1.0
453356,OF,USSA3,40,55,55,1,25,7,open_third_24h_or_later,1.0
453356,OF,USSAV,40,332,332,0,156,40,open_third_24h_or_later,1.0
453356,OF,MXLZC,45,5,5,0,1,1,open_third_24h_or_later,1.0
453356,OF,USCHS,45,3,3,0,0,1,open_third_24h_or_later,1.0
453356,OF,USNW2,45,2,2,0,0,1,open_third_24h_or_later,1.0
453356,OF,USSAV,45,14,14,0,2,3,open_third_24h_or_later,1.0
453388,OF,CAVA2,20,28,20,20,1,19,before_open_within_24h,0.7
453388,OF,CAVA3,20,127,89,140,29,60,before_open_within_24h,0.7
453388,OF,CAVAN,20,43,30,46,7,23,before_open_within_24h,0.7
453388,OF,KRPUS,20,126,88,1,2,86,before_open_within_24h,0.7
453388,OF,USTIW,20,35,24,9,2,22,before_open_within_24h,0.7
453388,OF,USTW2,20,65,46,16,28,18,before_open_within_24h,0.7
453388,OF,CAVA2,40,70,49,57,14,31,before_open_within_24h,0.7
453388,OF,CAVA3,40,221,155,124,37,104,before_open_within_24h,0.7
453388,OF,CAVAN,40,81,57,72,15,37,before_open_within_24h,0.7
453388,OF,KRPUS,40,240,168,2,0,148,before_open_within_24h,0.7
453388,OF,USTIW,40,171,120,83,11,96,before_open_within_24h,0.7
453388,OF,USTW1,40,6,4,20,0,3,before_open_within_24h,0.7
453388,OF,USTW2,40,99,69,71,26,38,before_open_within_24h,0.7
453388,OF,CAVAN,45,1,1,9,0,8,before_open_within_24h,0.7
453396,OF,ESALG,20,85,85,0,0,3,open_third_24h_or_later,1.0
453396,OF,GBLGP,20,314,314,0,0,11,open_third_24h_or_later,1.0
453396,OF,MAMED,20,45,45,0,0,2,open_third_24h_or_later,1.0
453396,OF,NLRTM,20,85,85,0,0,3,open_third_24h_or_later,1.0
453396,OF,ESAL1,40,17,17,0,0,1,open_third_24h_or_later,1.0
453396,OF,ESALG,40,268,268,0,0,14,open_third_24h_or_later,1.0
453396,OF,GBLGP,40,929,929,0,0,49,open_third_24h_or_later,1.0
453396,OF,GBLP1,40,10,10,0,0,1,open_third_24h_or_later,1.0
453396,OF,MAMED,40,72,72,0,0,4,open_third_24h_or_later,1.0
453396,OF,NLRTM,40,206,206,1,23,10,open_third_24h_or_later,1.0
453412,OF,DEBRV,20,127,114,0,0,5,open_second_24h,0.9
453412,OF,DEWVN,20,246,221,0,0,10,open_second_24h,0.9
453412,OF,MAPTM,20,76,69,0,1,3,open_second_24h,0.9
453412,OF,MATAN,20,32,29,0,0,1,open_second_24h,0.9
453412,OF,MATAT,20,47,42,0,0,2,open_second_24h,0.9
453412,OF,DEBR1,40,14,12,0,0,1,open_second_24h,0.9
453412,OF,DEBRV,40,810,729,0,0,70,open_second_24h,0.9
453412,OF,DEWVN,40,959,863,0,0,82,open_second_24h,0.9
453412,OF,MAPTM,40,213,192,0,0,18,open_second_24h,0.9
453412,OF,MATAN,40,153,138,0,0,13,open_second_24h,0.9
453412,OF,MATAT,40,107,96,0,0,9,open_second_24h,0.9
453412,OF,MYTPP,40,412,371,32,329,4,open_second_24h,0.9
453412,OF,DEBRV,45,6,5,0,0,1,open_second_24h,0.9
453416,OF,EGPSD,20,323,226,22,118,108,open_first_24h,0.7
453416,OF,MYTPP,20,193,135,8,68,67,open_first_24h,0.7
453416,OF,EGPSD,40,810,567,151,389,178,open_first_24h,0.7
453416,OF,MYTPP,40,688,482,76,237,245,open_first_24h,0.7
453416,OF,SIKOP,40,591,414,113,355,59,open_first_24h,0.7
453416,OF,EGPSD,45,9,6,0,2,4,open_first_24h,0.7
453416,OF,MYTPP,45,3,2,0,0,2,open_first_24h,0.7
454549,OF,SGSIN,20,26,26,5,21,5,open_third_24h_or_later,1.0
454549,OF,TRALI,20,7,7,1,6,1,open_third_24h_or_later,1.0
454549,OF,HRRJK,40,42,42,0,22,7,open_third_24h_or_later,1.0
454549,OF,ILHFA,40,585,585,3,377,71,open_third_24h_or_later,1.0
454549,OF,ITTRS,40,376,376,0,191,64,open_third_24h_or_later,1.0
454549,OF,SGSIN,40,362,362,0,152,72,open_third_24h_or_later,1.0
454549,OF,SIKOP,40,142,142,0,137,2,open_third_24h_or_later,1.0
454549,OF,TRALI,40,15,15,1,8,2,open_third_24h_or_later,1.0
454549,OF,TRISK,40,46,46,0,19,9,open_third_24h_or_later,1.0
