plan_level,voyage_id,flow,port,size,area_no,planned_boxes,bay_key,bay_no
external_medium,453250,OF,KRPUS,40,29,5,29-21,21
external_medium,453250,OF,USNYC,40,29,17,29-25,25
external_medium,453250,OF,KRPUS,20,29,10,29-31,31
external_medium,453250,OF,COCTG,40,29,4,29-33,33
external_medium,453250,OF,USNYC,40,29,4,29-33,33
external_medium,453250,OF,USORF,40,29,4,29-33,33
external_medium,453250,OF,USORF,20,29,2,29-49,49
external_medium,453250,OF,KRPUS,40,29,15,29-53,53
external_medium,453250,OF,KRPUS,40,2A,20,2A-09,09
external_medium,453250,OF,KRPUS,40,2A,23,2A-13,13
external_medium,453250,OF,KRPUS,40,2A,18,2A-21,21
external_medium,453250,OF,KRPUS,40,2A,15,2A-25,25
external_medium,453250,OF,USNYC,20,2A,1,2A-31,31
external_medium,453250,OF,KRPUS,40,2A,8,2A-33,33
external_medium,453250,OF,USORF,40,2A,4,2A-33,33
external_medium,453250,OF,KRPUS,40,2A,15,2A-37,37
external_medium,453250,OF,KRPUS,40,2A,20,2A-53,53
external_medium,453250,OF,USNYC,40,49,5,49-05,05
external_medium,453250,OF,KRPUS,40,49,25,49-17,17
external_medium,453250,OF,KRPUS,40,49,26,49-21,21
external_medium,453250,OF,KRPUS,20,49,10,49-25,25
external_medium,453250,OF,KRPUS,20,49,2,49-27,27
external_medium,453250,OF,KRPUS,40,49,10,49-33,33
external_medium,453250,OF,KRPUS,40,49,26,49-37,37
external_medium,453250,OF,KRPUS,40,49,26,49-45,45
external_medium,453250,OF,COCTG,40,5B,10,5B-01,01
external_medium,453250,OF,KRPUS,40,5B,12,5B-01,01
external_medium,453250,OF,USNYC,40,5B,4,5B-01,01
external_medium,453250,OF,COCTG,40,5B,3,5B-05,05
external_medium,453250,OF,CAVA3,40,5B,2,5B-09,09
external_medium,453250,OF,KRPUS,40,5B,6,5B-09,09
external_medium,453250,OF,KRPUS,40,5B,3,5B-37,37
external_medium,453250,OF,USNYC,40,5B,7,5B-37,37
external_medium,453250,OF,KRPUS,40,5B,6,5B-41,41
external_medium,453250,OF,USNWK,40,5B,19,5B-49,49
external_medium,453250,OF,USORF,40,5B,7,5B-49,49
external_medium,453250,OF,USORF,40,5B,12,5B-53,53
external_medium,453250,OF,USNYC,20,6A,1,6A-05,05
external_medium,453250,OF,USNW2,40,6A,2,6A-25,25
external_medium,453250,OF,USNWK,40,6A,1,6A-25,25
external_medium,453250,OF,COCTG,40,6A,10,6A-49,49
external_medium,453250,OF,USORF,40,E9,3,E9-91,91
external_medium,453308,OF,ESBCN,20,1A,1,1A-35,35
external_medium,453308,OF,ESBCN,20,1A,2,1A-53,53
external_medium,453308,OF,ITGOA,20,1A,3,1A-53,53
external_medium,453308,OF,MAMED,20,1A,1,1A-53,53
external_medium,453308,OF,ESBCN,20,1A,5,1A-55,55
external_medium,453308,OF,ESVLC,20,29,4,29-31,31
external_medium,453308,OF,ESBCN,20,6A,2,6A-11,11
external_medium,453308,OF,ITGOA,20,6A,4,6A-11,11
external_medium,453308,OF,MAMED,20,6A,2,6A-11,11
external_medium,453308,OF,MYTPP,20,6A,2,6A-11,11
external_medium,453308,OF,ESVLC,40,6A,1,6A-33,33
external_medium,453308,OF,ITGOA,40,6A,2,6A-33,33
external_medium,453308,OF,MYTPP,20,6A,23,6A-63,63
external_medium,453308,OF,ITGOA,40,6A,2,6A-69,69
external_medium,453308,OF,ITSPE,20,89,1,89-17,17
external_medium,453308,OF,ESBCN,20,89,11,89-23,23
external_medium,453308,OF,MAMED,40,89,2,89-33,33
external_medium,453308,OF,ESBCN,20,89,1,89-49,49
external_medium,453308,OF,ITGOA,20,89,6,89-49,49
external_medium,453308,OF,ESVLC,20,89,26,89-51,51
external_medium,453308,OF,MAMED,40,89,2,89-53,53
external_medium,453308,OF,ESBCN,40,AB,1,AB-09,09
external_medium,453308,OF,ESBCN,40,AB,4,AB-57,57
external_medium,453308,OF,ITGOA,40,ED,2,ED-11,11
external_medium,453308,OF,ITSPE,40,ED,1,ED-11,11
external_medium,453308,OF,ESVLC,40,ED,2,ED-23,23
external_medium,453308,OF,ESVLC,40,ED,2,ED-91,91
external_medium,453308,OF,ITSPE,40,ED,1,ED-91,91
external_medium,453308,OF,MAMED,40,ED,2,ED-91,91
external_medium,453308,OF,MAMED,40,ED,1,ED-95,95
external_medium,453308,OF,MYTPP,40,EE,8,EE-91,91
external_medium,453324,OF,USLAX,40,28,3,28-01,01
external_medium,453324,OF,USOAK,40,28,1,28-01,01
external_medium,453324,OF,USLSA,40,28,2,28-33,33
external_medium,453324,OF,USLAX,20,28,1,28-45,45
external_medium,453324,OF,USLAX,20,29,1,29-31,31
external_medium,453324,OF,USOAK,40,38,2,38-17,17
external_medium,453324,OF,USLAX,40,38,4,38-37,37
external_medium,453324,OF,USOAK,40,38,8,38-37,37
external_medium,453324,OF,USLAX,40,4J,2,4J-05,05
external_medium,453324,OF,USOAK,40,4J,4,4J-05,05
external_medium,453324,OF,USPS2,40,4J,1,4J-05,05
external_medium,453352,OF,JPNGO,20,1A,14,1A-35,35
external_medium,453352,OF,JPUKB,20,1A,3,1A-55,55
external_medium,453352,OF,JPUKB,40,4B,26,4B-17,17
external_medium,453352,OF,JPUKB,40,4B,15,4B-21,21
external_medium,453352,OF,JPUKB,40,4B,23,4B-45,45
external_medium,453352,OF,JPUKB,40,4B,24,4B-49,49
external_medium,453352,OF,JPUKB,40,4B,25,4B-57,57
external_medium,453352,OF,JPNGO,40,4J,5,4J-01,01
external_medium,453352,OF,JPNGO,40,4J,13,4J-61,61
external_medium,453352,OF,JPNGO,20,6B,1,6B-23,23
external_medium,453352,OF,JPUKB,20,6B,1,6B-23,23
external_medium,453352,OF,JPNGO,40,89,3,89-33,33
external_medium,453352,OF,JPUKB,40,89,3,89-33,33
external_medium,453352,OF,JPNGO,40,89,3,89-37,37
external_medium,453352,OF,JPNGO,40,89,4,89-45,45
external_medium,453352,OF,JPNGO,40,89,4,89-65,65
external_medium,453352,OF,JPUKB,20,8A,25,8A-05,05
external_medium,453352,OF,JPUKB,40,8A,3,8A-37,37
external_medium,453352,OF,JPNGO,20,8A,2,8A-59,59
external_medium,453352,OF,JPUKB,20,8A,2,8A-59,59
external_medium,453352,OF,JPUKB,40,8A,5,8A-65,65
external_medium,453356,OF,MXLZC,20,19,1,19-05,05
external_medium,453356,OF,MXLZC,40,1C,6,1C-53,53
external_medium,453356,OF,MXLZC,20,28,1,28-21,21
external_medium,453356,OF,USCHS,20,28,3,28-21,21
external_medium,453356,OF,USSAV,20,28,5,28-21,21
external_medium,453356,OF,MXLZC,20,28,26,28-23,23
external_medium,453356,OF,USNYC,40,28,8,28-37,37
external_medium,453356,OF,USSAV,20,28,10,28-45,45
external_medium,453356,OF,USSAV,20,28,26,28-47,47
external_medium,453356,OF,USSAV,20,28,26,28-51,51
external_medium,453356,OF,USCHS,40,28,1,28-53,53
external_medium,453356,OF,USSAV,40,28,1,28-53,53
external_medium,453356,OF,MXLZC,40,28,25,28-61,61
external_medium,453356,OF,MXLZC,40,29,2,29-21,21
external_medium,453356,OF,USCHS,20,29,26,29-29,29
external_medium,453356,OF,MXLZC,20,29,4,29-31,31
external_medium,453356,OF,USCHS,20,29,5,29-31,31
external_medium,453356,OF,MXLZC,40,29,4,29-33,33
external_medium,453356,OF,USSAV,40,29,1,29-33,33
external_medium,453356,OF,USCHS,20,29,26,29-51,51
external_medium,453356,OF,MXLZC,40,29,3,29-53,53
external_medium,453356,OF,USSA3,20,2A,13,2A-05,05
external_medium,453356,OF,USNYC,20,2A,20,2A-31,31
external_medium,453356,OF,USCHS,45,38,1,38-05,05
external_medium,453356,OF,USNW2,45,38,1,38-05,05
external_medium,453356,OF,USSAV,45,38,1,38-05,05
external_medium,453356,OF,USCHS,20,39,3,39-09,09
external_medium,453356,OF,USNYC,20,39,3,39-09,09
