column_id,group_id,demand_source,voyage_id,flow,port,size,height,area_no,bay_no,six_bay_block_id,quantity,stack_units,intrinsic_cost
C0000001,453388_S070,document,453388,OF,CAVAN,45,HQ,4A,61,,1,1,7.0
C0000002,453388_S070,document,453388,OF,CAVAN,45,HQ,4A,61,,3,1,7.0
C0000003,453388_S070,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,1,1,1.0
C0000004,453388_S070,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,3,1,1.0
C0000005,453388_S070,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,6,2,1.0
C0000006,453388_S071,document,453388,OF,CAVAN,45,HQ,4A,61,,1,1,7.0
C0000007,453388_S071,document,453388,OF,CAVAN,45,HQ,4A,61,,2,1,7.0
C0000008,453388_S071,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,1,1,1.0
C0000009,453388_S071,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,2,1,1.0
C0000010,453388_S072,document,453388,OF,CAVAN,45,HQ,4A,61,,1,1,7.0
C0000011,453388_S072,document,453388,OF,CAVAN,45,HQ,69,01,69-SB01,1,1,1.0
C0000012,453388_S009,document,453388,OF,CAVA3,20,PQ,4A,55,4A-SB05,1,1,0.0
C0000013,453388_S009,document,453388,OF,CAVA3,20,PQ,4A,55,4A-SB05,3,3,0.0
C0000014,453388_S009,document,453388,OF,CAVA3,20,PQ,19,15,19-SB01,1,1,1.0
C0000015,453388_S009,document,453388,OF,CAVA3,20,PQ,19,15,19-SB01,12,3,1.0
C0000016,453388_S009,document,453388,OF,CAVA3,20,PQ,19,15,19-SB01,13,3,1.0
C0000017,453388_S009,document,453388,OF,CAVA3,20,PQ,19,15,19-SB01,26,6,1.0
C0000018,453416_S009,document,453416,OF,HRRJK,20,PQ,59,55,59-SB05,1,1,1.0
C0000019,453416_S009,document,453416,OF,HRRJK,20,PQ,59,55,59-SB05,10,2,1.0
C0000020,453416_S009,document,453416,OF,HRRJK,20,PQ,59,55,59-SB05,13,3,1.0
C0000021,453416_S009,document,453416,OF,HRRJK,20,PQ,59,55,59-SB05,26,6,1.0
C0000022,453416_S009,document,453416,OF,HRRJK,20,PQ,5A,05,5A-SB01,1,1,1.0
C0000023,453416_S009,document,453416,OF,HRRJK,20,PQ,5A,05,5A-SB01,10,2,1.0
C0000024,453416_S009,document,453416,OF,HRRJK,20,PQ,5A,05,5A-SB01,13,3,1.0
C0000025,453416_S009,document,453416,OF,HRRJK,20,PQ,5A,05,5A-SB01,26,6,1.0
C0000026,453388_S014,document,453388,OF,CAVAN,20,PQ,4B,15,4B-SB02,1,1,0.0
C0000027,453388_S014,document,453388,OF,CAVAN,20,PQ,4B,15,4B-SB02,9,2,0.0
C0000028,453388_S014,document,453388,OF,CAVAN,20,PQ,4B,15,4B-SB02,12,3,0.0
C0000029,453388_S014,document,453388,OF,CAVAN,20,PQ,4B,15,4B-SB02,25,5,0.0
C0000030,453388_S014,document,453388,OF,CAVAN,20,PQ,4A,53,4A-SB05,1,1,0.0
C0000031,453388_S014,document,453388,OF,CAVAN,20,PQ,4A,53,4A-SB05,3,1,0.0
C0000032,453388_S014,document,453388,OF,CAVAN,20,PQ,4A,53,4A-SB05,4,2,0.0
C0000033,453388_S014,document,453388,OF,CAVAN,20,PQ,4A,53,4A-SB05,6,2,0.0
C0000034,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,63,6A-SB05,1,1,0.0
C0000035,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,63,6A-SB05,4,1,0.0
C0000036,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,63,6A-SB05,11,3,0.0
C0000037,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,63,6A-SB05,23,5,0.0
C0000038,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,11,6A-SB01,1,1,0.0
C0000039,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,11,6A-SB01,4,2,0.0
C0000040,453308_S007,document,453308,OF,ESVLC,20,PQ,6A,11,6A-SB01,9,3,0.0
C0000041,453250_S003,document,453250,OF,KRPUS,20,PQ,29,27,29-SB03,1,1,1.0
C0000042,453250_S003,document,453250,OF,KRPUS,20,PQ,29,27,29-SB03,9,2,1.0
