plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453250,453250_S001,document,OF,KRPUS,20,PQ,0_10,False,NORMAL,29,31,29-SB03,25|27|29|31|33|35,23,2
small,453250,453250_S002,document,OF,KRPUS,20,PQ,15_20,False,NORMAL,29,31,29-SB03,25|27|29|31|33|35,23,1
small,453250,453250_S003,document,OF,KRPUS,20,PQ,20_25,False,NORMAL,29,31,29-SB03,25|27|29|31|33|35,23,7
small,453250,453250_S003,document,OF,KRPUS,20,PQ,20_25,False,NORMAL,49,25,49-SB02,17|19|21|23|25|27,34,10
small,453250,453250_S003,document,OF,KRPUS,20,PQ,20_25,False,NORMAL,49,27,49-SB02,17|19|21|23|25|27,34,2
small,453250,453250_S004,document,OF,USNYC,20,PQ,0_10,False,NORMAL,6A,05,6A-SB01,01|03|05|07|09|11,11,1
small,453250,453250_S005,document,OF,USNYC,20,PQ,15_20,False,NORMAL,2A,31,2A-SB03,25|27|29|31|33|35,2,1
small,453250,453250_S006,document,OF,USORF,20,PQ,0_10,False,NORMAL,29,49,29-SB05,49|51|53|55|57|59,2,1
small,453250,453250_S007,document,OF,USORF,20,PQ,10_15,False,NORMAL,29,49,29-SB05,49|51|53|55|57|59,2,1
small,453250,453250_S008,document,OF,COCTG,40,HQ,0_10,False,NORMAL,5B,05,5B-SB01,01|03|05|07|09|11,3,2
small,453250,453250_S009,document,OF,COCTG,40,HQ,15_20,False,NORMAL,5B,05,5B-SB01,01|03|05|07|09|11,3,1
small,453250,453250_S010,document,OF,KRPUS,40,HQ,0_10,False,NORMAL,2A,13,2A-SB02,13|15|17|19|21|23,30,4
small,453250,453250_S010,document,OF,KRPUS,40,HQ,0_10,False,NORMAL,2A,21,2A-SB02,13|15|17|19|21|23,30,1
small,453250,453250_S011,document,OF,KRPUS,40,HQ,10_15,False,NORMAL,2A,13,2A-SB02,13|15|17|19|21|23,30,4
small,453250,453250_S012,document,OF,KRPUS,40,HQ,15_20,False,NORMAL,2A,21,2A-SB02,13|15|17|19|21|23,30,6
small,453250,453250_S013,document,OF,KRPUS,40,HQ,20_25,False,NORMAL,2A,21,2A-SB02,13|15|17|19|21|23,30,11
