plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,19-SB01,19,15|17|19|21|23|25,35,453388_S014|26;453388_S028|3;453388_S043|3;453388_S066|3
small_six_bay_block,19-SB02,19,33|35|37|39|41|43,26,453388_S009|26
small_six_bay_block,1A-SB03,1A,31|33|35|37|39|41,5,453308_S004|1;453416_S045|1;453416_S046|3
small_six_bay_block,1A-SB04,1A,43|45|47|49|51|53,17,453308_S004|2;453308_S008|1;453308_S009|2;453416_S045|7;453416_S047|5
small_six_bay_block,1K-SB01,1K,05|07|09|11|13|15,24,453396_S021|2;454710_S027|4;454710_S028|4;454710_S029|1;454710_S030|4;454710_S031|3;454710_S032|6
small_six_bay_block,28-SB01,28,13|15|17|19|21|23,4,453356_S003|4
small_six_bay_block,28-SB02,28,45|47|49|51|53|55,1,453324_S001|1
small_six_bay_block,29-SB03,29,25|27|29|31|33|35,23,453250_S001|2;453250_S002|1;453250_S003|7;453250_S021|4;453250_S022|2;453250_S023|2;453308_S005|2;453308_S006|1;453308_S007|1;453324_S002|1
small_six_bay_block,29-SB05,29,49|51|53|55|57|59,2,453250_S006|1;453250_S007|1
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,7,453416_S021|1;453416_S023|2;453416_S037|1;453416_S038|3
small_six_bay_block,2A-SB02,2A,13|15|17|19|21|23,30,453250_S010|5;453250_S011|4;453250_S012|6;453250_S013|11;453250_S014|2;453250_S015|2
small_six_bay_block,2A-SB03,2A,25|27|29|31|33|35,2,453250_S005|1;453416_S023|1
small_six_bay_block,2A-SB04,2A,37|39|41|43|45|47,12,453416_S021|12
small_six_bay_block,2A-SB05,2A,49|51|53|55|57|59,2,453416_S023|2
small_six_bay_block,2B-SB02,2B,21|23|25|27|29|31,22,453388_S004|2;453388_S005|2;453388_S006|1;453388_S007|1;453388_S008|2;453388_S010|8;453388_S016|1;453388_S017|1;453388_S019|4
small_six_bay_block,2B-SB03,2B,33|35|37|39|41|43,24,453388_S004|16;453388_S024|4;453388_S051|4
small_six_bay_block,2B-SB04,2B,45|47|49|51|53|55,6,453388_S025|6
small_six_bay_block,2K-SB01,2K,17|19|21|23|25|27,1,453416_S031|1
small_six_bay_block,38-SB01,38,05|07|09|11|13|15,5,453388_S072|1;453396_S010|1;453396_S011|2;453416_S017|1
small_six_bay_block,38-SB02,38,29|31|33|35|37|39,3,453324_S003|3
small_six_bay_block,3A-SB02,3A,17|19|21|23|25|27,1,453416_S032|1
small_six_bay_block,3A-SB03,3A,29|31|33|35|37|39,1,453416_S046|1
