voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,29,12,20,
453250,OF,29,49,40,
453250,OF,2A,1,20,
453250,OF,2A,123,40,
453250,OF,49,12,20,
453250,OF,49,118,40,
453250,OF,5B,91,40,
453250,OF,6A,1,20,
453250,OF,6A,13,40,
453250,OF,E9,3,40,
453308,OF,1A,12,20,
453308,OF,29,4,20,
453308,OF,6A,33,20,
453308,OF,6A,5,40,
453308,OF,89,45,20,
453308,OF,89,4,40,
453308,OF,AB,5,40,
453308,OF,ED,11,40,
453308,OF,EE,8,40,
453324,OF,28,1,20,
453324,OF,28,6,40,
453324,OF,29,1,20,
453324,OF,38,14,40,
453324,OF,4J,7,40,
453352,OF,1A,17,20,
453352,OF,4B,113,40,
453352,OF,4J,18,40,
453352,OF,6B,2,20,
453352,OF,89,17,40,
453352,OF,8A,29,20,
453352,OF,8A,8,40,
453356,OF,19,1,20,
453356,OF,1C,6,40,
453356,OF,28,97,20,
453356,OF,28,35,40,
453356,OF,29,61,20,
453356,OF,29,10,40,
453356,OF,2A,33,20,
453356,OF,38,3,40,
453356,OF,39,9,20,
453356,OF,39,1,40,
453356,OF,3A,1,20,
453356,OF,3A,2,40,
453356,OF,3D,45,40,
453356,OF,49,5,40,
453356,OF,E7,38,40,
453356,OF,ED,25,40,
453388,OF,19,69,20,
453388,OF,19,9,40,
453388,OF,2B,76,20,
453388,OF,2B,31,40,
453388,OF,38,1,40,
453388,OF,3C,8,40,
453388,OF,4A,15,20,
453388,OF,4A,50,40,
453388,OF,4B,20,20,
453388,OF,4B,263,40,
453388,OF,69,52,20,
453388,OF,69,95,40,
453388,OF,7A,8,40,
453396,OF,1C,17,40,
453396,OF,1K,5,40,
453396,OF,38,3,40,
453396,OF,49,4,40,
453396,OF,6B,5,20,
453396,OF,6B,12,40,
453396,OF,89,10,40,
453396,OF,8A,14,20,
453396,OF,8A,12,40,
453396,OF,E9,13,40,
453396,OF,EE,3,40,
453412,OF,49,21,20,
453412,OF,49,125,40,
453412,OF,6B,73,40,
453416,OF,1A,11,20,
453416,OF,1A,16,40,
453416,OF,1B,1,40,
453416,OF,2A,70,40,
453416,OF,2K,11,40,
453416,OF,38,1,20,
453416,OF,38,5,40,
453416,OF,3A,2,40,
453416,OF,3B,6,40,
453416,OF,4A,170,40,
453416,OF,59,60,20,
453416,OF,5A,103,20,
453416,OF,5A,177,40,
453416,OF,6B,1,40,
453416,OF,6C,8,40,
453416,OF,E9,21,40,
454549,OF,1A,1,20,
454549,OF,1A,8,40,
454549,OF,1K,6,40,
454549,OF,2K,64,40,
454549,OF,3A,4,20,
454549,OF,3A,21,40,
454549,OF,49,1,20,
454549,OF,49,49,40,
454549,OF,4J,5,40,
454549,OF,5F,29,40,
454549,OF,69,2,20,
454549,OF,69,42,40,
454549,OF,6B,1,40,
454549,OF,E2,2,40,
454585,OF,49,1,40,
454585,OF,4J,25,40,
454585,OF,59,5,20,
454585,OF,59,3,40,
454585,OF,5A,69,20,
454585,OF,5A,187,40,
454585,OF,69,7,20,
454585,OF,69,25,40,
454585,OF,8A,20,40,
454585,OF,8B,4,20,
454585,OF,8B,29,40,
454585,OF,AC,1,40,
454585,OF,E1,24,40,
454585,OF,E3,24,40,
454710,OF,1D,1,40,
454710,OF,1K,29,40,
454710,OF,2D,3,40,
454710,OF,38,2,40,
454710,OF,49,1,40,
454710,OF,5C,26,40,
454710,OF,6A,1,40,
454710,OF,8A,26,20,
454710,OF,8A,14,40,
454710,OF,8B,24,20,
454710,OF,8B,14,40,
