plan_level,voyage_id,flow,port,size,area_no,bay_no,six_bay_block_id,six_bay_block_bays,planned_boxes,document_boxes,forecast_fallback_boxes
medium,453250,OF,COCTG,40,5B,05,5B-SB01,01|03|05|07|09|11,3,3,0
medium,453250,OF,KRPUS,20,29,31,29-SB03,25|27|29|31|33|35,10,10,0
medium,453250,OF,KRPUS,20,49,25,49-SB02,17|19|21|23|25|27,10,10,0
medium,453250,OF,KRPUS,20,49,27,49-SB02,17|19|21|23|25|27,2,2,0
medium,453250,OF,KRPUS,40,29,53,29-SB05,49|51|53|55|57|59,11,11,0
medium,453250,OF,KRPUS,40,2A,21,2A-SB02,13|15|17|19|21|23,13,13,0
medium,453250,OF,KRPUS,40,2A,33,2A-SB03,25|27|29|31|33|35,6,6,0
medium,453250,OF,USNW2,40,6A,25,6A-SB02,17|19|21|23|25|27,2,2,0
medium,453250,OF,USNWK,40,5B,49,5B-SB04,49|51|53|55|57|59,6,6,0
medium,453250,OF,USNYC,20,2A,31,2A-SB03,25|27|29|31|33|35,1,1,0
medium,453250,OF,USNYC,20,6A,05,6A-SB01,01|03|05|07|09|11,1,1,0
medium,453250,OF,USNYC,40,29,25,29-SB03,25|27|29|31|33|35,8,8,0
medium,453250,OF,USORF,20,29,49,29-SB05,49|51|53|55|57|59,2,2,0
medium,453250,OF,USORF,40,E9,91,,,3,3,0
medium,453308,OF,ESBCN,20,1A,35,1A-SB03,31|33|35|37|39|41,1,1,0
medium,453308,OF,ESBCN,20,1A,53,1A-SB04,43|45|47|49|51|53,2,2,0
medium,453308,OF,ESBCN,20,1A,55,,,5,5,0
medium,453308,OF,ESBCN,20,6A,11,6A-SB01,01|03|05|07|09|11,2,2,0
medium,453308,OF,ESBCN,20,89,23,89-SB01,13|15|17|19|21|23,11,11,0
medium,453308,OF,ESBCN,20,89,49,89-SB04,49|51|53|55|57|59,1,1,0
medium,453308,OF,ESBCN,40,AB,09,AB-SB01,05|07|09|11|13|15,1,1,0
medium,453308,OF,ESBCN,40,AB,57,,,4,4,0
medium,453308,OF,ESVLC,20,29,31,29-SB03,25|27|29|31|33|35,4,4,0
medium,453308,OF,ESVLC,20,89,51,89-SB04,49|51|53|55|57|59,26,26,0
medium,453308,OF,ESVLC,40,6A,33,6A-SB03,29|31|33|35|37|39,1,1,0
medium,453308,OF,ESVLC,40,ED,23,ED-SB02,19|21|23|25|27|29,2,2,0
medium,453308,OF,ESVLC,40,ED,91,,,2,2,0
medium,453308,OF,ITGOA,20,1A,53,1A-SB04,43|45|47|49|51|53,3,3,0
medium,453308,OF,ITGOA,20,6A,11,6A-SB01,01|03|05|07|09|11,4,4,0
medium,453308,OF,ITGOA,20,89,49,89-SB04,49|51|53|55|57|59,6,6,0
medium,453308,OF,ITGOA,40,6A,33,6A-SB03,29|31|33|35|37|39,2,2,0
medium,453308,OF,ITGOA,40,6A,69,,,2,2,0
medium,453308,OF,ITGOA,40,ED,11,ED-SB01,D9|E9|11|13|15|17,2,2,0
medium,453308,OF,ITSPE,20,89,17,89-SB01,13|15|17|19|21|23,1,1,0
medium,453308,OF,ITSPE,40,ED,11,ED-SB01,D9|E9|11|13|15|17,1,1,0
medium,453308,OF,ITSPE,40,ED,91,,,1,1,0
medium,453308,OF,MAMED,20,6A,11,6A-SB01,01|03|05|07|09|11,2,2,0
medium,453308,OF,MAMED,40,89,33,89-SB02,25|27|29|31|33|35,1,1,0
medium,453308,OF,MYTPP,20,6A,11,6A-SB01,01|03|05|07|09|11,2,2,0
medium,453308,OF,MYTPP,20,6A,63,6A-SB05,53|55|57|59|61|63,23,23,0
medium,453308,OF,MYTPP,40,EE,91,,,8,8,0
medium,453324,OF,USLAX,20,28,45,28-SB02,45|47|49|51|53|55,1,1,0
medium,453324,OF,USLAX,20,29,31,29-SB03,25|27|29|31|33|35,1,1,0
medium,453324,OF,USLAX,40,28,01,,,3,3,0
