voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453334,OF,19,31,20,
453334,OF,19,96,40,
453334,OF,49,31,20,
453334,OF,49,99,40,
453334,OF,59,32,20,
453334,OF,59,134,40,
453334,OF,6A,31,20,
453334,OF,6A,123,40,
453334,OF,79,31,20,
453334,OF,79,130,40,
453334,OF,89,32,20,
453334,OF,89,134,40,
453334,OZ,10,6,20,
453334,OZ,11,2,20,
453334,OZ,11,3,40,
453334,OZ,12,3,20,
453334,OZ,12,1,40,
453334,OZ,21,1,20,
453334,OZ,21,1,40,
453334,OZ,30,2,20,
453334,OZ,30,1,40,
453334,OZ,31,2,20,
453334,OZ,41,4,40,
453334,OZ,51,3,40,
453334,OZ,60,1,40,
453334,OZ,61,2,40,
453334,OZ,70,1,40,
453334,OZ,71,2,40,
453334,OZ,80,1,20,
453334,OZ,81,2,40,
453334,OZ,E1,2,20,
453334,OZ,E1,3,40,
453334,OZ,E2,5,20,
453334,OZ,E2,3,40,
453334,OZ,E3,4,40,
453334,OZ,E4,3,20,
453334,OZ,E4,1,40,
453334,OZ,E5,7,20,
453334,OZ,E5,3,40,
453334,OZ,E8,1,20,
453334,OZ,E8,1,40,
453334,OZ,E9,1,40,
453334,OZ,EA,2,20,
453334,OZ,EA,5,40,
453334,OZ,EB,1,40,
453334,OZ,EC,1,20,
453334,OZ,EC,4,40,
453334,T,22,2,40,
453334,T,23,1,40,
453334,T,43,2,20,
453400,OF,28,82,20,
453400,OF,28,163,40,
453400,OF,29,158,40,
453400,OF,2A,167,40,
453400,OF,38,81,20,
453400,OF,38,35,40,
453400,OF,39,24,20,
453400,OF,39,167,40,
453400,OF,49,82,20,
453400,OF,49,167,40,
453400,OF,4D,1,40,
453400,OF,69,79,20,
453400,OF,69,161,40,
453400,OF,6C,10,20,
453400,OF,6C,52,40,
453400,OF,8A,167,40,
453400,OZ,10,2,20,
453400,OZ,10,14,40,
453400,OZ,11,3,20,
453400,OZ,11,5,40,
453400,OZ,12,3,20,
453400,OZ,12,2,40,
453400,OZ,30,2,20,
453400,OZ,30,1,40,
453400,OZ,41,1,20,
453400,OZ,41,1,40,
453400,OZ,51,7,20,
453400,OZ,51,3,40,
453400,OZ,60,1,20,
453400,OZ,60,1,40,
453400,OZ,61,8,20,
453400,OZ,61,6,40,
453400,OZ,70,1,20,
453400,OZ,70,2,40,
453400,OZ,71,3,20,
453400,OZ,71,4,40,
453400,OZ,80,8,20,
453400,OZ,81,7,20,
453400,OZ,81,3,40,
453400,OZ,E1,18,40,
453400,OZ,E2,5,20,
453400,OZ,E2,23,40,
453400,OZ,E3,2,20,
453400,OZ,E3,15,40,
453400,OZ,E4,8,20,
453400,OZ,E4,19,40,
453400,OZ,E5,2,20,
453400,OZ,E5,4,40,
453400,OZ,E6,3,40,
453400,OZ,E8,8,40,
453400,OZ,E9,7,20,
453400,OZ,E9,21,40,
453400,OZ,EA,2,20,
453400,OZ,EA,18,40,
453400,OZ,EB,14,40,
453400,OZ,EC,13,20,
453400,OZ,EC,11,40,
453400,T,53,1,40,
453400,T,62,1,40,
453400,T,73,1,40,
453400,T,84,1,40,
