phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,533.332423,533.332423,80.0,0
medium,3000,846.658479,504.983559,43.942422,2696
medium,6000,1095.524387,504.983559,24.136705,5255
medium,9000,738.340288,504.983559,13.257816,7529
medium,12000,518.825548,484.266192,7.282257,9299
medium,15000,484.192279,449.580847,4.0,10830
medium,18000,401.3567,399.304028,2.197121,12161
medium,21000,381.072314,379.037389,1.206835,13420
medium,24000,371.241214,367.118532,0.662891,14616
medium,27000,340.190267,339.825093,0.364113,15631
medium,30000,317.536027,317.465972,0.2,16432
