voyage_id,flow,port,size_mode,predicted_boxes,ratio_target_boxes,doc_boxes,planned_boxes,planning_stage,planning_ratio
453334,OF,BEANR,20,1,1,0,1,before_open_within_24h,0.7
453334,OF,DEHAM,20,135,94,0,94,before_open_within_24h,0.7
453334,OF,FRLEH,20,71,50,0,50,before_open_within_24h,0.7
453334,OF,NLRTM,20,4,3,52,3,before_open_within_24h,0.7
453334,OF,PTSIE,20,32,22,0,22,before_open_within_24h,0.7
453334,OF,PTVSI,20,20,14,0,14,before_open_within_24h,0.7
453334,OF,BEANR,40,7,5,0,5,before_open_within_24h,0.7
453334,OF,DEHAM,40,314,220,0,220,before_open_within_24h,0.7
453334,OF,FRLEH,40,273,191,0,191,before_open_within_24h,0.7
453334,OF,NLRTM,40,27,19,27,19,before_open_within_24h,0.7
453334,OF,PTSIE,40,97,68,0,68,before_open_within_24h,0.7
453334,OF,PTVSI,40,98,68,0,68,before_open_within_24h,0.7
453334,OF,FRLEH,45,4,3,0,3,before_open_within_24h,0.7
453400,OF,DEHAM,20,187,131,0,131,before_open_within_24h,0.7
453400,OF,GBLGP,20,1,1,0,1,before_open_within_24h,0.7
453400,OF,MYTPP,20,36,25,12,25,before_open_within_24h,0.7
453400,OF,NLR10,20,3,2,0,2,before_open_within_24h,0.7
453400,OF,NLRTM,20,263,184,2,184,before_open_within_24h,0.7
453400,OF,DEHAM,40,547,383,0,383,before_open_within_24h,0.7
453400,OF,GBLGP,40,7,5,0,5,before_open_within_24h,0.7
453400,OF,MYTPP,40,108,76,71,76,before_open_within_24h,0.7
453400,OF,NLR10,40,36,25,0,25,before_open_within_24h,0.7
453400,OF,NLRTM,40,852,596,2,596,before_open_within_24h,0.7
453400,OF,NLRTM,45,3,2,0,2,before_open_within_24h,0.7
