plan_level,voyage_id,flow,port,size,window_start,window_end,area_loading_during_window,area_loading_after_window_24h,area_no,planned_boxes
medium,453334,OF,BEANR,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,1
medium,453334,OF,BEANR,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,5
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,1
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,19
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,20
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,22
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,2
medium,453334,OF,DEHAM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,30
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,38
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,32
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,40
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,13
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,58
medium,453334,OF,DEHAM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,39
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,8
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,9
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,11
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,8
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,12
medium,453334,OF,FRLEH,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,2
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,26
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,24
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,36
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,35
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,36
medium,453334,OF,FRLEH,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,34
medium,453334,OF,FRLEH,45,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,3
medium,453334,OF,NLRTM,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,3
medium,453334,OF,NLRTM,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,19
medium,453334,OF,PTSIE,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,22
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,7
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,49,11
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,59,16
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,6A,9
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,12
medium,453334,OF,PTSIE,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,89,13
medium,453334,OF,PTVSI,20,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,79,14
medium,453334,OF,PTVSI,40,2026-05-08 10:00:00,2026-05-09 10:00:00,False,False,19,9
