plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,28-SB02,28,13|15|17|19|21|23,12,453400_S005|12
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,41,453400_S007|33;453400_S008|8
small_six_bay_block,2A-SB02,2A,13|15|17|19|21|23,117,453400_S009|106;453400_S010|11
small_six_bay_block,49-SB01,49,01|03|05|07|09|11,64,453334_S007|28;453400_S009|36
small_six_bay_block,49-SB02,49,13|15|17|19|21|23,34,453334_S020|14;453334_S021|2;453400_S011|18
small_six_bay_block,49-SB03,49,25|27|29|31|33|35,42,453334_S022|5;453334_S023|1;453400_S012|1;453400_S014|14;453400_S016|21
small_six_bay_block,49-SB04,49,37|39|41|43|45|47,76,453400_S001|24;453400_S015|2;453400_S016|43;453400_S017|7
small_six_bay_block,49-SB05,49,49|51|53|55|57|59,35,453400_S002|35
small_six_bay_block,6A-SB01,6A,01|03|05|07|09|11,17,453334_S001|2;453334_S006|3;453334_S007|11;453334_S012|1
small_six_bay_block,6A-SB02,6A,13|15|17|19|21|23,27,453334_S002|4;453334_S013|5;453334_S014|18
small_six_bay_block,6A-SB03,6A,25|27|29|31|33|35,12,453334_S003|4;453334_S015|1;453334_S016|1;453334_S017|6
small_six_bay_block,6A-SB04,6A,37|39|41|43|45|47,32,453334_S004|5;453334_S018|22;453334_S019|5
small_six_bay_block,6A-SB05,6A,49|51|53|55|57|59,1,453334_S005|1
small_six_bay_block,6A-SB06,6A,61|63|65|67|69|71,2,453334_S011|2
small_six_bay_block,6C-SB01,6C,01|03|05|07|09|11,1,453400_S003|1
small_six_bay_block,6C-SB02,6C,13|15|21|23|25|27,12,453400_S009|12
small_six_bay_block,6C-SB03,6C,29|31|33|35|37|39,1,453400_S004|1
small_six_bay_block,6C-SB04,6C,41|43|45|47|49|51,2,453400_S006|2
small_six_bay_block,6C-SB05,6C,53|55|57|59|61|63,26,453400_S009|26
small_six_bay_block,79-SB01,79,01|03|05|07|09|11,13,453334_S007|13
small_six_bay_block,79-SB02,79,13|15|17|19|21|23,15,453334_S008|15
small_six_bay_block,79-SB03,79,25|27|29|31|33|35,1,453334_S008|1
small_six_bay_block,79-SB05,79,49|51|53|55|57|59,1,453334_S010|1
small_six_bay_block,89-SB01,89,01|03|05|07|09|11,11,453334_S009|11
small_six_bay_block,8A-SB01,8A,01|03|05|07|09|11,10,453400_S013|10
small_six_bay_block,8A-SB03,8A,25|27|29|31|33|35,2,453400_S018|2
