voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453334,OF,19,20,31,0.0,31.0
453334,OF,49,20,31,0.0,31.0
453334,OF,59,20,32,0.0,32.0
453334,OF,6A,20,31,4.0,27.0
453334,OF,79,20,31,0.0,31.0
453334,OF,89,20,32,0.0,32.0
453400,OF,28,20,82,0.0,82.0
453400,OF,38,20,81,0.0,81.0
453400,OF,39,20,24,0.0,24.0
453400,OF,49,20,82,0.0,82.0
453400,OF,69,20,79,0.0,79.0
453886,IF,7B,20,251,0.0,251.0
453886,IF,7G,20,133,0.0,133.0
453886,IF,7H,20,1,0.0,1.0
453886,IF,8G,20,1,0.0,1.0
453334,OF,19,40,96,0.0,96.0
453334,OF,49,40,99,0.0,99.0
453334,OF,59,40,134,0.0,134.0
453334,OF,6A,40,123,13.0,110.0
453334,OF,79,40,130,0.0,130.0
453334,OF,89,40,134,0.0,134.0
453400,OF,28,40,163,0.0,163.0
453400,OF,29,40,158,0.0,158.0
453400,OF,2A,40,167,1.0,166.0
453400,OF,38,40,35,0.0,35.0
453400,OF,39,40,167,0.0,167.0
453400,OF,49,40,167,0.0,167.0
453400,OF,69,40,161,0.0,161.0
453400,OF,8A,40,167,0.0,167.0
453886,IF,7G,40,88,0.0,88.0
453886,IF,7H,40,92,0.0,92.0
453886,IF,8G,40,151,0.0,151.0
453886,IF,8H,40,178,0.0,178.0
453886,IF,E1,40,179,0.0,179.0
453886,IF,E2,40,182,0.0,182.0
453886,IF,E8,40,507,0.0,507.0
453886,IF,E9,40,688,0.0,688.0
453886,IF,EA,40,61,0.0,61.0
453886,T,52,40,1,0.0,1.0
454063,IF,8G,40,1,0.0,1.0
