voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453250,OF,19,20,3,0.0,3.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453250,OF,39,20,24,1.0,23.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453308,OF,29,20,58,0.0,58.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453308,OF,49,20,35,0.0,35.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453324,OF,28,20,47,45.0,2.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453352,OF,28,20,18,0.0,18.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,19,20,95,0.0,95.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,28,20,95,0.0,95.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,29,20,10,4.0,6.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453356,OF,39,20,6,0.0,6.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,4A,20,76,32.0,44.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,69,20,75,0.0,75.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,6A,20,76,0.0,76.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453388,OF,8A,20,70,0.0,70.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453396,OF,19,20,18,0.0,18.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453412,OF,49,20,21,0.0,21.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,2A,20,96,32.0,64.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,38,20,58,34.0,24.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,4A,20,67,0.0,67.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,79,20,1,0.0,1.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
453416,OF,89,20,89,0.0,89.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454447,OF,5A,20,15,0.0,15.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454549,OF,49,20,9,1.0,8.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,28,20,88,0.0,88.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,38,20,89,0.0,89.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
454585,OF,59,20,89,0.0,89.0,2026-05-19T09:30:00,GAPLIMIT,474548.53669782495
