voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453334,OF,19,20,1,0.0,1.0
453334,OF,28,20,60,0.0,60.0
453334,OF,38,20,60,0.0,60.0
453334,OF,59,20,6,0.0,6.0
453334,OF,6A,20,61,4.0,57.0
453400,OF,28,20,38,0.0,38.0
453400,OF,29,20,38,0.0,38.0
453400,OF,38,20,39,0.0,39.0
453400,OF,39,20,38,0.0,38.0
453400,OF,49,20,40,0.0,40.0
453400,OF,59,20,40,0.0,40.0
453400,OF,69,20,35,0.0,35.0
453400,OF,79,20,40,0.0,40.0
453400,OF,89,20,40,0.0,40.0
453886,IF,7B,20,251,0.0,251.0
453886,IF,7G,20,135,0.0,135.0
453334,OF,19,40,111,0.0,111.0
453334,OF,28,40,52,0.0,52.0
453334,OF,29,40,32,0.0,32.0
453334,OF,39,40,54,0.0,54.0
453334,OF,49,40,163,0.0,163.0
453334,OF,59,40,17,0.0,17.0
453334,OF,69,40,78,0.0,78.0
453334,OF,6A,40,169,13.0,156.0
453334,OF,79,40,40,0.0,40.0
453400,OF,28,40,103,0.0,103.0
453400,OF,29,40,107,0.0,107.0
453400,OF,2A,40,124,1.0,123.0
453400,OF,38,40,26,0.0,26.0
453400,OF,39,40,106,0.0,106.0
453400,OF,49,40,97,0.0,97.0
453400,OF,59,40,111,0.0,111.0
453400,OF,5A,40,74,0.0,74.0
453400,OF,69,40,105,0.0,105.0
453400,OF,79,40,84,0.0,84.0
453400,OF,7A,40,124,0.0,124.0
453400,OF,89,40,124,0.0,124.0
453886,IF,E1,40,179,0.0,179.0
453886,IF,E2,40,182,0.0,182.0
453886,IF,E3,40,232,0.0,232.0
453886,IF,E4,40,125,0.0,125.0
453886,IF,E8,40,300,0.0,300.0
453886,IF,E9,40,300,0.0,300.0
453886,IF,EA,40,300,0.0,300.0
453886,IF,7G,40,87,0.0,87.0
453886,IF,7H,40,91,0.0,91.0
453886,IF,8G,40,152,0.0,152.0
453886,IF,8H,40,178,0.0,178.0
453886,T,52,40,1,0.0,1.0
454063,IF,7H,40,1,0.0,1.0
