voy_id,of_work_lanes,max_of_areas_2x,actual_of_areas_total_plan,actual_of_areas_new_only,excess_total_vs_2x,of_area_overage_from_model,of_planned_qty_total,of_new_qty_total,total_areas,new_areas
453250,0.0,0.0,37,5,37.0,0.0,1052.0,78.0,"12,14,19,1C,29,2A,2B,2C,2D,38,39,3H,49,4C,55,5B,5D,61,63,64,67,6A,6C,6H,77,79,83,93,E4,E5,E6,E7,E9,EB,EC,ED,EE","19,29,38,49,79"
453308,4.47,8.94,70,4,61.06,61.06,2009.0,127.0,"10,12,13,14,21,23,29,2C,30,31,32,33,3A,3B,3G,3K,41,42,43,49,52,53,59,5C,61,62,63,65,66,69,6A,6D,6G,6H,6K,70,71,73,75,76,77,78,7A,7C,7D,80,81,82,83,84,85,86,89,94,9B,9D,AB,AC,AD,E2,E4,E5,E6,E7,E9,EA,EB,EC,ED,EE","29,49,59,6A"
453324,4.455,8.91,50,2,41.09,41.09,1431.0,29.0,"14,19,1A,1C,1D,21,28,29,2B,2C,2K,38,39,3B,3G,3H,3J,3K,49,58,5D,61,63,65,66,67,72,76,78,80,81,83,84,85,88,94,9D,AC,AD,E2,E4,E5,E6,E7,E9,EA,EB,EC,ED,EE","19,49"
453352,0.276,0.552,6,1,5.448,5.448,57.0,29.0,"39,3H,44,54,61,64",39
453356,4.437,8.874,45,7,36.126,36.126,1005.0,372.0,"10,11,19,1B,1D,28,29,2A,2B,30,38,39,3A,3D,45,47,54,60,61,62,64,65,66,67,68,70,71,72,73,74,76,81,86,93,AC,AD,E4,E5,E6,E7,E9,EA,EB,EC,ED","19,28,29,2A,38,39,3A"
453388,3.939,7.878,24,5,16.122,16.122,902.0,730.0,"10,12,14,28,2B,32,41,42,4A,4B,5A,66,69,75,80,88,8A,E2,E4,E5,E9,EA,EC,ED","28,4A,5A,69,8A"
453396,6.261000000000001,12.522000000000002,80,3,67.478,67.478,3272.0,98.0,"12,13,14,19,1C,1D,23,29,2C,2D,33,3A,3G,3H,3K,41,42,43,4D,51,52,53,59,5C,60,61,62,63,65,66,67,6B,6C,6G,6H,6K,70,71,72,73,74,75,76,7B,7D,7J,80,81,82,83,84,85,86,87,88,89,8A,8B,8H,93,94,9B,9C,9D,AB,AC,AD,E1,E2,E4,E5,E6,E7,E8,E9,EA,EB,EC,ED,EE","19,3A,8A"
453412,9.951,19.902,55,1,35.098,35.098,2571.0,219.0,"10,11,12,17,23,24,30,31,3G,3H,3K,40,41,49,4B,4C,4E,53,54,5E,5F,60,63,65,6B,6H,6K,70,71,72,73,74,75,78,7A,81,84,85,87,88,8B,8H,E1,E2,E4,E5,E6,E7,E8,E9,EA,EB,EC,ED,EE",49
453416,9.39,18.78,38,6,19.22,19.22,2346.0,872.0,"12,1A,29,2A,2B,2C,38,4A,4D,5D,63,64,65,66,67,68,6H,70,71,72,74,76,79,80,81,84,86,88,94,E6,E7,E8,E9,EA,EB,EC,ED,EE","1A,29,2A,38,4A,79"
454549,0.0,0.0,71,1,71.0,0.0,1283.0,12.0,"11,13,1A,1C,1D,22,23,24,2C,2D,30,31,32,3A,3G,40,41,43,49,52,53,54,55,5D,60,61,62,63,64,65,66,67,68,69,6H,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,93,94,9D,AB,AC,E1,E2,E3,E4,E5,E6,E8,E9,EA,EB,EC,ED,EE",1A
454585,4.641,9.282,26,6,16.718,16.718,1254.0,766.0,"10,14,23,28,30,3H,40,42,52,54,59,66,69,73,7A,81,82,89,8A,8B,E1,E2,E8,E9,EA,ED","28,59,69,7A,89,8A"
454710,0.0,0.0,14,3,14.0,0.0,170.0,141.0,"10,28,41,42,43,5A,71,73,82,8A,8B,E1,E5,E8","28,5A,8A"
