area_no,work_type,has_position,voy_id,planned_qty
10,OZ,1,453250,7
10,OZ,1,453308,2
10,OZ,1,453324,7
10,OZ,1,453352,1
10,OZ,1,453356,2
10,OZ,1,453388,2
10,OZ,1,453396,7
10,OZ,1,453412,5
10,OZ,1,453416,6
10,OZ,1,454549,4
10,OZ,1,454585,7
10,OZ,1,454710,4
11,OZ,1,453250,4
11,OZ,1,453308,10
11,OZ,1,453324,7
11,OZ,1,453356,2
11,OZ,1,453388,12
11,OZ,1,453396,15
11,OZ,1,453412,14
11,OZ,1,453416,17
11,OZ,1,454549,7
11,OZ,1,454585,10
12,OZ,1,453250,7
12,OZ,1,453308,7
12,OZ,1,453324,5
12,OZ,1,453356,6
12,OZ,1,453388,5
12,OZ,1,453396,26
12,OZ,1,453412,15
12,OZ,1,453416,15
12,OZ,1,454549,6
12,OZ,1,454585,20
13,T,1,453250,9
13,T,1,453308,3
13,T,1,453324,6
13,T,1,453388,9
13,T,1,453396,20
13,T,1,453412,21
13,T,1,453416,18
13,T,1,454548,286
13,T,1,454549,2
13,T,1,454585,14
14,T,1,453250,5
14,T,1,453308,5
14,T,1,453324,5
14,T,1,453356,5
14,T,1,453388,5
14,T,1,453396,47
14,T,1,453412,29
14,T,1,453416,23
14,T,1,454549,1
14,T,1,454585,5
15,T,1,453250,1
15,T,1,453308,1
15,T,1,453324,2
15,T,1,453356,1
15,T,1,453396,46
15,T,1,453412,8
15,T,1,453416,4
15,T,1,454548,274
15,T,1,454585,6
16,T,1,453308,5
16,T,1,453324,2
16,T,1,453356,1
16,T,1,453388,2
16,T,1,453396,18
16,T,1,453412,54
16,T,1,453416,11
16,T,1,454585,5
17,T,1,453250,1
17,T,1,453308,5
17,T,1,453324,3
17,T,1,453356,1
17,T,1,453396,11
17,T,1,453412,37
17,T,1,453416,16
17,T,1,454585,5
19,OF,1,453250,27
19,OF,1,453324,272
19,OF,1,453356,118
19,OF,1,453396,2
1A,OF,1,453324,50
1A,OF,1,453356,1
1A,OF,1,453416,318
1A,OF,1,454549,1
1B,OF,1,453356,190
1C,OF,1,453250,199
1C,OF,1,453324,74
1C,OF,1,453396,5
1C,OF,1,454549,2
1D,OF,1,453324,1
1D,OF,1,453356,116
1D,OF,1,453396,9
1D,OF,1,454549,172
1K,OF,1,453396,5
1K,OF,1,454585,41
21,OZ,1,453250,1
21,OZ,1,453308,2
21,OZ,1,453324,8
21,OZ,1,453352,8
21,OZ,1,453412,3
21,OZ,1,453416,8
21,OZ,1,454585,1
21,OZ,1,454710,2
22,T,1,453250,5
22,T,1,453273,41
22,T,1,453307,41
22,T,1,453308,9
22,T,1,453324,7
22,T,1,453352,1
22,T,1,453356,2
22,T,1,453388,2
22,T,1,453396,15
22,T,1,453412,11
22,T,1,453416,11
22,T,1,454548,41
22,T,1,454549,6
22,T,1,454585,7
22,T,1,454710,1
23,T,1,453250,8
23,T,1,453308,5
23,T,1,453324,5
23,T,1,453352,21
23,T,1,453356,5
23,T,1,453388,1
23,T,1,453396,12
23,T,1,453412,6
23,T,1,453416,4
23,T,1,454549,4
23,T,1,454585,3
24,T,1,453250,10
24,T,1,453324,11
24,T,1,453356,1
24,T,1,453388,1
24,T,1,453396,25
24,T,1,453412,34
24,T,1,453416,16
24,T,1,454548,284
24,T,1,454549,1
24,T,1,454710,1
26,T,1,453250,1
26,T,1,453308,8
26,T,1,453396,30
26,T,1,453412,36
26,T,1,453416,12
26,T,1,454585,9
27,T,1,453250,1
27,T,1,453308,6
27,T,1,453324,2
27,T,1,453356,4
27,T,1,453396,2
27,T,1,453412,39
27,T,1,453416,2
28,OF,1,453324,290
28,OF,1,453356,101
28,OF,1,454585,156
29,OF,1,453250,115
29,OF,1,453308,1
29,OF,1,453324,3
29,OF,1,453356,124
29,OF,1,453388,173
29,OF,1,453396,4
2A,OF,1,453250,10
2A,OF,1,453356,74
2A,OF,1,453416,317
2B,OF,1,453250,10
2B,OF,1,453324,129
2B,OF,1,453356,2
2B,OF,1,453388,2
2B,OF,1,453416,162
2C,OF,1,453250,2
2C,OF,1,453308,76
2C,OF,1,453324,26
2C,OF,1,453396,3
2C,OF,1,453416,155
2C,OF,1,454549,2
2D,OF,1,453250,1
2D,OF,1,453396,3
2D,OF,1,454549,338
2K,OF,1,453324,40
2K,OF,1,453396,8
2K,OF,1,453412,1
2K,OF,1,453416,7
2K,OF,1,454585,13
30,OZ,1,453250,9
30,OZ,1,453308,8
30,OZ,1,453324,18
30,OZ,1,453352,2
30,OZ,1,453356,1
30,OZ,1,453388,1
30,OZ,1,453396,2
30,OZ,1,453412,12
30,OZ,1,453416,1
30,OZ,1,454549,19
30,OZ,1,454585,1
31,OZ,1,453250,4
31,OZ,1,453308,8
31,OZ,1,453324,4
31,OZ,1,453356,3
31,OZ,1,453388,3
31,OZ,1,453396,5
31,OZ,1,453412,9
31,OZ,1,453416,7
31,OZ,1,454549,9
