voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453334,OF,38,20,99,0.0,99.0
453334,OF,39,20,1,0.0,1.0
453334,OF,59,20,84,0.0,84.0
453400,OF,28,20,192,0.0,192.0
453400,OF,69,20,155,0.0,155.0
453400,OF,6C,20,11,10.0,1.0
453886,IF,7B,20,251,0.0,251.0
453886,IF,7G,20,133,0.0,133.0
453886,IF,7H,20,1,0.0,1.0
453886,IF,8G,20,1,0.0,1.0
453334,OF,29,40,158,0.0,158.0
453334,OF,38,40,26,0.0,26.0
453334,OF,39,40,178,0.0,178.0
453334,OF,59,40,109,0.0,109.0
453334,OF,6A,40,95,13.0,82.0
453334,OF,89,40,150,0.0,150.0
453400,OF,28,40,108,0.0,108.0
453400,OF,2A,40,301,1.0,300.0
453400,OF,49,40,300,0.0,300.0
453400,OF,4D,40,63,1.0,62.0
453400,OF,69,40,123,0.0,123.0
453400,OF,6C,40,343,52.0,291.0
453886,IF,E1,40,179,0.0,179.0
453886,IF,E2,40,182,0.0,182.0
453886,IF,E3,40,232,0.0,232.0
453886,IF,E8,40,300,0.0,300.0
453886,IF,E9,40,300,0.0,300.0
453886,IF,EA,40,300,0.0,300.0
453886,IF,EB,40,123,0.0,123.0
453886,IF,7G,40,88,0.0,88.0
453886,IF,7H,40,92,0.0,92.0
453886,IF,8G,40,152,0.0,152.0
453886,IF,8H,40,178,0.0,178.0
453886,T,52,40,1,0.0,1.0
454063,IF,E1,40,1,0.0,1.0
