phase,iteration,current_energy,best_energy,temperature,accepted_count
medium,0,251368.426651,251368.426651,80.0,0
medium,3000,251396.93816,251367.644043,43.942422,29
medium,6000,251333.882849,251333.882849,24.136705,39
medium,9000,251364.588731,251333.882849,13.257816,40
medium,12000,251364.588731,251333.882849,7.282257,40
medium,15000,251364.588731,251333.882849,4.0,40
medium,18000,251364.588731,251333.882849,2.197121,40
medium,21000,251364.588731,251333.882849,1.206835,40
medium,24000,251364.588731,251333.882849,0.662891,40
medium,27000,251364.588731,251333.882849,0.364113,40
medium,30000,251364.588731,251333.882849,0.2,40
