voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453250,OF,19,26,20,
453250,OF,49,52,40,
453308,OF,49,33,20,
453308,OF,69,27,40,
453308,OF,89,60,20,
453324,OF,28,2,20,
453324,OF,49,12,40,
453352,OF,89,18,20,
453352,OF,89,11,40,
453356,OF,19,58,20,
453356,OF,19,54,40,
453356,OF,28,59,20,
453356,OF,28,29,40,
453356,OF,29,17,40,
453356,OF,2A,14,40,
453356,OF,38,51,20,
453356,OF,39,29,20,
453356,OF,39,8,40,
453356,OF,3A,5,20,
453356,OF,3A,48,40,
453388,OF,29,35,20,
453388,OF,29,138,40,
453388,OF,4A,56,20,
453388,OF,4A,51,40,
453388,OF,5A,88,20,
453388,OF,5A,138,40,
453388,OF,79,86,20,
453388,OF,79,138,40,
453396,OF,89,18,20,
453396,OF,89,47,40,
453412,OF,49,21,20,
453412,OF,49,167,40,
453416,OF,1A,76,20,
453416,OF,1A,57,40,
453416,OF,2A,64,20,
453416,OF,2A,162,40,
453416,OF,38,62,20,
453416,OF,38,29,40,
453416,OF,4A,43,20,
453416,OF,4A,150,40,
453416,OF,79,76,40,
454549,OF,49,8,20,
454549,OF,49,4,40,
454585,OF,28,156,20,
454585,OF,59,74,20,
454585,OF,59,109,40,
454585,OF,69,90,20,
454585,OF,69,39,40,
454585,OF,8A,60,20,
454710,OF,69,50,20,
454710,OF,69,91,40,
