plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,19-SB01,19,15|17|19|21|23|25,24,453250_S001|2;453250_S002|1;453250_S003|19;453356_S004|2
small_six_bay_block,19-SB02,19,33|35|37|39|41|43,2,453250_S004|1;453250_S005|1
small_six_bay_block,1A-SB01,1A,01|03|05|07|09|11,23,453416_S018|23
small_six_bay_block,1A-SB03,1A,31|33|35|37|39|41,19,453416_S001|3;453416_S002|11;453416_S004|1;453416_S026|1;453416_S043|3
small_six_bay_block,1A-SB04,1A,43|45|47|49|51|53,36,453416_S009|15;453416_S043|21
small_six_bay_block,1K-SB01,1K,05|07|09|11|13|15,3,453388_S068|2;453388_S069|1
small_six_bay_block,28-SB01,28,13|15|17|19|21|23,10,453356_S003|4;454585_S003|1;454585_S004|2;454585_S031|3
small_six_bay_block,28-SB02,28,45|47|49|51|53|55,9,453324_S001|1;453324_S002|1;454585_S005|1;454585_S006|1;454585_S007|1;454585_S008|1;454585_S031|1;454585_S034|1;454585_S035|1
small_six_bay_block,29-SB01,29,01|03|05|07|09|11,3,453388_S011|2;453388_S012|1
small_six_bay_block,29-SB02,29,13|15|17|19|21|23,7,453388_S033|7
small_six_bay_block,29-SB03,29,25|27|29|31|33|35,51,453388_S013|7;453388_S014|25;453388_S036|3;453388_S037|3;453388_S041|11;453396_S008|1;453396_S009|1
small_six_bay_block,29-SB05,29,49|51|53|55|57|59,18,453388_S032|12;453388_S033|6
small_six_bay_block,2A-SB01,2A,01|03|05|07|09|11,13,453356_S005|1;453416_S035|1;453416_S037|1;453416_S038|3;453416_S044|7
small_six_bay_block,2A-SB02,2A,13|15|17|19|21|23,41,453416_S027|9;453416_S028|15;453416_S029|12;453416_S044|3;453416_S047|2
small_six_bay_block,2A-SB03,2A,25|27|29|31|33|35,35,453416_S003|7;453416_S040|12;453416_S043|4;453416_S044|12
small_six_bay_block,2A-SB04,2A,37|39|41|43|45|47,42,453416_S031|9;453416_S032|3;453416_S036|16;453416_S039|9;453416_S044|5
small_six_bay_block,2A-SB05,2A,49|51|53|55|57|59,48,453416_S005|3;453416_S006|2;453416_S007|1;453416_S008|5;453416_S009|15;453416_S030|19;453416_S044|2;453416_S047|1
small_six_bay_block,38-SB01,38,05|07|09|11|13|15,9,453416_S009|1;454549_S009|1;454585_S035|1;454585_S037|1;454585_S039|2;454585_S040|1;454585_S041|2
small_six_bay_block,38-SB02,38,29|31|33|35|37|39,15,453416_S035|15
small_six_bay_block,38-SB03,38,45|47|49|51|53|55,5,453416_S035|5
small_six_bay_block,49-SB01,49,05|07|09|11|13|15,66,453250_S008|2;453250_S009|1;453250_S024|1;453250_S025|1;453250_S026|1;453308_S007|14;453324_S008|1;453412_S011|2;453412_S013|1;453412_S014|1;453412_S015|14;453412_S016|20;453412_S033|5;453412_S035|2
small_six_bay_block,49-SB02,49,17|19|21|23|25|27,72,453250_S010|5;453250_S011|4;453250_S012|6;453250_S013|11;453250_S014|2;453250_S015|2;453308_S012|1;453308_S013|2;453412_S003|1;453412_S004|1;453412_S005|1;453412_S006|4;453412_S007|3;453412_S008|1;453412_S009|1;453412_S010|1;453412_S026|5;453412_S027|9;453412_S033|5;453412_S035|2;454549_S001|1;454549_S002|1;454549_S003|1;454549_S005|1;454549_S006|1
small_six_bay_block,49-SB03,49,29|31|33|35|37|39,57,453250_S016|1;453250_S017|1;453308_S014|2;453308_S015|2;453308_S016|7;453308_S017|5;453308_S026|2;453324_S007|1;453412_S001|7;453412_S002|1;453412_S012|20;453412_S021|2;453412_S035|3;454549_S004|3
small_six_bay_block,49-SB04,49,41|43|45|47|49|51,55,453250_S018|4;453250_S019|1;453250_S020|1;453308_S028|1;453324_S003|3;453324_S004|1;453324_S005|3;453324_S009|1;453412_S017|6;453412_S018|5;453412_S020|1;453412_S022|1;453412_S023|5;453412_S024|4;453412_S028|4;453412_S029|1;453412_S032|1;453412_S034|11;453412_S038|1
small_six_bay_block,49-SB05,49,53|55|57|59|61|63,29,453250_S021|4;453250_S022|2;453250_S023|2;453324_S006|2;453412_S019|6;453412_S025|3;453412_S030|1;453412_S031|2;453412_S033|5;453412_S039|2
small_six_bay_block,4A-SB01,4A,01|03|05|07|09|11,58,453388_S041|6;453388_S042|15;453388_S043|4;453388_S044|7;453388_S045|13;453416_S045|8;453416_S046|4;453416_S047|1
small_six_bay_block,4A-SB02,4A,13|15|17|19|21|23,30,453388_S038|2;453388_S039|3;453388_S040|1;453416_S021|13;453416_S022|11
small_six_bay_block,4A-SB03,4A,25|27|29|31|33|35,45,453416_S018|25;453416_S019|16;453416_S024|2;453416_S025|2
small_six_bay_block,4A-SB04,4A,37|39|41|43|45|47,38,453416_S019|14;453416_S020|15;453416_S022|9
small_six_bay_block,4A-SB05,4A,49|51|53|55|57|59,43,453388_S001|9;453388_S002|9;453388_S003|2;453416_S022|8;453416_S023|13;453416_S047|2
small_six_bay_block,59-SB04,59,37|39|41|43|45|47,3,454585_S009|3
small_six_bay_block,5A-SB01,5A,01|03|05|07|09|11,106,453388_S004|18;453388_S005|2;453388_S006|5;453388_S007|2;453388_S008|5;453388_S009|56;453388_S035|18
small_six_bay_block,5A-SB02,5A,13|15|17|19|21|23,59,453388_S024|4;453388_S025|8;453388_S026|11;453388_S027|24;453388_S028|4;454585_S038|8
small_six_bay_block,5A-SB03,5A,25|27|29|31|33|35,69,453388_S033|26;453388_S034|17;453388_S036|26
small_six_bay_block,5A-SB04,5A,37|39|41|43|45|47,37,453396_S001|1;453396_S018|4;453396_S019|1;453396_S020|5;453396_S021|5;454585_S012|1;454585_S022|1;454585_S030|1;454710_S022|1;454710_S023|1;454710_S024|1;454710_S025|1;454710_S031|3;454710_S032|6;454710_S038|1;454710_S039|1;454710_S040|2;454710_S041|1
small_six_bay_block,5A-SB05,5A,49|51|53|55|57|59,36,453396_S002|1;453396_S003|2;453396_S004|5;453396_S005|3;453396_S022|1;453412_S035|4;453412_S036|3;453412_S037|10;454585_S036|5;454585_S042|2
small_six_bay_block,5A-SB06,5A,61|63|65|67|69|71,17,453396_S006|1;453396_S007|3;453416_S047|13
small_six_bay_block,69-SB01,69,01|03|05|07|09|11,13,453308_S018|4;453308_S019|1;454710_S001|1;454710_S002|1;454710_S021|5;454710_S033|1
small_six_bay_block,69-SB02,69,13|15|17|19|21|23,15,453308_S023|1;453308_S024|1;454710_S003|2;454710_S004|2;454710_S005|1;454710_S006|8
small_six_bay_block,69-SB03,69,25|27|29|31|33|35,38,453308_S017|7;453308_S030|1;453308_S031|1;453308_S032|2;453308_S033|2;453308_S034|2;454710_S007|3;454710_S008|2;454710_S014|12;454710_S027|4;454710_S036|2
