plan_level,voyage_id,group_id,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes
small,453250,453250_S001,OF,KRPUS,20,PQ,0_10,False,NORMAL,19,15,19-SB01,15|17|19|21|23|25,24,2
small,453250,453250_S002,OF,KRPUS,20,PQ,15_20,False,NORMAL,19,15,19-SB01,15|17|19|21|23|25,24,1
small,453250,453250_S003,OF,KRPUS,20,PQ,20_25,False,NORMAL,19,15,19-SB01,15|17|19|21|23|25,24,19
small,453250,453250_S004,OF,USNYC,20,PQ,0_10,False,NORMAL,19,37,19-SB02,33|35|37|39|41|43,2,1
small,453250,453250_S005,OF,USNYC,20,PQ,15_20,False,NORMAL,19,37,19-SB02,33|35|37|39|41|43,2,1
small,453250,453250_S006,OF,USORF,20,PQ,0_10,False,NORMAL,19,05,,,0,1
small,453250,453250_S007,OF,USORF,20,PQ,10_15,False,NORMAL,19,05,,,0,1
small,453250,453250_S008,OF,COCTG,40,HQ,0_10,False,NORMAL,49,05,49-SB01,05|07|09|11|13|15,76,2
small,453250,453250_S009,OF,COCTG,40,HQ,15_20,False,NORMAL,49,05,49-SB01,05|07|09|11|13|15,76,1
small,453250,453250_S010,OF,KRPUS,40,HQ,0_10,False,NORMAL,49,17,49-SB02,17|19|21|23|25|27,87,5
small,453250,453250_S011,OF,KRPUS,40,HQ,10_15,False,NORMAL,49,17,49-SB02,17|19|21|23|25|27,87,4
small,453250,453250_S012,OF,KRPUS,40,HQ,15_20,False,NORMAL,49,17,49-SB02,17|19|21|23|25|27,87,6
small,453250,453250_S013,OF,KRPUS,40,HQ,20_25,False,NORMAL,49,21,49-SB02,17|19|21|23|25|27,87,11
small,453250,453250_S014,OF,KRPUS,40,HQ,25_30,False,NORMAL,49,21,49-SB02,17|19|21|23|25|27,87,2
small,453250,453250_S015,OF,KRPUS,40,HQ,GT30,False,NORMAL,49,21,49-SB02,17|19|21|23|25|27,87,2
small,453250,453250_S016,OF,USNW2,40,HQ,0_10,False,NORMAL,49,29,49-SB03,29|31|33|35|37|39,41,1
small,453250,453250_S017,OF,USNW2,40,HQ,20_25,False,NORMAL,49,29,49-SB03,29|31|33|35|37|39,41,1
small,453250,453250_S018,OF,USNWK,40,HQ,0_10,False,NORMAL,49,41,49-SB04,41|43|45|47|49|51,57,4
small,453250,453250_S019,OF,USNWK,40,HQ,15_20,False,NORMAL,49,41,49-SB04,41|43|45|47|49|51,57,1
small,453250,453250_S020,OF,USNWK,40,HQ,20_25,False,NORMAL,49,41,49-SB04,41|43|45|47|49|51,57,1
small,453250,453250_S021,OF,USNYC,40,HQ,0_10,False,NORMAL,49,53,49-SB05,53|55|57|59|61|63,48,4
small,453250,453250_S022,OF,USNYC,40,HQ,10_15,False,NORMAL,49,53,49-SB05,53|55|57|59|61|63,48,2
small,453250,453250_S023,OF,USNYC,40,HQ,15_20,False,NORMAL,49,53,49-SB05,53|55|57|59|61|63,48,2
small,453250,453250_S024,OF,USORF,40,HQ,10_15,False,NORMAL,49,09,49-SB01,05|07|09|11|13|15,76,1
small,453250,453250_S025,OF,USORF,40,HQ,15_20,False,NORMAL,49,09,49-SB01,05|07|09|11|13|15,76,1
small,453250,453250_S026,OF,USORF,40,HQ,20_25,False,NORMAL,49,09,49-SB01,05|07|09|11|13|15,76,1
small,453308,453308_S001,OF,ESBCN,20,PQ,0_10,False,NORMAL,89,23,89-SB01,13|15|17|19|21|23,18,1
small,453308,453308_S002,OF,ESBCN,20,PQ,15_20,False,NORMAL,89,23,89-SB01,13|15|17|19|21|23,18,5
small,453308,453308_S003,OF,ESBCN,20,PQ,20_25,False,NORMAL,89,51,89-SB04,49|51|53|55|57|59,44,11
small,453308,453308_S004,OF,ESBCN,20,PQ,25_30,False,NORMAL,89,23,89-SB01,13|15|17|19|21|23,18,5
small,453308,453308_S005,OF,ESVLC,20,PQ,15_20,False,NORMAL,89,17,89-SB01,13|15|17|19|21|23,18,2
small,453308,453308_S006,OF,ESVLC,20,PQ,20_25,False,NORMAL,89,17,89-SB01,13|15|17|19|21|23,18,1
small,453308,453308_S007,OF,ESVLC,20,PQ,25_30,False,NORMAL,49,13,49-SB01,05|07|09|11|13|15,76,26
small,453308,453308_S007,OF,ESVLC,20,PQ,25_30,False,NORMAL,49,25,49-SB02,17|19|21|23|25|27,87,1
small,453308,453308_S008,OF,ITGOA,20,PQ,10_15,False,NORMAL,49,27,49-SB02,17|19|21|23|25|27,87,1
small,453308,453308_S009,OF,ITGOA,20,PQ,15_20,False,NORMAL,49,27,49-SB02,17|19|21|23|25|27,87,2
small,453308,453308_S010,OF,ITGOA,20,PQ,20_25,False,NORMAL,49,27,49-SB02,17|19|21|23|25|27,87,3
small,453308,453308_S010,OF,ITGOA,20,PQ,20_25,False,NORMAL,89,49,89-SB04,49|51|53|55|57|59,44,2
small,453308,453308_S011,OF,ITGOA,20,PQ,25_30,False,NORMAL,89,49,89-SB04,49|51|53|55|57|59,44,5
small,453308,453308_S012,OF,ITSPE,20,PQ,20_25,False,NORMAL,89,17,89-SB01,13|15|17|19|21|23,18,1
small,453308,453308_S013,OF,MAMED,20,PQ,20_25,False,NORMAL,89,17,89-SB01,13|15|17|19|21|23,18,2
small,453308,453308_S014,OF,MYTPP,20,PQ,10_15,False,NORMAL,89,49,89-SB04,49|51|53|55|57|59,44,2
small,453308,453308_S015,OF,MYTPP,20,PQ,15_20,False,NORMAL,89,51,89-SB04,49|51|53|55|57|59,44,2
small,453308,453308_S016,OF,MYTPP,20,PQ,20_25,False,NORMAL,89,51,89-SB04,49|51|53|55|57|59,44,7
small,453308,453308_S017,OF,MYTPP,20,PQ,25_30,False,NORMAL,69,35,69-SB03,25|27|29|31|33|35,37,7
small,453308,453308_S017,OF,MYTPP,20,PQ,25_30,False,NORMAL,89,17,89-SB01,13|15|17|19|21|23,18,1
small,453308,453308_S017,OF,MYTPP,20,PQ,25_30,False,NORMAL,89,51,89-SB04,49|51|53|55|57|59,44,6
small,453308,453308_S018,OF,ESBCN,40,HQ,15_20,False,NORMAL,69,09,69-SB01,01|03|05|07|09|11,13,4
small,453308,453308_S019,OF,ESBCN,40,HQ,20_25,False,NORMAL,69,09,69-SB01,01|03|05|07|09|11,13,1
small,453308,453308_S020,OF,ESVLC,40,HQ,10_15,False,NORMAL,69,53,69-SB05,49|51|53|55|57|59,40,1
small,453308,453308_S021,OF,ESVLC,40,HQ,20_25,False,NORMAL,69,53,69-SB05,49|51|53|55|57|59,40,1
small,453308,453308_S022,OF,ESVLC,40,HQ,25_30,False,NORMAL,69,53,69-SB05,49|51|53|55|57|59,40,3
small,453308,453308_S023,OF,ITGOA,40,HQ,10_15,False,NORMAL,69,17,69-SB02,13|15|17|19|21|23,15,1
small,453308,453308_S024,OF,ITGOA,40,HQ,20_25,False,NORMAL,69,17,69-SB02,13|15|17|19|21|23,15,1
small,453308,453308_S025,OF,ITGOA,40,HQ,25_30,False,NORMAL,69,37,69-SB04,37|39|41|43|45|47,44,2
small,453308,453308_S026,OF,ITGOA,40,PQ,25_30,False,NORMAL,49,33,49-SB03,29|31|33|35|37|39,41,2
small,453308,453308_S027,OF,ITSPE,40,HQ,0_10,False,NORMAL,69,61,69-SB06,61|63|65|67|69|71,44,1
small,453308,453308_S028,OF,ITSPE,40,PQ,25_30,False,NORMAL,49,37,49-SB03,29|31|33|35|37|39,41,1
small,453308,453308_S029,OF,MAMED,40,HQ,15_20,False,NORMAL,69,45,69-SB04,37|39|41|43|45|47,44,1
