voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty
453334,OF,19,20,37,0.0,37.0
453334,OF,28,20,37,0.0,37.0
453334,OF,38,20,36,0.0,36.0
453334,OF,49,20,37,0.0,37.0
453334,OF,59,20,7,0.0,7.0
453334,OF,69,20,30,0.0,30.0
453400,OF,28,20,43,0.0,43.0
453400,OF,29,20,18,0.0,18.0
453400,OF,2A,20,1,0.0,1.0
453400,OF,38,20,64,0.0,64.0
453400,OF,39,20,69,0.0,69.0
453400,OF,49,20,69,0.0,69.0
453400,OF,59,20,1,0.0,1.0
453400,OF,69,20,63,0.0,63.0
453400,OF,89,20,20,0.0,20.0
453886,IF,7B,20,251,0.0,251.0
453886,IF,7G,20,135,0.0,135.0
453334,OF,19,40,83,0.0,83.0
453334,OF,28,40,83,0.0,83.0
453334,OF,29,40,66,0.0,66.0
453334,OF,38,40,25,0.0,25.0
453334,OF,49,40,77,0.0,77.0
453334,OF,59,40,83,0.0,83.0
453334,OF,69,40,67,0.0,67.0
453334,OF,6A,40,83,13.0,70.0
453334,OF,79,40,83,0.0,83.0
453334,OF,89,40,66,0.0,66.0
453400,OF,28,40,81,0.0,81.0
453400,OF,29,40,81,0.0,81.0
453400,OF,2A,40,118,1.0,117.0
453400,OF,39,40,87,0.0,87.0
453400,OF,49,40,117,0.0,117.0
453400,OF,4A,40,54,0.0,54.0
453400,OF,59,40,64,0.0,64.0
453400,OF,5A,40,59,0.0,59.0
453400,OF,69,40,87,0.0,87.0
453400,OF,6A,40,73,0.0,73.0
453400,OF,79,40,62,0.0,62.0
453400,OF,7A,40,155,0.0,155.0
453400,OF,89,40,74,0.0,74.0
453400,OF,8A,40,73,0.0,73.0
453886,IF,E1,40,179,0.0,179.0
453886,IF,E2,40,182,0.0,182.0
453886,IF,E3,40,232,0.0,232.0
453886,IF,E4,40,123,0.0,123.0
453886,IF,E6,40,1,0.0,1.0
453886,IF,E8,40,300,0.0,300.0
453886,IF,E9,40,300,0.0,300.0
453886,IF,EA,40,300,0.0,300.0
453886,IF,ED,40,1,0.0,1.0
453886,IF,7G,40,87,0.0,87.0
453886,IF,7H,40,92,0.0,92.0
453886,IF,8G,40,151,0.0,151.0
453886,IF,8H,40,178,0.0,178.0
453886,T,52,40,1,0.0,1.0
454063,IF,8G,40,1,0.0,1.0
